;1970;1975;1980;1985;1990;1995;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010
RU;284753;411325;546729;542307;516183;306827;305643;303283;305167;323517;348133;379563;421341;459318;470175;480507;490882;488021;494502;505326
RU-FOSZ;7602;11411;21712;20958;16962;10306;11838;12133;12175;13457;14487;15418;18009;21584;24513;26040;27404;29522;33547;32165
RU-KO;7602;11121;20386;19435;14645;6876;7851;8085;7691;8181;9158;9568;9879;10263;11204;11602;12320;;;
RU-ARK;0;0;1;0,4;1164;2661;3264;3353;3830;4527;4586;5105;7376;10497;12091;12998;13634;;;
RU-KGD;0;290;1325;1523;1153;769;723;695;654;749;743;745;755;825;1218;1440;1451;;;
RU-FOYU;41791;30103;22610;13974;11976;7823;9454;10674;10056;10635;11582;12324;12768;13307;13469;13554;13314;12611;8161;8942
RU-AD;300;72;28;28;18;11;0,9;0,7;0,7;0,8;1,3;1;0,5;0,3;0,8;0,3;…;;;
RU-DA;2179;1022;731;624;636;323;371;360;361;327;345;337;342;348;336;331;286;;;
RU-IN;;;;;;110;111;123;137;164;188;146;126;119;123;108;…;;;
RU-CE;20274;8834;7383;5297;4205;629;622;846;126;73;722;1493;1779;1975;2200;2119;…;;;
RU-KB;0;0;0;0;0;0;4;5;10;9;10;9,8;1,7;0,8;1;1,5;…;;;
RU-KL;351;486;407;234;455;403;314;295;242;248;269;237;260;248;244;202;188;;;
RU-SE;0;0;0;0;0;0;0;0,6;5;7;5;4,1;5;8,1;5,3;5;5,3;;;
RU-KDA;5657;6160;4606;2175;1995;1559;1606;1590;1579;1716;1787;1847;1869;1789;1689;1838;1752;;;
RU-STA;6423;7208;6042;2683;1776;744;847;908;920;1022;1079;1015;1026;1004;980;1130;1077;;;
RU-AST;0;0;0;85;771;1439;1843;2671;3073;3441;3703;3826;4007;4067;4197;4173;4198;;;
RU-VGG;6607;6321;3413;2848;2120;2605;3735;3875;3603;3629;3471;3407;3351;3746;3690;3643;3618;;;
RU-ROS;0;0;0;0;0;0;0;0;0;0;3;2,1;1,7;3;3,4;3,4;…;;;
RU-FOPV;201457;219512;187225;136637;109559;78324;75450;74628;73914;75156;78678;82989;89249;92922;93183;95500;97351;98840;102365;107255
RU-BA;39194;39082;36879;30319;24988;15654;13387;12820;12154;11704;11439;11383;11235;11119;11060;11000;10953;;;
RU-TA;101913;104616;83070;50813;34962;25692;25556;25833;26342;27295;28274;28716;29157;29946;30710;31296;31900;;;
RU-UD;476;3893;10408;12055;11084;8415;8077;7937;7718;7680;7870;7793;8555;9394;10160;10226;10359;;;
RU-KIR;0;0;0;0;0;0;1;1;3;4;5;6;5,4;3,8;3,8;4,2;…;;;
RU-ORE;7387;13914;15457;11899;10345;8687;8982;8899;8938;9067;9673;11454;14528;16754;17530;18617;18977;;;
RU-PNZ;0;0;19;34;36;14;3;11;12;25;57;89;150;199;195;192;…;;;
RU-PER;16082;22258;14885;11708;11673;9398;9335;9316;9222;9372;9628;9865;10087;10083;10367;10990;11335;;;
RU-SAM;35034;34253;25033;18387;15068;9096;8538;8154;7755;8100;9728;11433;12963;13379;10772;10865;11320;;;
RU-SAR;1371;1496;1459;1391;1347;1193;1314;1377;1456;1534;1608;1727;2004;1429;1615;1621;1697;;;
RU-ULY;0;0;15;31;56;175;257;280;314;374;397;523;566;616;770;690;635;;;
RU-FOUR;28509;143153;307867;361076;365342;201592;200385;197698;200706;213469;231253;254165;283169;310002;320237;325493;323814;319029;311296;307051
RU-TYU;28509;143153;307867;361076;365342;201592;200385;197698;200706;213469;231253;254165;283169;310002;320237;325493;323814;;;
RU-KHM;28509;143153;304917;342824;305981;169179;168380;166703;169945;180888;194226;209897;233150;255780;268002;275590;277976;;;
RU-YAN;0;0;2950;18252;59352;32371;31700;30496;30266;32025;36345;43431;49125;53037;50784;48440;44466;;;
RU-FOSI;2921;4901;4796;7039;10318;6874;6569;6215;6178;7019;7930;10997;14574;17599;14346;13346;13774;14385;18927;29404
RU-KYA;0;15;0;0;5;108;15;13;22;52;46;57;71;85;77;106;109;;;
RU-IRK;0;0;0;0;0;0;0;11;14;26;44;48;76;143;161;162;243;;;
RU-NVS;0;0;0;0;7;25;26;33;34;38;85;238;485;932;1427;1820;2041;;;
RU-OMS;0;0;0;0;0;0;0;0;0;0;0,4;62;286;497;952;1113;…;;;
RU-TOM;2921;4886;4796;7039;10306;6741;6528;6158;6108;6903;7754;10592;13656;15942;11729;10147;10251;;;
RU-FODV;2472;2244;2519;2623;2026;1908;1950;1935;2141;3781;4203;3670;3572;3905;4427;6573;15226;13635;17378;18283
RU-SA;0;0;0;35;108;185;230;239;305;419;436;418;365;359;412;411;378;;;
RU-SAK;2472;2244;2519;2588;1918;1723;1720;1696;1836;3362;3767;3252;3208;3546;4014;6162;14848;;;
RU-FOSK;;;;;;;;;;;;;;;;;;;2828;2226
