;млн.т;1970;1980;1990;1995;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011
CHU;Чугун;42;55,2;59,4;39,8;44,6;45;46,7;48,8;50,4;49,2;52,4;51,5;48,3;44;48;48
STA;Сталь;63,9;84,4;89,6;51,6;59,2;59;59,9;62,8;65,6;66,3;70,8;72,4;68,7;59,8;66,8;68,1
PRO;Готовый прокат черных металлов;43,2;59,7;63,7;39;46,7;46,9;48,5;50,7;53,7;54,7;58,2;59,6;56,7;51,9;57,7;59,5
TRU;Трубы стальные;7;10,7;11,9;3,8;5;5,4;5,2;6,1;6;6,7;7,9;8,7;7,8;6,7;9,2;10
