;1970;1975;1980;1985;1990;1995;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006
RU;345;381;391;395;395;263;245;232;250;258;270;256;277;282;299;310
RU-FOCE;36,2;34,1;25,4;19,3;13,3;3,6;2,1;1,3;0,9;0,8;1,1;0,8;0,5;0,2;0,6;0,5
RU-KLU;0,9;1,2;1;0,5;0,3;0,1;0,07;0,03;0,03;0,05;0,05;0;-;;-;-
RU-RYA;0,8;0,6;0,4;0,2;-;-;-;-;-;-;-;-;-;-;-;-
RU-SMO;1;1,1;1,1;0,8;0,4;0,1;-;-;-;-;-;-;-;-;-;-
RU-TVE;0,8;1;0,8;0,5;0,3;0,1;-;-;-;-;-;-;-;-;-;-
RU-TUL;32,7;30,2;22,2;17,3;12,3;3,3;2,1;1,3;0,9;0,8;1;0,8;0,5;0,2;0,6;0,5
RU-FOSZ;22;24,7;29,1;30,4;29,8;22,7;21,4;18,8;19,6;18,8;19,1;13,1;13,8;14,8;13,1;14,1
RU-KO;21,5;24,2;28,6;29,8;29,3;22,2;21;18,5;19,2;18,4;18,8;12,9;13,5;14,7;12,9;14
RU-MUR;0,5;0,5;0,6;0,6;0,5;0,5;0,4;0,3;0,4;0,4;0,3;0,2;0,3;0,2;0,2;0,1
RU-FOYU;33,7;34,7;32,4;31,2;28,9;19,5;14,1;10,9;10,1;9,7;9,5;8,4;6,9;6,4;7,7;7
RU-KC;0,2;0,1;0,1;0,09;0,07;0,05;0,04;0,003;-;-;-;-;-;-;-;-
RU-ROS;33,5;34,5;32,3;31,1;28,9;19,4;14,1;10,9;10,1;9,7;9,5;8,4;6,9;6,4;7,7;7
RU-FOPV;15,6;16,2;13,1;9,2;7,3;2,8;1,6;0,7;0,5;0,2;0,06;0,2;0,2;0,2;0,2;0,3
RU-BA;6,9;9,4;7,9;3,4;1,2;0,4;0,3;0,09;-;0,05;0,06;0,2;0,04;-;-;-
RU-ORE;-;-;-;2,1;2,9;1,2;0,8;0,3;0,4;0,1;-;0,03;0,1;0,2;0,2;0,3
RU-PER;8,7;6,8;5,1;3,8;3,2;1,2;0,6;0,3;0,1;0,02;-;-;-;-;-;-
RU-FOUR;37,9;29;25,8;18,8;16,6;9;8,6;7,4;7;6,7;5,1;4,6;4,7;4,7;4,6;4,3
RU-SVE;17,2;9,9;8,5;5,1;4,3;3;2,9;2,6;2,3;2,3;1,8;1,5;1,3;1,1;1,2;1,3
RU-CHE;20,8;19,1;17,3;13,7;12,2;6,1;5,7;4,8;4,7;4,4;3,3;3,1;3,4;3,6;3,3;3
RU-FOSI;168;207;225;235;250;171;165;165;182;194;207;199;220;224;240;252
RU-BU;1,4;1,5;3,4;3,4;4,5;4,2;3,9;3,4;3,8;3,9;3,9;3,9;4,3;4,4;5,2;5,8
RU-TY;0,5;0,7;0,8;1;1,1;0,7;0,6;0,5;0,5;0,5;0,6;0,5;0,6;0,6;0,7;0,7
RU-KK;5,2;6,1;6;6,4;6,8;7,2;6,6;5,1;5,1;5,4;6,8;5,9;8,2;9,2;11,3;10,5
RU-ALT;0,002;-;-;-;-;0,01;0,003;0,01;0,01;0,01;0,01;0,002;-;-;0,02;0,1
RU-KYA;21,6;28,3;35,4;41,6;52,3;32,1;35,1;34,4;36,7;40,2;38,7;33,8;37,9;32,7;36,6;38
RU-IRK;21,9;25,1;25,9;26,5;24,3;15;12,4;14,5;14;14,9;15,3;12;12,5;11,7;12,1;11,1
RU-KEM;113;137;145;146;150;99,3;94;97,6;109;115;126;131;144;155;164;175
RU-NVS;0,4;0,3;0,3;0,8;0,9;0,5;0,3;0,2;0,3;0,5;0,5;0,6;0,8;0,9;1;1,5
RU-ZAB;4,3;7,6;7,9;9,5;10;12,5;11,7;9,3;12,4;13,2;14,3;10,5;12,2;9,2;8,6;9,2
RU-FODV;31,1;35,4;40,9;51,6;49,8;33,9;32,7;27,8;29,4;28,4;28,2;30,1;30,7;31,9;32,5;32,1
RU-SA;1,6;1,8;3,7;14,1;16,9;11,8;10,5;9,6;10;10,1;9,7;9,9;10,5;11,1;11,2;11,4
RU-PRI;9,2;10,1;12,8;18,2;15,9;10,8;11,3;9,4;11,3;10,4;9;10,8;11;10,7;11;10,6
RU-KHA;1,2;1,4;1,7;1,8;2,1;1,5;1,6;1,3;1,9;2;2,3;2,6;2,5;2,5;2,1;1,9
RU-AMU;12,5;13,9;14;8,9;6,7;4,7;5,4;4,1;2,8;2,1;2,7;2,5;2,6;3,1;3,6;3,4
RU-KAM;0,03;0,03;0,03;0,04;0,02;0,03;0,03;0,03;0,04;0,04;0,04;0,05;0,04;0,04;0,02;0,05
RU-MAG;1,4;1,9;2,2;2,5;1,9;1,5;0,9;0,8;0,5;0,7;0,6;0,6;0,6;0,5;0,5;0,4
RU-SAK;4,7;5,5;5,5;5;5;2,7;2,4;2,3;2,5;2,7;3,3;3;2,8;3,3;3,4;3,6
RU-YEV;-;-;-;-;-;-;0,004;0,01;0,03;0,02;0,06;0,1;0,1;0,1;0,1;0,1
RU-CHU;0,5;0,7;0,9;1;1,2;0,9;0,5;0,3;0,3;0,3;0,4;0,5;0,6;0,5;0,6;0,5
