RU-FOUR;1434;2574;2593;2074;2403;2689;3405;3611;3218;2765;2582;2368;2077
RU-KGN;1626;4015;3316;2526;2877;3144;3936;3887;3597;3040;2703;2561;2392
RU-SVE;1490;2558;2673;2015;2401;2718;3536;3688;3289;2823;2637;2241;1798
RU-TYU;1675;2476;2619;2363;2747;2950;3725;3960;3419;2798;2608;2423;2205
RU-KHM;…;2379;2604;2390;2741;2936;3611;3777;3195;2584;2470;2243;2011
RU-YAN;…;1723;1707;1517;1661;1906;2615;2571;2261;2030;1920;1836;1770
RU-CHE;1099;2264;2262;1757;1957;2285;2797;3113;2837;2589;2457;2422;2216
RU-FOSI;1462;2423;2468;2090;2292;2372;2914;3163;3072;2867;2677;2376;2176
RU-AL;…;2591;2325;1842;2347;2320;2690;3168;3125;3007;2956;2483;2372
RU-BU;1673;3118;3213;2478;2317;2606;3131;3633;3713;3474;3127;2731;2485
RU-TY;3178;2498;2905;2452;2958;2991;3394;3334;2567;2406;2155;1948;1799
RU-KK;…;2431;2233;1996;2858;2903;3596;3857;3302;2792;2724;2204;2029
RU-ALT;1216;2143;2093;2057;2434;2315;2995;3224;2877;2508;2225;1981;1863
RU-ZAB;1476;2711;2911;2382;2498;2387;2932;3096;2963;2807;2751;2618;2764
RU-KYA;1738;2397;2415;1883;2103;2260;2860;3428;3221;2975;2791;2508;2226
RU-IRK;1724;2856;2885;2693;2664;2766;3413;3689;3869;3574;3301;2707;2411
RU-KEM;1316;1908;2005;1611;1589;1629;1853;2018;2180;2472;2543;2375;2444
RU-NVS;1582;2506;2597;2135;2480;2645;3349;3603;3586;3165;2880;2490;2112
RU-OMS;1155;2365;2395;1959;2217;2274;2720;2613;2434;2165;1946;1685;1511
RU-TOM;1624;2402;2449;2038;2423;2713;3133;3281;3089;3042;2768;2786;2166
RU-FODV;1685;2570;2602;2255;2379;2378;2947;3714;3445;3041;2648;2279;2061
RU-SA;1438;1577;1660;1482;1527;1632;1991;2528;2410;2164;1956;1793;1578
RU-KAM;1600;2302;2339;1972;2338;2390;2912;3584;2521;1928;1882;1689;1662
RU-PRI;1979;2689;2571;2146;2361;2336;3066;4128;3865;3322;2856;2599;2338
RU-KHA;2064;3111;3269;2975;3114;3092;3763;4701;4464;4085;3261;2401;2048
RU-AMU;1295;2338;2372;1864;1978;1978;2639;3104;2888;2561;2377;2223;2193
RU-MAG;2040;3206;3368;2620;2230;2303;2706;3522;2922;2655;2580;2254;2071
RU-SAK;1602;2600;2718;2621;2530;2487;2777;3115;2975;2709;2588;2176;2021
RU-YEV;…;3198;3318;3044;3244;3149;3036;3444;3226;2682;2589;2272;2121
RU-CHU;…;1872;1762;1544;1431;1403;1633;2068;1954;1785;1729;1613;1437
