;;1955;1960;1965;1970;1975;1980;1985;1990;1995;2000;2005;2010
ZE;Зерно (в весе после доработки);51,7;66,4;73,2;95,1;96,7;106;92;104,3;87,9;65,1;78,8;85,2
PSO;пшеница озимая;;;;;16;21,5;17,5;24,3;22,5;16,8;24,8;32,6
PSY;пшеница яровая;;;;;30,6;29;21,1;19,2;15,7;17,5;20,2;19,7
RZO;рожь озимая;;;;;7,2;6,2;9;12,4;8,7;5,4;4,9;3,5
KUZ;кукуруза на зерно;;;;;1,7;1,8;2,8;3,3;1,8;1,4;2,2;4,2
YAO;ячмень озимый;;;;;1,3;1,3;1,5;2,1;2;1,3;1,9;2
YAY;ячмень яровой;;;;;22,2;27,3;20,2;22;21,7;12,9;15,8;14,6
OV;овес;;;;;10,7;12,5;13;12,6;10,5;6,6;5,6;4,9
PRS;просо;;;;;1,4;1,1;1,3;2,1;0,9;0,8;0,7;0,425
GRE;гречиха;;;;;0,493;0,439;0,474;0,643;0,782;0,63;0,531;0,739
RIS;рис;;;;;0,842;1,106;1,132;1,054;0,64;0,431;0,494;0,819
ZBB;зернобобовые;;;;;4,3;3,7;3,8;4,4;2,5;1,3;1,7;1,5
