;;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013
ZER; Зерновые и зернобобовые культуры ;15,1;18,0;17,1;15,3;13,1;14,9;17,8;12,9;14,4;15,6;19,4;19,6;17,8;18,8;18,5;18,9;19,8;23,8;22,7;18,3;22,4;18,3;22,0
LEN;Лен-долгунец (волокно);3,5;3,1;3,8;4,4;4,4;4,3;2,5;4,3;3,6;5,5;5,0;4,7;6,6;5,8;6,3;6,1;7,2;7,8;8,2;8,2;9,0;9,2;8,5
SVE;Сахарная свекла;178;192;199;136;188;174;186;153;185;188;199;219;227;277;282;325;292;362;323;241;392;409;442
KAR;Картофель;109;114;109;103;118;114;111;97;97;105;108;103;117;116;124;133;132;138;143;100;148;134;145
OVO;Овощи ;156;145;141;134;148;143;147;141;147;143;151;148;163;162;170;173;179;196;199;180;208;211;214
MAS;Семена масличных культур;10,9;10,7;9,7;8,4;10,0;7,9;8,5;8,3;8,2;8,9;7,9;9,8;9,9;10,2;11,7;11,2;11,0;12,0;11,5;9,9;13,3;12,2;14,3
POS;из них подсолнечника;11,8;11,6;10,0;8,4;10,6;8,1;8,6;8,4;8,3;9,0;7,8;9,7;10,0;10,2;11,9;11,4;11,3;12,3;11,5;9,6;13,4;13,0;15,5
