;;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013
ZER; Зерно (в весе после доработки) ;89,1;106,9;99,1;81,3;63,4;69,2;88,5;47,8;54,6;65,4;85,1;86,5;67,0;77,8;77,8;78,2;81,5;108,2;97,1;61,0;94,2;70,9;92,4
LEN;Льноволокно, тыс. т;102;78;58;54;69;59;23;34;24;51;58;38;55;58;56;36;47;52;52;35;43;46;39
SVE;Сахарная свекла;24,3;25,5;25,5;13,9;19,1;16,2;13,9;10,8;15,2;14,1;14,6;15,7;19,4;21,8;21,3;30,7;28,8;29,0;24,9;22,3;47,6;45,1;39,3
KAR;Картофель;34,3;38,3;37,7;33,8;39,9;37,6;35,1;29,0;28,0;29,5;29,5;26,9;29,4;27,9;28,1;28,3;27,2;28,8;31,1;21,1;32,7;29,5;30,2
OVO;Овощи ;10,4;10,0;9,8;9,6;11,3;10,3;10,6;9,7;11,0;10,8;11,2;10,7;11,7;11,2;11,3;11,4;11,5;13,0;13,4;12,1;14,7;14,6;14,7
MAS;Семена масличных культур;3,8;3,9;3,5;3,2;4,7;3,2;3,3;3,4;4,7;4,5;3,2;4,3;5,6;5,7;7,6;8,2;7,0;9,0;8,2;7,5;13,1;11,3;14,2
POS;из них подсолнечника;2,9;3,1;2,8;2,6;4,2;2,8;2,8;3,0;4,1;3,9;2,7;3,7;4,9;4,8;6,5;6,7;5,7;7,4;6,5;5,3;9,7;8,0;10,6
