Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;
 3. УРОВЕНЬ ЖИЗНИ НАСЕЛЕНИЯ;;;;;;;;;;;;
ДЕНЕЖНЫЕ ДОХОДЫ НАСЕЛЕНИЯ;;;;;;;;;;;;
РЕАЛЬНЫЕ ДЕНЕЖНЫЕ ДОХОДЫ;;;;;;;;;;;;
"3.1.1. Реальные  доходы населения1);2) ";;;;;;;;;;;;
(в процентах к предыдущему году);;;;;;;;;;;;
Республика Мордовия;110,7;110,0;96,7;103,5;103,0;103,0;96,6;94,1;99,6;;;
Республика Татарстан;123,4;109,0;101,8;114,2;102,5;106,7;95,9;96,5;94,9;;;
Удмуртская Республика;112,5;108,1;101,4;107,4;104,2;106,4;100,8;93,6;97,1;;;
Чувашская Республика;111,0;107,5;100,0;109,0;103,5;101,3;95,8;92,5;97,5;;;
Пермский край;114,5;102,4;98,1;103,0;104,1;101,3;98,8;82,4;98,0;;;
Кировская область;106,4;109,3;99,1;106,0;99,5;104,2;94,7;90,2;98,0;;;
Нижегородская область ;109,8;105,9;101,2;110,9;105,2;104,7;95,4;93,4;95,9;;;
Оренбургская область;115,1;105,6;100,7;105,7;105,5;103,3;96,9;91,6;99,4;;;
Пензенская область;111,7;105,1;100,2;105,9;104,6;101,8;97,0;90,8;99,6;;;
Самарская область;115,2;105,8;99,4;109,0;102,4;90,0;92,1;90,5;97,5;;;
Саратовская область;112,9;108,2;99,2;104,0;105,3;103,9;97,7;91,4;99,0;;;
Ульяновская область;108,8;112,8;98,5;107,9;105,7;106,7;90,0;92,7;98,6;;;
Уральский               федеральный округ;114,5;101,3;100,7;105,0;103,8;98,4;94,2;92,7;97,6;;;
Курганская область;108,4;102,2;95,6;104,2;101,0;98,4;92,5;91,9;97,0;;;
Свердловская область ;117,0;104,4;102,6;105,9;103,7;96,2;93,6;94,0;96,8;;;
Тюменская область;110,2;97,2;100,8;106,3;103,7;100,3;95,9;93,1;98,6;;;
в том числе:;;;;;;;;;;;;
