Социально-экономические показатели по субъектам Российской Федерации;;;;;;;
21. ЦЕНЫ И ТАРИФЫ;;;;;;;
ДИНАМИКА ЦЕН В ПРОИЗВОДСТВЕННОМ СЕКТОРЕ;;;;;;;
ИНДЕКСЫ ЦЕН ПРОИЗВОДИТЕЛЕЙ ПРОМЫШЛЕННЫХ ТОВАРОВ ПО ВИДАМ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ 1);;;;;;;
21.10.2. Индексы цен производителей промышленных товаров в соответствии с ОКВЭД2- всего ;;;;;;;
"(декабрь к декабрю предыдущего года; в процентах)";;;;;;;
;2013;2014;2015;2016;2017;;
Российская Федерация;103,5;106,3;112,1;107,5;108,4;;
Центральный    федеральный округ;102,2;109,3;111,7;105,0;103,8;;
Белгородская область;97,7;112,3;108,3;105,3;99,9;;
Брянская область;103,2;108,7;111,9;104,6;102,7;;
Владимирская область;100,5;111,1;113,5;106,3;105,3;;
Воронежская область;104,3;108,8;111,3;100,8;97,8;;
Ивановская область;106,1;108,4;110,4;108,8;104,3;;
Калужская область;102,5;107,7;109,9;103,6;101,8;;
Костромская область;102,2;101,4;109,9;108,5;103,0;;
Курская область;105,9;101,4;115,0;109,1;100,4;;
Липецкая область;99,3;118,2;110,3;115,9;98,4;;
Московская область;102,3;109,2;112,5;104,6;98,4;;
Орловская область;101,2;113,7;114,2;104,6;101,1;;
Рязанская область;102,1;106,5;112,7;107,5;104,2;;
Смоленская область;102,2;107,3;107,3;105,1;105,5;;
Тамбовская область;101,4;116,7;112,0;100,5;93,8;;
Тверская область;101,9;106,7;108,6;103,2;103,4;;
Тульская область;101,5;110,0;113,9;105,9;107,6;;
Ярославская область;100,5;102,3;112,4;106,1;105,6;;
г. Москва;102,2;106,3;115,8;104,2;107,5;;
Северо-Западный     федеральный округ;103,2;106,6;115,0;108,7;104,5;;
Республика Карелия;111,9;96,1;112,2;119,8;100,8;;
Республика Коми;105,1;98,8;110,6;113,0;114,3;;
Архангельская область;106,0;102,4;119,2;107,4;115,1;;
в том числе:;;;;;;;
Ненецкий автономный округ;108,2;95,9;111,8;110,9;133,5;;
Архангельская область    без автономного округа;104,6;103,6;120,5;106,6;109,8;;
Вологодская область;101,8;111,2;112,0;124,4;101,1;;
Калининградская область;102,3;127,8;110,2;103,7;105,4;;
Ленинградская область;99,5;106,2;111,0;102,9;106,4;;
