Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;
14. СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, РЫБОЛОВСТВО И РЫБОВОДСТВО;;;;;;;;;;;
СЕЛЬСКОЕ ХОЗЯЙСТВО;;;;;;;;;;;
Растениеводство;;;;;;;;;;;
14.4. ПОСЕВНЫЕ ПЛОЩАДИ СЕЛЬСКОХОЗЯЙСТВЕННЫХ КУЛЬТУР;;;;;;;;;;;
"(в хозяйствах всех категорий; тысяча гектаров)";;;;;;;;;;;
;2005;2010;2011;2012;2013;2014;2015;2016;2017;;
Республика Башкортостан;3048,0;3142,3;3103,4;3052,9;3115,5;3094,4;3051,9;3069,3;3004,1;;
Республика Марий Эл;400,8;303,0;305,0;293,4;292,7;300,4;297,9;300,6;300,5;;
Республика Мордовия;740,7;726,5;769,9;720,4;748,2;729,6;752,5;741,0;745,6;;
Республика Татарстан;2897,1;2937,8;3093,3;2991,8;2972,3;2924,6;3024,3;3060,8;3058,7;;
Удмуртская Республика;1153,8;1060,8;1061,7;1062,4;1060,3;1034,1;1012,4;1008,6;1013,1;;
Чувашская Республика;551,3;561,1;562,8;529,6;535,9;541,1;554,3;555,3;542,0;;
Пермский край;999,5;785,9;781,3;726,5;718,5;719,0;734,9;742,2;753,6;;
Кировская область;1207,9;850,7;845,7;826,8;842,6;846,4;859,1;851,4;853,1;;
Нижегородская область ;1186,8;1160,3;1179,1;1172,1;1171,5;1131,2;1113,9;1126,2;1133,3;;
Оренбургская область;3840,2;4055,7;4055,4;4002,6;4297,7;4240,8;4187,9;4218,1;4225,2;;
Пензенская область;1258,2;1166,8;1153,2;1157,2;1224,4;1183,1;1299,3;1337,3;1378,8;;
Самарская область;1874,2;1830,7;1795,7;1785,0;1950,1;1997,2;2009,3;2046,9;2042,7;;
Саратовская область;3589,5;3603,9;3567,5;3645,9;3801,8;3662,7;3726,3;3754,7;3829,0;;
Ульяновская область;769,6;948,2;988,2;987,6;1008,1;1008,6;1005,0;1006,7;1027,0;;
Уральский          федеральный округ;4997,3;5330,4;5353,3;5273,1;5348,1;5313,9;5128,6;5146,1;5159,0;;
Курганская область;1203,7;1357,5;1375,1;1365,4;1375,5;1372,3;1349,7;1362,2;1361,4;;
Свердловская область ;959,6;851,9;847,1;839,2;856,8;862,4;866,4;847,3;835,9;;
Тюменская область;990,0;1085,6;1098,4;1108,5;1099,2;1102,4;1090,3;1077,9;1066,5;;
в том числе:;;;;;;;;;;;
Ханты-Мансийский автономный округ – Югра;10,3;9,2;9,1;8,0;8,8;8,4;7,1;8,3;8,5;;
Ямало-Ненецкий автономный округ;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;;
Тюменская область без автономных округов;979,6;1076,3;1089,3;1100,4;1090,3;1093,9;1083,1;1069,4;1057,9;;
Челябинская область;1844,0;2035,4;2032,7;1960,0;2016,6;1976,9;1822,3;1858,6;1895,2;;
Сибирский            федеральный округ;15258,6;14486,0;14993,2;15001,4;15160,3;15029,8;14879,9;14915,1;14973,0;;
Республика Алтай;103,4;105,7;105,1;109,3;105,5;110,9;114,3;110,6;111,8;;
Республика Бурятия;221,8;191,2;187,2;182,2;160,5;149,0;150,5;142,0;141,8;;
Республика Тыва;38,4;30,2;30,0;38,6;46,4;33,6;27,1;32,6;32,1;;
Республика Хакасия;199,5;220,7;246,3;254,4;258,3;255,3;235,9;237,2;233,5;;
