;Социально-экономические показатели по субъектам Российской Федерации
;15. СТРОИТЕЛЬСТВО
;СТРОИТЕЛЬНАЯ ДЕЯТЕЛЬНОСТЬ
15.1.;Число действующих строительных организаций  
15.2.;Объем работ, выполненных по виду экономической деятельности «Строительство» 
15.3.;Ввод в действие зданий жилого и нежилого назначения
15.3.1.;Число зданий
15.3.2.;Общий строительный объем  зданий
15.3.3.;Общая площадь зданий
;ЖИЛИЩНОЕ И СОЦИАЛЬНО-КУЛЬТУРНОЕ СТРОИТЕЛЬСТВО
15.4.;Ввод в действие жилых домов  
15.4.1.;Всего 
15.4.2.;Ввод в действие жилых домов. на 1000 человек населения
15.5.;Ввод в действие квартир  
15.5.1.;Всего
15.5.2.;Ввод в действие квартир на 1000 человек населения
15.6.;Ввод в действие жилых домов, построенных жилищно-строительными кооперативами
15.7.;Ввод в действие жилых домов, построенных населением за счет собственных и привлеченных средств
15.8.;Удельный вес жилых домов, построенных населением за счет собственных и привлеченных средств, в общем вводе жилья  
15.9.;Ввод в действие мощностей общеобразовательных и дошкольных образовательных организаций 
15.9.1.;Общеобразовательные организации
15.9.2.;Дошкольные образовательные организации
15.10.;Ввод в действие мощностей больничных организаций  
15.10.1.; Всего
15.10.2.; На 100 000 человек населения
15.11.;Ввод в действие мощностей  амбулаторно-поликлинических организаций  
15.11.1.;Всего
15.11.2.;На 100 000 человек населения
