Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;
20.  ФИНАНСЫ;;;;;;;;;
ВКЛАДЫ (ДЕПОЗИТЫ) ЮРИДИЧЕСКИХ И ФИЗИЧЕСКИХ ЛИЦ В РУБЛЯХ, ПРИВЛЕЧЕННЫЕ КРЕДИТНЫМИ ОРГАНИЗАЦИЯМИ;;;;;;;;;
20.9.1. Всего;;;;;;;;;
"(исходя из места привлечения средств; на начало года; миллионов рублей)";;;;;;;;;
;2006;2011;2015;2016;2017;2018;;;
Российская Федерация;2515745;11635983;20265904;23204728;25438717;29576913;;;
Центральный федеральный округ;1135806;6265217;10749397;12097667;13034219;15785990;;;
Белгородская область;22262;75870;139518;162546;177438;191897;;;
Брянская область;9538;36329;69768;81812;92449;105130;;;
Владимирская область;16405;69816;118974;140564;162467;179258;;;
Воронежская область;28841;126556;224736;271216;310065;337121;;;
Ивановская область;10116;40769;75591;88354;99253;108399;;;
Калужская область;11289;49356;107792;118034;136041;144624;;;
Костромская область;6575;30373;47404;59424;72575;83999;;;
Курская область;11485;41617;89340;88062;98130;110563;;;
Липецкая область;14602;60311;93535;113101;127039;134673;;;
Московская область;97948;443816;877771;1025037;1196272;1332680;;;
Орловская область;7425;30126;51869;63953;71598;80763;;;
Рязанская область;12889;50948;93506;111220;129750;142291;;;
Смоленская область;9964;39545;62117;74121;83901;94300;;;
Тамбовская область;8600;32675;61445;76965;81524;90436;;;
Тверская область;11156;53421;98919;117403;131137;142935;;;
Тульская область;18497;68637;125271;150710;178500;192236;;;
Ярославская область;22470;69496;134493;147474;167736;187714;;;
г. Москва;815746;4945556;8277348;9207672;9718344;12126968;;;
Северо-Западный федеральный округ;277140;1152228;2088528;2423410;2706280;3002956;;;
Республика Карелия;6853;24758;51378;58979;66369;74302;;;
Республика Коми;17641;57621;85324;97452;111300;119154;;;
Архангельская область;15601;75542;108391;128169;142712;159171;;;
в том числе: ;;;;;;;;;
Ненецкий автономный округ;916;2910;6436;6804;7840;8573;;;
Архангельская область без автономного округа;14685;72632;101955;121364;134872;150598;;;
Вологодская область;24740;61047;105719;112789;131259;134896;;;
Калининградская область;12691;52835;94027;112191;130680;150230;;;
Ленинградская область;15310;56254;97045;126882;155534;161340;;;
Мурманская область;16350;55034;111612;127098;141182;155955;;;
Новгородская область;5635;20480;42756;49076;55109;59817;;;
Псковская область;5032;19120;43924;49821;53493;58797;;;
г. Санкт-Петербург;157288;729537;1348352;1560955;1718642;1929294;;;
Южный                федеральный округ;134750;550058;1050807;1275072;1428682;1595745;;;
Республика Адыгея;2052;8068;15214;18087;20007;21338;;;
Республика Калмыкия;753;4203;6229;7549;8554;9495;;;
Республика Крым;;;17836;45098;63903;80957;;;
