Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;
4. ОБРАЗОВАНИЕ;;;;;;;;
ПРЕПОДАВАТЕЛИ И МАСТЕРА ПРОИЗВОДСТВЕННОГО ОБУЧЕНИЯ, РЕАЛИЗУЮЩИЕ ПРОГРАММЫ ПОДГОТОВКИ СПЕЦИАЛИСТОВ СРЕДНЕГО ЗВЕНА;;;;;;;;
4.13.2. Численность мастеров производственного обучения1);;;;;;;;
"(на начало учебного года; человек)";;;;;;;;
;2010/2011;2011/2012;2012/2013;2013/2014;2014/2015;2015/2016;2016/2017;2017/2018
Российская Федерация;13594;15202;17167;17213;18568;19530;4991;4974
Центральный федеральный округ;3772;3987;4280;4343;4459;4804;1200;1259
Белгородская область;180;139;257;238;195;213;16;10
Брянская область;50;45;282;376;287;296;47;47
Владимирская область;87;92;68;214;193;241;45;48
Воронежская область;124;164;155;163;141;172;54;53
Ивановская область;40;38;52;82;182;173;48;46
Калужская область;128;113;149;150;118;121;34;39
Костромская область;148;209;178;150;146;134;66;48
Курская область;98;207;88;222;312;349;54;46
Липецкая область;72;64;61;46;63;140;37;44
Московская область;234;246;380;402;616;664;134;166
Орловская область;80;112;283;277;257;267;101;100
Рязанская область;325;317;275;289;309;263;143;135
Смоленская область;125;172;153;160;177;153;42;33
Тамбовская область;65;57;73;50;140;295;73;45
Тверская область;63;64;88;163;202;202;73;59
Тульская область;104;117;110;101;134;229;38;34
Ярославская область;81;68;106;149;147;199;31;22
г. Москва;1768;1763;1522;1111;840;693;164;284
Северо-Западный    федеральный округ;1313;1541;1902;1713;1861;2012;453;452
Республика Карелия;63;91;83;124;145;143;20;28
Республика Коми;216;311;337;275;272;252;27;33
Архангельская область;185;144;263;205;249;240;54;33
в том числе: ;;;;;;;;
Ненецкий автономный округ;-;-;-;-;-;-;-;-
Архангельская область    без автономного округа;;;;205;249;240;54;33
Вологодская область;194;265;270;247;202;203;49;44
Калининградская область;104;124;121;113;82;102;16;18
Ленинградская область;165;186;178;171;200;184;52;49
Мурманская область;109;93;268;212;168;132;26;25
Новгородская область;44;55;91;119;139;127;26;25
Псковская область;11;24;43;41;90;90;36;28
г. Санкт-Петербург;222;248;248;206;314;539;147;169
Южный              федеральный округ;625;654;842;880;1134;1307;465;449
Республика Адыгея;73;62;48;58;111;64;48;30
Республика Калмыкия;11;9;6;4;35;84;8;5
Республика Крым;…;…;…;…;121;143;65;56
Краснодарский край;177;215;304;271;281;382;146;151
Астраханская область;96;63;60;88;82;126;18;26
Волгоградская область;127;157;267;264;266;241;86;74
Ростовская область;141;148;157;195;169;211;90;97
г. Севастополь;…;…;…;…;69;56;4;10
Северо-Кавказский      федеральный округ;615;690;936;1108;1102;1336;293;279
Республика Дагестан;34;25;40;28;23;230;48;33
Республика Ингушетия ;3;3;112;130;135;141;58;54
Кабардино-Балкарская Республика;4;72;185;122;124;123;78;71
Карачаево-Черкесская Республика;9;5;5;2;17;58;22;12
Республика Северная Осетия - Алания;12;11;96;66;85;110;15;17
Чеченская Республика ;11;7;42;432;395;326;12;24
Ставропольский край;542;567;456;328;323;348;60;68
Приволжский          федеральный округ;3789;4181;4452;4191;4246;4009;1098;1073
Республика Башкортостан;166;177;200;158;254;262;99;91
Республика Марий Эл;220;191;187;171;173;187;59;61
Республика Мордовия;93;148;142;121;110;96;41;47
Республика Татарстан;553;653;634;648;743;716;235;219
Удмуртская Республика;189;202;210;175;212;246;24;28
Чувашская Республика;169;145;176;217;243;204;52;54
Пермский край;462;404;461;469;504;484;95;113
Кировская область;290;363;402;316;295;275;103;94
Нижегородская область ;527;596;564;628;586;525;91;95
Оренбургская область;142;139;202;228;222;191;34;26
Пензенская область;200;316;411;295;200;198;30;24
Самарская область;264;351;404;319;266;297;110;97
Саратовская область;436;419;361;308;308;212;95;94
Ульяновская область;78;77;98;138;130;116;30;30
Уральский       федеральный округ;1775;2007;2073;2010;2236;2066;464;438
Курганская область;103;115;197;177;190;174;49;51
Свердловская область ;741;815;856;817;833;761;187;173
Тюменская область;596;573;530;585;559;579;125;119
в том числе:;;;;;;;;
Ханты-Мансийский автономный   округ – Югра;342;347;315;296;284;307;67;68
Ямало-Ненецкий автономный округ;71;63;64;54;71;84;3;4
Тюменская область    без автономных округов;;;;235;204;188;55;47
Челябинская область;335;504;490;431;654;552;103;95
Сибирский         федеральный округ;1309;1734;2208;2511;2848;3106;784;769
Республика Алтай;6;7;9;15;48;46;2;2
Республика Бурятия;106;224;200;139;176;147;32;36
Республика Тыва;20;15;87;115;168;181;28;24
Республика Хакасия;60;62;74;153;140;127;16;18
Алтайский край;97;149;138;124;146;244;48;48
Забайкальский край;64;71;97;77;122;113;32;37
Красноярский край;140;133;149;111;222;371;164;131
Иркутская область;226;330;317;388;443;481;99;99
Кемеровская область;199;220;508;684;659;601;90;82
Новосибирская область ;115;138;185;197;191;242;114;124
Омская область;194;293;285;293;307;342;91;119
Томская область;82;92;159;215;226;211;68;49
Дальневосточный     федеральный округ;396;408;474;457;682;890;234;255
