Социально-экономические показатели по субъектам Российской Федерации;;;;;
13. ПРЕДПРИЯТИЯ И ОРГАНИЗАЦИИ;;;;;
ИНДИВИДУАЛЬНОЕ ПРЕДПРИНИМАТЕЛЬСТВО;;;;;
ОСНОВНЫЕ ПОКАЗАТЕЛИ ДЕЯТЕЛЬНОСТИ  ИНДИВИДУАЛЬНЫХ ПРЕДПРИНИМАТЕЛЕЙ;;;;;
12.4.1. Число индивидуальных предпринимателей;;;;;
"(по данным сплошных федеральных статистических наблюдений за деятельностью субъектов малого и среднего предпринимательства; тысяч)";;;;;
;2010;2015;;;
Российская Федерация;2928;2792;;;
Центральный федеральный округ;626;604;;;
Белгородская область;46;44;;;
Брянская область;42;27;;;
Владимирская область;37;31;;;
Воронежская область;52;50;;;
Ивановская область;27;22;;;
Калужская область;21;22;;;
Костромская область;17;14;;;
Курская область;32;27;;;
Липецкая область;32;25;;;
Московская область ;57;97;;;
Орловская область;19;17;;;
Рязанская область;25;21;;;
Смоленская область;22;18;;;
Тамбовская область;25;21;;;
Тверская область;29;25;;;
Тульская область;37;36;;;
Ярославская область;32;19;;;
г. Москва;74;89;;;
"Северо-Западный
федеральный округ";257;227;;;
Республика Карелия;14;12;;;
Республика Коми;20;19;;;
Архангельская область;24;26;;;
в том числе: ;;;;;
Ненецкий автономный округ;1;1;;;
Архангельская область      без автономного округа;23;25;;;
Вологодская область;35;21;;;
Калинингpадская область;29;24;;;
Ленинградская область;27;29;;;
Мурманская область;15;14;;;
Новгородская область;15;13;;;
Псковская область;15;12;;;
г. Санкт-Петербург;65;58;;;
Южный                 федеральный округ;402;478;;;
Республика Адыгея;15;13;;;
Республика Калмыкия;8;7;;;
Республика Крым;;55;;;
Краснодарский край;176;196;;;
Астраханская область;31;24;;;
Волгоградская область;67;52;;;
Ростовская область;106;117;;;
г. Севастополь;;14;;;
Северо-Кавказский федеральный округ;218;181;;;
Республика Дагестан;35;33;;;
Республика Ингушетия;9;6;;;
Кабардино-Балкарская Республика;27;18;;;
Карачаево-Черкесская Республика;13;10;;;
Республика Северная Осетия – Алания;19;13;;;
Чеченская Республика;28;22;;;
Ставропольский край;88;80;;;
Приволжский федеральный округ;592;560;;;
Республика Башкортостан;80;76;;;
Республика Марий Эл;11;11;;;
Республика Мордовия;19;16;;;
Республика Татарстан;76;74;;;
Удмуртская Республика;34;29;;;
Чувашская Республика;40;28;;;
Пермский край;43;56;;;
Кировская область;37;30;;;
Нижегородская область;47;49;;;
Оренбургская область;51;40;;;
Пензенская область;35;32;;;
Самарская область;56;44;;;
Саратовская область;39;50;;;
Ульяновская область;24;27;;;
Уральский            федеральный округ;254;235;;;
Курганская область;19;15;;;
Свердловская область;84;87;;;
Тюменская область;81;76;;;
в том числе:;;;;;
Ханты-Мансийский      автономный округ – Югра;32;37;;;
Ямало-Ненецкий автономный округ;11;9;;;
Тюменская область     без автономных округов;38;31;;;
Челябинская область;70;58;;;
Сибирский           федеральный округ;422;361;;;
Республика Алтай;8;6;;;
Республика Бурятия;26;18;;;
Республика Тыва;9;6;;;
Республика Хакасия;15;14;;;
Алтайский край;61;48;;;
Забайкальский край;29;18;;;
Красноярский край;53;57;;;
Иркутская область;45;39;;;
Кемеровская область;48;41;;;
Новосибирская область;54;54;;;
Омская область;49;40;;;
Томская область;25;21;;;
Дальневосточный федеральный округ;157;146;;;
Республика Саха (Якутия);36;34;;;
Камчатский край;10;8;;;
Приморский край;46;43;;;
Хабаровский край;23;22;;;
Амурская область;18;17;;;
Магаданская область;5;6;;;
Сахалинская область;16;14;;;
Еврейская автономная область;3;3;;;
Чукотский автономный округ;1;1;;;
