Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;
5. ЗДРАВООХРАНЕНИЕ;;;;;;;;;;;;;;;;
ЧИСЛО БОЛЬНИЧНЫХ КОЕК1);;;;;;;;;;;;;;;;
5.1.1. Всего1);;;;;;;;;;;;;;;;
"(на конец года; тысяч коек )";;;;;;;;;;;;;;;;
Республика Карелия;8,2;6,8;6,8;6,4;5,5;4,9;4,7;4,6;;;;;;;;
Республика Коми;11,1;10,0;9,6;9,1;8,9;8,9;8,6;8,4;;;;;;;;
Архангельская область;15,7;12,6;12,9;12,6;12,3;11,5;10,9;10,5;;;;;;;;
в том числе: ;;;;;;;;;;;;;;;;
Ненецкий автономный округ;0,5;0,5;0,5;0,5;0,5;0,5;0,4;0,4;;;;;;;;
Архангельская область без автономного округа;15,2;12,1;12,4;12,1;11,8;11,0;10,5;10,1;;;;;;;;
Вологодская область;14,4;10,7;10,7;10,4;9,7;10,0;9,2;9,0;;;;;;;;
Калининградская область;9,8;7,3;8,6;8,7;8,8;8,6;8,4;8,4;;;;;;;;
Ленинградская область;15,0;12,7;12,2;12,2;11,8;11,7;11,9;11,6;;;;;;;;
Мурманская область;9,7;9,9;9,2;9,1;8,2;7,9;7,6;7,3;;;;;;;;
Новгородская область;8,5;6,2;6,2;5,7;5,1;5,1;5,1;5,0;;;;;;;;
Псковская область;9,6;6,9;6,5;5,9;5,9;5,5;5,5;5,3;;;;;;;;
г. Санкт-Петербург;46,0;43,8;46,2;47,0;45,1;44,8;44,2;45,2;;;;;;;;
Южный           федеральный округ;144,8;125,7;126,2;122,7;132,8;130,9;129,9;131,3;;;;;;;;
Республика Адыгея;4,9;4,2;3,9;3,3;3,3;3,4;3,4;3,4;;;;;;;;
Республика Калмыкия;3,9;2,7;2,6;2,6;2,5;2,4;2,2;2,2;;;;;;;;
Республика Крым;;;;;16,3;14,8;14,5;15,1;;;;;;;;
Краснодарский край;49,2;42,7;44,2;44,1;41,3;40,7;41,1;42;;;;;;;;
Астраханская область;11,7;10,3;10,4;10,0;9,8;9,6;9,4;9,0;;;;;;;;
Волгоградская область;31,5;28,4;26,9;24,7;22,6;22,8;22,2;22,0;;;;;;;;
Ростовская область;43,6;37,3;38,2;37,9;34,2;34,5;34,5;34,1;;;;;;;;
г. Севастополь;;;;;2,8;2,7;2,6;3,6;;;;;;;;
Северо-Кавказский федеральный округ;64,8;73,6;74,1;73,0;71,5;70,9;70,4;70,4;;;;;;;;
Республика Дагестан;18,0;19,7;20,7;20,9;20,7;20,5;20,4;21,2;;;;;;;;
Республика Ингушетия ;1,9;2,1;2,1;2,1;2,3;2,3;2,3;2,2;;;;;;;;
Кабардино-Балкарская Республика;9,0;8,4;8,4;8,1;7,5;7,3;7,1;6,7;;;;;;;;
Карачаево-Черкесская Республика;4,4;4,1;3,8;3,7;3,4;3,5;3,3;3,2;;;;;;;;
Республика Северная  Осетия – Алания;7,2;7,1;7,5;6,6;6,2;6,2;6,3;6,3;;;;;;;;
Чеченская Республика ;…;10,5;10,0;10,0;8,7;8,6;8,6;8,2;;;;;;;;
Ставропольский край;24,3;21,7;21,5;21,7;22,6;22,5;22,5;22,6;;;;;;;;
Приволжский федеральный округ;340,2;274,5;274,1;266,0;257,3;247,2;241,5;237,8;;;;;;;;
Республика Башкортостан;39,2;35,1;34,6;33,1;32,9;32,6;32,0;31,7;;;;;;;;
Республика Марий Эл;8,9;7,8;6,9;6,8;6,6;6,2;5,7;5,6;;;;;;;;
