Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;
17. ТРАНСПОРТ;;;;;;;;
17.5.  ГРУЗООБОРОТ АВТОМОБИЛЬНОГО ТРАНСПОРТА ОРГАНИЗАЦИЙ ВСЕХ ВИДОВ ДЕЯТЕЛЬНОСТИ1);;;;;;;;
(миллионов тонно-километров);;;;;;;;
Томская область;1526;4407;4088;3120;2642;2940;2421;2798
Дальневосточный федеральный округ;5465;5586;5979;5790;5987;6026;6338;5708
Республика Саха (Якутия);1715;1096;1710;1517;1668;1842;2020;1908
Камчатский край;100;394;87;41;40;29;28;47
Приморский край;1245;1174;1253;1375;1264;1097;1249;1201
Хабаровский край;965;934;1144;1135;1100;1206;1127;975
Амурская область;659;983;632;518;525;585;690;645
Магаданская область;219;276;229;210;219;242;303;264
Сахалинская область;319;208;389;438;462;339;300;403
Еврейская автономная область;113;489;510;524;461;344;221;217
Чукотский автономный округ;130;33;25;32;248;342;400;48
?????;;;;;;;;
"1) По Российской Федерации – включая оценку деятельности субъектов малого предпринимательства;  по субъектам Российской Федерации – без оценки деятельности малых и микропредприятий.";;;;;;;;
2) По месту регистрации юридического лица.;;;;;;;;
