Социально-экономические показатели по субъектам Российской Федерации;;;;;;;
14. СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, РЫБОЛОВСТВО И РЫБОВОДСТВО;;;;;;;
СЕЛЬСКОЕ ХОЗЯЙСТВО;;;;;;;
Основные показатели сельского хозяйства;;;;;;;
ОСНОВНЫЕ ФИНАНСОВЫЕ ПОКАЗАТЕЛИ ОРГАНИЗАЦИЙ, ОСУЩЕСТВЛЯЮЩИХ ДЕЯТЕЛЬНОСТЬ В РАСТЕНИЕВОДСТВЕ И ЖИВОТНОВОДСТВЕ;;;;;;;
14.3.2. Сальдированный финансовый результат (прибыль минус убыток) организаций1). Животноводство;;;;;;;
(миллионов рублей);;;;;;;
;2005;2010;2013;2014;2015;2016;2017
Российская Федерация;20887;50107;29086;117921;123055;93574;102224
Центральный     федеральный округ;5464;19448;10530;53625;52653;53656;57833
Белгородская область;2376;8009;5421;36022;32973;21810;24127
Брянская область;69;810;2320;-15498;-10702;9720;513
Владимирская область;265;1099;709;1097;1161;74;1101
Воронежская область;53;730;271;2893;1954;3517;2294
Ивановская область;198;19;71;-97;195;27;-45
Калужская область;185;-36;-210;478;218;344;474
Костромская область;261;185;310;446;604;290;255
Курская область;-33;-219;1546;7214;7638;3316;7949
Липецкая область;115;1507;411;4690;3510;3578;5633
Московская область;928;4189;-552;1749;839;2919;1243
Орловская область;47;123;112;1908;1303;950;1491
Рязанская область;361;1122;788;1704;1995;1538;1349
Смоленская область;58;56;-379;-202;904;636;867
Тамбовская область;-72;389;-1202;8021;5600;2545;4529
Тверская область;40;572;204;843;1118;893;3747
Тульская область;256;297;317;430;996;708;362
Ярославская область;357;595;721;1932;2259;1033;1887
г. Москва;0;1;-328;-5;88;-242;57
Северо-Западный федеральный округ;3313;4661;-283;13579;12465;11683;12734
Республика Карелия;38;-88;46;66;19;-38;112
Республика Коми;106;496;739;657;807;539;564
Архангельская область;-72;177;180;283;424;306;299
в том числе: ;;;;;;;
Ненецкий автономный округ;4;35;66;10;114;121;46
Архангельская область без автономного округа;-76;142;114;273;310;185;253
Вологодская область;637;622;-3693;1354;786;1664;795
Калининградская область;249;116;489;233;687;963;963
Ленинградская область;2051;2754;2283;9028;6013;3543;4949
Мурманская область;21;48;-119;-642;-122;120;-3
Новгородская область;104;196;-84;1074;888;905;408
Псковская область;151;159;-420;1368;2837;3693;4622
г. Санкт-Петербург;28;181;296;158;126;-12;25
Южный            федеральный округ;1062;2364;461;1232;6309;1053;-2546
Республика Адыгея;126;46;141;568;-662;-191;-168
Республика Калмыкия;96;176;193;92;118;-7;127
Республика Крым;;;;-2705;-790;284;135
Краснодарский край;418;1239;408;1518;7682;2616;1822
Астраханская область;-27;20;-79;65;-9;-127;-105
Волгоградская область;32;131;48;774;-849;398;165
Ростовская область;417;752;-250;920;819;-1920;-4522
г. Севастополь;;;;-;-;-;-
Северо-Кавказский федеральный округ;91;515;705;3197;2707;3427;2610
Республика Дагестан;4;39;12;52;24;112;144
Республика Ингушетия;-3;-1;-;0,1;0,1;0,4;0,4
Кабардино-Балкарская Республика;-17;-8;54;59;201;124;103
Карачаево-Черкесская Республика;-90;39;287;144;10;37;11
Республика Северная Осетия – Алания;-10;-33;-1;-;0,0;-;-
Чеченская Республика ;…;-4;-23;1;-10;2;-0,2
Ставропольский край;207;483;376;2941;2482;3152;2352
Приволжский          федеральный округ;3553;7028;4209;22114;23004;7424;8883
Республика Башкортостан;56;985;511;1104;2008;1253;-3249
Республика Марий Эл;239;387;896;1544;1408;-3614;-1033
Республика Мордовия;298;766;1257;1471;3426;2871;3003
