Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;
13.  ПРОМЫШЛЕННОЕ ПРОИЗВОДСТВО;;;;;;;;;;;;
ОБЪЕМ ОТГРУЖЕННЫХ ТОВАРОВ СОБСТВЕННОГО ПРОИЗВОДСТВА, ВЫПОЛНЕННЫХ РАБОТ И УСЛУГ СОБСТВЕННЫМИ СИЛАМИ ПО ВИДАМ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ;;;;;;;;;;;;
13.1.5. «Производство и распределение электроэнергии, газа и воды» в соответствии с ОКВЭД1);;;;;;;;;;;;
"(в фактически действовавших ценах; миллионов рублей)";;;;;;;;;;;;
;2005;2010;2011;2012;2013;2014;2015;2016;;;;
Российская Федерация;1690656;3665280;4219137;4160147;4491574;4712009;4917677;5332278;;;;
"Центральный
федеральный округ";492032;1156520;1392745;1298228;1368387;1411690;1491884;1668238;;;;
Белгородская область;14706;22525;25058;25259;28868;27360;28740;28225;;;;
Брянская область;7848;12959;14010;14102;10924;13836;15549;16829;;;;
Владимирская область;12290;22523;26368;28155;30057;31441;33321;36604;;;;
Воронежская область;16246;42016;42596;47265;55283;57922;59744;64231;;;;
Ивановская область;11568;24728;25071;25238;27609;26531;28550;30807;;;;
Калужская область;12331;13024;15088;16812;17953;19356;20632;21475;;;;
Костромская область;13621;24703;29461;30807;33562;36551;34179;36590;;;;
Курская область;23212;54343;55638;51342;50937;59714;59316;59150;;;;
Липецкая область;16893;22716;26349;26035;27089;27818;28941;27249;;;;
Московская область;91538;243277;306841;262031;259976;259484;268205;292429;;;;
Орловская область;8135;9690;13674;13668;10280;12259;12744;13656;;;;
Рязанская область;16108;29031;33583;33277;36072;35038;32930;38946;;;;
Смоленская область;23392;53812;45821;46344;52194;53872;55431;55230;;;;
Тамбовская область;6506;10714;11941;13264;14354;14813;15502;16126;;;;
Тверская область;22640;59476;62821;69644;82430;86541;88438;88013;;;;
Тульская область;18988;33875;34306;35501;35887;41308;48251;51266;;;;
Ярославская область;17189;27718;30340;30570;33447;33656;32714;36052;;;;
г. Москва;158824;449391;593779;528916;561464;574190;628697;755361;;;;
"Северо-Западный
федеральный округ";191670;397412;458889;473141;543409;566182;532267;598388;;;;
Республика Карелия;9108;16453;17977;19825;20717;21843;24764;28365;;;;
Республика Коми;16074;34421;35958;36423;39849;43161;43971;45514;;;;
Архангельская область;14522;28727;30895;32406;34061;33853;35333;36682;;;;
в том числе:;;;;;;;;;;;;
Ненецкий автономный округ;500;1692;1842;2078;2655;3076;3171;3909;;;;
Архангельская область без автономного округа;14021;27035;29054;30328;31406;30777;32163;32773;;;;
Вологодская область;17218;29537;27596;30941;33740;35581;40876;43213;;;;
Калининградская область;7612;18293;25112;20322;21825;22685;22988;26572;;;;
Ленинградская область;31720;77932;103228;106698;137956;149173;99768;105308;;;;
Мурманская область;23278;43398;48568;52005;57106;55741;56927;62036;;;;
Новгородская область;7545;11480;11682;13172;13528;14895;15918;21294;;;;
Псковская область;5045;9361;10460;10423;10929;10542;10565;11268;;;;
г. Санкт-Петербург;59549;127811;147414;150925;173698;178708;181157;218137;;;;
Южный          федеральный округ;108868;216433;260536;261665;299044;294991;357666;397324;;;;
Республика Адыгея;1935;1490;1698;1988;2139;2229;2503;2773;;;;
Республика Калмыкия;1312;1862;2155;2499;2459;2634;2683;3023;;;;
Республика Крым;;;;;;…;25553;31021;;;;
Краснодарский край;35416;84354;98677;100329;117373;97150;109727;119759;;;;
Астраханская область;9869;13238;15615;17151;20124;23624;25553;28402;;;;
Волгоградская область;25610;47922;54424;53947;58335;60958;65371;63364;;;;
Ростовская область;34726;67567;87967;85751;98614;108396;120471;141823;;;;
г. Севастополь;;;;;;…;5805;7159;;;;
Северо-Кавказский     федеральный округ;50922;88778;103048;101620;110892;121132;123815;136518;;;;
Республика Дагестан;4411;14167;14072;12152;14077;14168;14167;18078;;;;
Республика Ингушетия;227;1328;1578;1342;1477;1391;1619;2861;;;;
Кабардино-Балкарская Республика;2854;8394;10227;8092;7333;7567;8157;8527;;;;
Карачаево-Черкесская Республика;3317;5235;5232;5603;6080;5362;5760;5861;;;;
Республика Северная Осетия – Алания;2593;4853;7129;6555;7074;7556;5529;6555;;;;
Чеченская Республика;…;4283;4585;5304;9765;12676;14120;14680;;;;
Ставропольский край;37521;50518;60226;62572;65085;72412;74464;79956;;;;
Приволжский      федеральный округ;378245;703033;788337;766523;818301;868472;893643;908654;;;;
Республика Башкортостан ;35435;72571;88506;88443;97642;109823;113188;122253;;;;
Республика Марий Эл;5575;8729;10067;9694;11008;10863;10959;11967;;;;
Республика Мордовия;7639;9566;10509;10212;10654;11593;11874;12184;;;;
Республика Татарстан;41495;90876;107240;109757;121566;126046;126650;133430;;;;
Удмуртская Республика ;12959;24567;28646;27220;29524;33063;34677;37255;;;;
Чувашская Республика;11524;21676;21909;20790;21476;21955;20911;21801;;;;
Пермский край ;66146;79829;89355;90085;96926;105398;105588;104835;;;;
Кировская область;14548;25798;28800;28303;30721;34879;37173;39842;;;;
Нижегородская область;37885;79810;84439;80661;90996;91099;97914;103857;;;;
Оренбургская область ;33304;81503;96823;83189;62496;65921;78012;57468;;;;
Пензенская область;9751;14497;17663;16713;14480;19667;21534;22394;;;;
Самарская область;55790;87391;98420;98619;115666;122985;115748;119517;;;;
Саратовская область;34637;82064;81174;80369;90217;89658;93886;95664;;;;
Ульяновская область;11558;24155;24784;22469;24930;25522;25529;26187;;;;
Уральский          федеральный округ;212640;463867;519743;528847;569326;596914;605042;657281;;;;
Курганская область ;7921;16902;18663;19170;21682;22950;20414;21361;;;;
Свердловская область ;61591;141380;170797;165583;166297;170915;170375;182509;;;;
Тюменская область;108962;232376;249728;261046;293842;300151;301417;323718;;;;
в том числе:;;;;;;;;;;;;
Ханты-Мансийский автономный округ – Югра;81425;163049;172588;175103;195094;206904;206989;219992;;;;
Ямало-Ненецкий автономный округ;13366;32847;35527;41034;48683;49734;49234;55464;;;;
