Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;
18. ИНФОРМАЦИОННЫЕ И КОММУНИКАЦИОННЫЕ ТЕХНОЛОГИИ;;;;;;;;;;;;
ИСПОЛЬЗОВАНИЕ ЭЛЕКТРОННОГО ДОКУМЕНТООБОРОТА В ОРГАНИЗАЦИЯХ;;;;;;;;;;;;
18.5.2. Организации, использовавшие электронный обмен данными между своими и внешними информационными системами, по форматам обмена1);;;;;;;;;;;;
(в процентах от общего числа обследованных организаций соответствующего субъекта Российской Федерации);;;;;;;;;;;;
;2011;2012;2013;2014;2015;2016;2017;;;;;
Ханты-Мансийский      автономный округ – Югра;35,0;28,7;25,6;48,6;54,3;58,1;56,2;;;;;
Ямало-Ненецкий    автономный округ;38,7;31,6;28,4;47,7;52,0;55,5;53,0;;;;;
Тюменская область без автономных округов;34,5;24,3;27,1;48,8;59,0;59,9;57,2;;;;;
Челябинская область;33,5;26,6;26,9;51,7;61,6;62,3;64,0;;;;;
Сибирский    федеральный округ;31,4;23,3;24,1;50,6;57,9;58,3;59,1;;;;;
Республика Алтай;34,6;21,8;28,4;91,1;68,1;66,8;69,3;;;;;
Республика Бурятия;35,8;23,2;21,7;42,4;73,8;71,4;59,8;;;;;
Республика Тыва;27,4;18,7;20,1;44,1;54,5;65,8;75,5;;;;;
Республика Хакасия;40,6;27,3;30,3;57,2;62,3;60,5;57,0;;;;;
Алтайский край;26,9;21,3;22,4;48,6;57,9;60,9;56,9;;;;;
Забайкальский край;25,3;20,7;24,6;47,2;55,5;55,6;61,2;;;;;
Красноярский край;29,8;23,2;24,5;51,8;61,9;60,2;59,2;;;;;
Иркутская область;34,1;24,1;24,3;56,5;57,5;56,9;69,3;;;;;
Кемеровская область;39,1;28,5;26,7;48,9;55,5;58,9;56,8;;;;;
Новосибирская область;30,1;21,4;22,5;50,8;59,0;52,9;55,3;;;;;
Омская область;29,3;23,1;23,8;48,2;50,5;56,4;57,3;;;;;
Томская область;36,8;25,6;25,4;46,9;52,0;56,9;51,6;;;;;
Дальневосточный   федеральный округ;31,0;23,2;24,0;47,2;56,5;59,4;63,0;;;;;
Республика Саха (Якутия);25,2;20,7;22,2;37,8;48,6;51,8;56,6;;;;;
Камчатский край;27,5;23,8;23,2;55,3;62,6;63,0;64,0;;;;;
Приморский край;35,9;26,2;24,9;53,5;59,9;61,9;63,7;;;;;
Хабаровский край;36,4;24,8;26,6;54,0;65,9;69,7;63,3;;;;;
Амурская область;29,0;22,8;24,4;43,4;53,6;59,3;76,5;;;;;
Магаданская область;31,4;19,8;25,4;43,7;54,4;56,5;55,4;;;;;
Сахалинская область;32,7;23,8;23,8;49,5;60,3;59,0;63,7;;;;;
Еврейская автономная    область;27,1;21,9;21,7;36,8;43,3;54,3;54,2;;;;;
Чукотский автономный  округ ;31,5;19,7;13,8;45,7;52,3;49,5;49,5;;;;;
________;;;;;;;;;;;;
1) До 2015 г. – автоматический.;;;;;;;;;;;;
;;;;;;;;;;;;
