Социально-экономические показатели по субъектам Российской Федерации;;;;;;
18. ИНФОРМАЦИОННЫЕ И КОММУНИКАЦИОННЫЕ ТЕХНОЛОГИИ;;;;;;
ИСПОЛЬЗОВАНИЕ СЕТИ ИНТЕРНЕТ НАСЕЛЕНИЕМ;;;;;;
18.7.1.  Население, использовавшее сеть Интернет1);;;;;;
"(по данным выборочного обследования населения по вопросам использования ИКТ; в процентах от общей численности населения соответствующего субъекта Российской Федерации)";;;;;;
;2014;2015;2016;2017;;
Российская Федерация;70,5;73,4;76,4;79,8;;
Центральный   федеральный округ;71,4;75,0;77,0;81,4;;
Белгородская область;69,1;66,1;71,7;76,6;;
Брянская область;61,0;63,9;73,5;75,3;;
Владимирская область;64,9;67,2;71,1;76,5;;
Воронежская область;62,4;66,4;75,9;78,7;;
Ивановская область;67,9;74,6;75,1;81,7;;
Калужская область;64,4;68,1;70,6;73,6;;
Костромская область;66,0;67,0;71,8;76,5;;
Курская область;63,6;62,3;77,9;77,4;;
Липецкая область;65,9;69,4;74,7;79,9;;
Московская область;73,0;79,8;79,8;90,4;;
Орловская область;63,7;66,9;65,9;68,5;;
Рязанская область;62,8;65,3;66,5;69,7;;
Смоленская область;69,9;73,6;72,7;78,7;;
Тамбовская область;62,5;70,5;70,8;74,3;;
Тверская область;63,6;70,2;73,7;78,3;;
Тульская область;73,0;74,5;79,3;82,4;;
Ярославская область;68,7;72,4;74,5;75,7;;
г. Москва;79,8;82,3;81,0;83,1;;
Северо-Западный     федеральный округ;75,5;78,6;80,8;81,5;;
Республика Карелия;73,8;75,4;78,5;81,2;;
Республика Коми;69,7;79,0;77,9;79,6;;
Архангельская область;72,3;75,3;78,0;77,7;;
в том числе: ;;;;;;
Ненецкий автономный   округ;69,4;70,2;76,0;75,0;;
Архангельская область    без автономного округа;72,4;75,5;78,1;77,8;;
Вологодская область;60,1;65,2;66,5;76,0;;
Калининградская область;78,8;78,4;78,4;81,1;;
Ленинградская область;72,3;77,6;77,3;76,8;;
Мурманская область;80,8;86,4;85,6;85,6;;
Новгородская область;66,6;68,8;72,8;72,9;;
Псковская область;63,6;71,5;75,1;76,4;;
г. Санкт-Петербург;83,3;84,0;87,9;86,5;;
Южный          федеральный округ;68,6;72,2;77,2;81,2;;
Республика Адыгея;57,3;64,2;66,2;75,2;;
Республика Калмыкия;65,5;74,3;77,9;81,3;;
Республика Крым;…;75,3;76,2;82,8;;
Краснодарский край;66,8;68,7;75,1;80,9;;
Астраханская область;68,0;71,8;78,0;79,3;;
Волгоградская область;72,2;73,8;77,5;79,0;;
Ростовская область;70,1;74,2;80,8;83,0;;
