Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;
14. СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, РЫБОЛОВСТВО И РЫБОВОДСТВО;;;;;;;;
СЕЛЬСКОЕ ХОЗЯЙСТВО;;;;;;;;
Растениеводство;;;;;;;;
 ВНЕСЕНИЕ УДОБРЕНИЙ НА ОДИН ГЕКТАР ПОСЕВА СЕЛЬСКОХОЗЯЙСТВЕННЫХ КУЛЬТУР В СЕЛЬСКОХОЗЯЙСТВЕННЫХ ОРГАНИЗАЦИЯХ1) ;;;;;;;;
14.24.2. Органические удобрения;;;;;;;;
(тонн);;;;;;;;
;2005;2010;2012;2013;2014;2015;2016;2017
Челябинская область;0,1;0,3;0,4;0,3;0,5;0,5;0,7;0,7
Сибирский      федеральный округ;0,5;0,5;0,5;0,6;0,6;0,6;0,6;0,7
Республика Алтай;0,8;1,3;1,3;1,8;1,8;1,3;2,0;2,3
Республика Бурятия;0,5;0,3;0,5;0,5;0,3;0,5;0,8;0,4
Республика Тыва;-;0,3;-;-;-;…2);…2);-
Республика Хакасия;0,0;-;-;-;-;0,8;-;-
Алтайский край;0,2;0,2;0,2;0,3;0,2;0,2;0,3;0,3
Забайкальский край;0,4;0,2;0,2;0,2;0,2;…2);…2);0,1
Красноярский край;0,7;0,9;1,0;1,1;1,2;0,9;0,8;0,8
Иркутская область;0,5;0,6;0,5;0,5;0,5;0,6;0,7;0,8
Кемеровская область;0,5;0,5;0,4;0,4;0,5;0,4;0,4;0,4
Новосибирская область ;0,3;0,5;0,5;0,6;0,7;0,7;0,8;1,0
Омская область;0,9;0,9;0,8;0,8;1,0;1,0;1,0;1,1
Томская область;1,2;0,8;1,0;1,1;0,9;0,9;1,1;1,5
Дальневосточный     федеральный округ;0,2;0,1;0,2;0,2;0,3;0,3;0,3;0,3
Республика Саха (Якутия);0,8;0,6;0,6;0,4;0,4;0,4;0,4;0,4
Камчатский край;0,1;0,5;0,0;…2);…2);…2);…2);1,5
Приморский край;0,2;0,3;0,2;0,2;0,8;0,7;1,1;0,6
Хабаровский край;0,5;0,3;0,6;0,6;0,8;0,6;0,3;0,4
Амурская область;0,0;-;0,0;0,0;0,02;0,1;0,1;0,05
Магаданская область;5,5;2,2;2,0;1,9;…2);-;-;-
Сахалинская область;2,8;1,7;5,5;2,9;2,4;4,7;3,2;7,1
Еврейская автономная область;0,2;-;-;-;-;-;-;-
Чукотский автономный округ;-;-;-;-;-;-;-;-
??????;;;;;;;;
1) С 2010 г. –  без учета микропредприятий.;;;;; ;;;
2) Данные не публикуются в целях обеспечения конфиденциальности первичных статистических данных,                                                                                                                                                                                                                                                                            полученных от организаций, в соответствии с Федеральным законом от 29.11.2007 г. № 282-ФЗ                                                                                                                                                                                                                                                                                                                                                                «Об официальном статистическом учете и системе государственной статистики в Российской Федерации» (п.5 ст.4, ч.1 ст.9).;;;;;;;;
