Социально-экономические показатели по субъектам Российской Федерации;;;;
14.СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, РЫБОЛОВСТВО И РЫБОВОДСТВО;;;;
СЕЛЬСКОЕ ХОЗЯЙСТВО;;;;
Основные показатели сельского хозяйства;;;;
ИНДЕКСЫ ПРОИЗВОДСТВА ПРОДУКЦИИ СЕЛЬСКОГО ХОЗЯЙСТВА;;;;
14.2.2. Продукция растениеводства1);;;;
" (в хозяйствах всех категорий; в сопоставимых ценах; в процентах к предыдущему году)  ";;;;
;2005;2016;2017;
Российская Федерация;102,7;107,8;103,5;
Центральный федеральный округ;104,0;104,5;101,4;
Белгородская область;110,7;117,4;90,5;
Брянская область;90,0;111,7;109,0;
Владимирская область;115,2;93,6;85,8;
Воронежская область;106,2;104,2;101,8;
Ивановская область;94,7;91,3;96,2;
Калужская область;92,0;94,0;114,2;
Костромская область;102,8;91,7;80,6;
Курская область;104,0;118,6;108,7;
Липецкая область;110,9;110,7;105,8;
Московская область;96,2;95,4;90,4;
Орловская область;100,2;113,9;100,0;
Рязанская область;105,4;93,9;109,7;
Смоленская область;85,3;86,2;95,8;
Тамбовская область;118,0;90,0;108,8;
Тверская область;87,1;91,3;76,0;
Тульская область;113,4;102,4;109,8;
Ярославская область;101,5;110,7;81,1;
г. Москва;;96,2;91,0;
Северо-Западный федеральный округ;99,2;93,0;85,7;
Республика Карелия;101,3;88,7;94,9;
Республика Коми;94,2;98,9;68,7;
Архангельская область;91,3;106,0;73,8;
в том числе: ;;;;
Ненецкий автономный округ;87,8;106,6;82,9;
Архангельская область без автономного округа;;106,0;73,6;
Вологодская область;108,5;108,3;71,8;
Калининградская область;98,5;85,9;94,0;
Ленинградская область;109,6;85,6;91,3;
Мурманская область;85,8;102,1;102,1;
Новгородская область;94,6;103,9;79,8;
Псковская область;77,1;97,7;93,0;
Южный               федеральный округ;101,7;112,1;104,1;
Республика Адыгея;119,1;106,9;97,4;
Республика Калмыкия;87,6;142,8;111,2;
Республика Крым;;104,5;94,1;
Краснодарский край;101,3;106,0;101,6;
Астраханская область;116,8;97,5;116,9;
Волгоградская область;98,9;119,4;102,1;
Ростовская область;102,7;121,6;109,6;
г. Севастополь;;108,9;102,2;
Северо-Кавказский федеральный округ;106,7;109,4;101,3;
Республика Дагестан;112,5;107,2;106,8;
Республика Ингушетия ;72,9;120,5;64,1;
Кабардино-Балкарская Республика;90,8;108,6;107,9;
Карачаево-Черкесская Республика;105,7;103,5;99,0;
Республика Северная Осетия – Алания;86,4;100,8;95,3;
Чеченская Республика ;88,2;128,5;136,8;
Ставропольский край;113,2;110,7;98,0;
Приволжский федеральный округ;99,4;111,7;104,7;
Республика Башкортостан;96,3;103,6;106,4;
Республика Марий Эл;98,6;98,7;73,4;
Республика Мордовия;114,1;110,5;100,5;
Республика Татарстан;104,7;109,9;109,1;
Удмуртская Республика;101,4;92,8;98,8;
Чувашская Республика;106,1;99,7;95,3;
Пермский край;92,9;98,2;100,9;
Кировская область;85,4;104,6;89,4;
Нижегородская область ;118,5;96,5;102,9;
Оренбургская область;90,3;128,7;121,8;
Пензенская область;97,8;106,0;90,1;
Самарская область;97,4;126,1;101,6;
Саратовская область;95,7;123,4;107,2;
Ульяновская область;98,0;125,1;112,3;
Уральский         федеральный округ;130,7;100,7;106,9;
Курганская область;133,2;108,4;112,1;
Свердловская область ;111;94,5;99,0;
Тюменская область;116,4;99,7;108,5;
в том числе:;;;;
Ханты-Мансийский автономный округ – Югра;117,6;103,1;108,0;
Ямало-Ненецкий автономный округ;65,9;95,4;113,9;
Тюменская область без автономных округов;;99,2;108,6;
Челябинская область;159,0;102,0;108,1;
Сибирский         федеральный округ;95,5;108,8;104,5;
Республика Алтай;101,0;113,0;94,5;
Республика Бурятия;97,3;113,2;90,8;
Республика Тыва;86,8;114,9;106,9;
Республика Хакасия;73,3;105,6;100,7;
Алтайский край;87,9;124,7;104,9;
Забайкальский край;131,7;103,3;108,6;
Красноярский край;100,3;103,2;86,2;
Иркутская область;98,6;113,5;101,3;
Кемеровская область;93,5;97,6;105,0;
Новосибирская область ;91,0;100,1;116,8;
Омская область;103,4;100,3;110,6;
Томская область;93,2;103,0;109,9;
Дальневосточный федеральный округ;98,6;96,1;118,6;
Республика Саха (Якутия);113,5;103,0;111,0;
Камчатский край;93,5;104,8;101,3;
Приморский край;92,3;97,6;119,0;
Хабаровский край ;91,2;83,3;118,8;
Амурская область;96,6;96,4;123,2;
Магаданская область;104,0;102,3;121,8;
Сахалинская область;106,7;107,2;104,8;
Еврейская автономная область;117,1;75,6;125,0;
Чукотский автономный округ;49,3;194,2;99,2;
?????;;;;
1) Первая оценка данных с учетом итогов Всероссийской сельскохозяйственной переписи 2016 года. Окончательные данные, пересчитанные с учетом итогов Всероссийской сельскохозяйственной переписи 2016 года, будут опубликованы в официальных изданиях Росстата 2019 года.;;;;
