Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;
4. ОБРАЗОВАНИЕ;;;;;;;;;
4.17. ЧИСЛЕННОСТЬ СТУДЕНТОВ, ОБУЧАЮЩИХСЯ ПО ПРОГРАММАМ ПОДГОТОВКИ СПЕЦИАЛИСТОВ СРЕДНЕГО ЗВЕНА1);;;;;;;;;
"(на начало учебного года; тысяч человек)";;;;;;;;;
;2005/2006;2010/2011;2013/2014;2014/2015;2015/2016;2016/2017;2017/2018;;
Республика Бурятия;20,7;19,0;15,1;18,7;19,1;19,5;19,2;;
Республика Тыва;6,5;5,8;4,2;4,1;5,6;6,2;6,4;;
Республика Хакасия;11,6;10,4;8,0;7,4;7,7;8,1;8,5;;
Алтайский край;45,0;35,5;30,6;31,7;33,2;33,9;34,8;;
Забайкальский край;22,6;19,4;18,5;18,7;19,4;20,0;21,0;;
Красноярский край;61,5;49,5;40,7;46,5;45,3;48,5;52,4;;
Иркутская область;41,6;40,3;40,5;42,6;43,4;45,1;45,8;;
Кемеровская область;55,1;43,4;41,8;42,0;45,2;47,4;49,8;;
Новосибирская область ;52,7;38,0;33,5;33,8;39,1;42,3;44,7;;
Омская область;48,2;42,5;37,1;36,0;37,5;41,5;42,2;;
Томская область;16,6;14,9;15,8;16,9;18,1;19,2;20,2;;
Дальневосточный    федеральный округ;128,6;108,4;95,6;102,7;109,8;113,2;116,7;;
Республика Саха (Якутия);17,4;18,3;10,9;15,3;19,7;21,1;20,9;;
Камчатский край;5,5;4,2;2,9;4,7;4,4;5,3;5,4;;
Приморский край;35,7;31,9;32,1;32,5;32,8;33,5;34,6;;
Хабаровский край ;32,6;23,7;22,4;22,5;23,8;24,9;26,1;;
Амурская область;20,5;17,0;15,6;15,7;16,3;16,0;16,0;;
Магаданская область;2,5;2,0;1,7;1,8;2,1;2,5;2,5;;
Сахалинская область;9,9;8,3;7,7;7,9;8,3;7,4;8,7;;
Еврейская автономная  область;3,7;2,6;1,9;1,8;1,8;1,8;1,8;;
Чукотский автономный округ;0,7;0,4;0,4;0,5;0,6;0,7;0,8;;
?????;;;;;;;;;
1) До 2016/2017 учебного года данные приведены по профессиональным образовательным организациям. С 2013 г. - по данным Минпросвещения России.;;;;;;;;;
