Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;
16. ТОРГОВЛЯ И УСЛУГИ НАСЕЛЕНИЮ;;;;;;;;;;
РОЗНИЧНАЯ ТОРГОВЛЯ;;;;;;;;;;
16.4. ПРОДАЖА ТОВАРОВ НА РОЗНИЧНЫХ РЫНКАХ И ЯРМАРКАХ;;;;;;;;;;
"(в фактически действовавших ценах; миллионов рублей) ";;;;;;;;;;
Ханты-Мансийский автономный      округ – Югра;27898;31570;23888;24337;18164;18143;12578;10075;11254;
Ямало-Ненецкий автономный округ;14139;8296;7129;6646;6954;6515;5799;4657;5036;
Тюменская область без автономных       округов;;;;;10800;10602;8244;6536;7221;
Челябинская область;30630;30186;29243;33919;22014;13307;9221;5867;4729;
Сибирский      федеральный округ;148919;146855;144779;129756;111621;81713;71060;60101;57768;
Республика Алтай;851;737;793;775;713;695;634;534;494;
Республика Бурятия;5156;2220;1875;732;648;622;506;319;217;
Республика Тыва;1881;1925;2134;2335;2539;2654;3099;3074;3122;
Республика Хакасия;5252;4622;5785;7375;4047;3849;4133;3475;3645;
Алтайский край;15261;22688;23844;21499;32411;17387;13912;7663;6031;
Забайкальский край;7120;5112;5053;4743;3487;2685;2132;1269;1010;
Красноярский край;18515;22434;18420;15041;12480;11270;9352;6833;6416;
Иркутская область;19720;20172;23462;22019;12610;10810;10049;12607;14707;
Кемеровская область;20895;14180;14017;12315;10954;9143;7454;6960;5092;
Новосибирская область;23825;28471;26983;26403;19966;11090;9279;7289;6350;
Омская область;21177;15198;14029;8024;3393;3382;3016;3063;3351;
Томская область;9267;9095;8384;8494;8372;8128;7495;7016;7331;
Дальневосточный       федеральный округ;54592;58475;63144;60342;45689;47375;49639;49421;50943;
Республика Саха (Якутия);15485;7435;8379;8754;6576;7057;8215;9015;9449;
Камчатский край;2909;4631;5678;5337;4675;4864;4901;4745;4703;
Приморский край;12908;24643;24647;24180;23251;24096;24082;24454;24970;
Хабаровский край;11711;11800;13017;13738;7215;7880;8746;7078;7434;
Амурская область;6438;6331;7786;5375;1192;856;824;648;668;
Магаданская область;818;582;729;859;184;116;119;60;-;
Сахалинская область;3759;2524;2323;1702;2175;2082;2372;3055;3397;
Еврейская автономная область;564;530;585;398;421;425;379;367;322;
Чукотский автономный округ;-;-;-;-;-;-;-;-;-;
?????;;;;;;;;;;
1) 2014, 2015 гг. –  без учета данных по Республике Крым  и г. Севастополю.;;;;;;;;;;
;;;;;;;;;;
