Социально-экономические показатели по субъектам Российской Федерации;;;;;;;
4. ОБРАЗОВАНИЕ;;;;;;;
4.23. ЧИСЛЕННОСТЬ ПРОФЕССОРСКО-ПРЕПОДАВАТЕЛЬСКОГО ПЕРСОНАЛА , ОСУЩЕСТВЛЯЮЩЕГО ОБРАЗОВАТЕЛЬНУЮ ДЕЯТЕЛЬНОСТЬ ПО ПРОГРАММАМ ВЫСШЕГО ОБРАЗОВАНИЯ1) ;;;;;;;
"(на начало учебного года; человек)";;;;;;;
;2005/2006;2010/2011;2013/2014;2014/2015;2015/2016;2016/2017;2017/2018
Российская Федерация;356827;348160;319348;299750;279758;260980;245078
Центральный федеральный округ;113910;111340;101462;93815;88084;82995;79173
Белгородская область;3226;3202;3320;3000;2691;2518;2376
Брянская область;2272;2030;1622;1605;1438;1286;1108
Владимирская область;2102;2021;1947;1702;1584;1423;1252
Воронежская область;7987;7759;6313;5852;5425;5192;4984
Ивановская область;2726;2618;2570;2178;2054;1849;1759
Калужская область;1787;1694;1406;1356;1274;1098;983
Костромская область;1232;1214;1079;965;918;792;633
Курская область;2855;2783;2733;2520;2416;2202;1908
Липецкая область;1826;1788;1677;1577;1425;1249;1149
Московская область;6706;6464;7483;5969;4917;3896;3601
Орловская область;2572;2486;2180;2109;1911;1781;1668
Рязанская область;2912;2839;2483;2077;1960;1887;1816
Смоленская область;2215;2026;2020;1834;1653;1525;1406
Тамбовская область;2059;2010;1968;1799;1567;1423;1281
Тверская область;2337;2193;2096;1926;1854;1670;1596
Тульская область;2310;2140;2030;1967;1813;1618;1490
Ярославская область;2142;2621;2325;2231;2123;1959;1814
г. Москва;64644;63452;56210;53148;51061;49627;48349
Северо-Западный    федеральный округ;42040;40317;38204;35074;33229;30836;29490
Республика Карелия;1471;1397;1255;1103;1028;921;820
Республика Коми;1174;1108;1198;1029;870;771;709
Архангельская область;2096;1975;1974;1829;1736;1430;1314
в том числе Архангельская область без автономного округа;;;1974;1829;1736;1430;1314
Вологодская область;1887;1776;1636;1332;1211;1039;926
Калининградская область;1989;1838;1685;1567;1473;1375;1269
Ленинградская область;560;527;554;461;351;339;302
Мурманская область;1312;1100;940;833;712;512;447
Новгородская область;1078;1001;934;851;709;643;504
Псковская область;966;1003;1101;914;873;778;664
г. Санкт-Петербург;29507;28592;26927;25155;24266;23028;22535
Южный          федеральный округ;30482;29888;27153;29444;27111;25444;23745
Республика Адыгея;1184;1104;891;827;730;673;652
Республика Калмыкия;603;541;539;421;418;414;398
Республика Крым;…;…;…;3032;3043;3019;2865
Краснодарский край;8888;8694;7583;7118;6391;5886;5438
Астраханская область;2317;2334;2165;2066;1943;1841;1652
Волгоградская область;6489;6410;5556;4908;4511;4325;4016
Ростовская область;11001;10805;10419;9985;8991;8386;7887
г. Севастополь;…;…;…;1087;1084;900;837
Северо-Кавказский     федеральный округ;18568;19634;16983;15999;14436;12884;11501
Республика Дагестан;5556;6049;4868;4437;4007;3434;3055
Республика Ингушетия ;525;587;488;530;487;404;312
Кабардино-Балкарская   Республика;1682;1547;1554;1348;1266;1140;883
Карачаево-Черкесская   Республика;1107;1136;914;851;732;610;583
Республика Северная   Осетия – Алания;2338;2313;2090;1965;1736;1667;1538
Чеченская Республика ;788;1676;1361;1400;1381;1292;1064
Ставропольский край;6572;6326;5708;5468;4827;4337;4066
Приволжский  федеральный округ;67660;65921;59903;55259;51447;48082;44854
Республика Башкортостан;7878;7605;6872;6464;6001;5674;5240
Республика Марий Эл;1474;1471;1356;1091;1004;952;938
Республика Мордовия;2280;2181;2130;1997;1929;1812;1626
Республика Татарстан;10445;10382;9733;9143;8711;8181;7864
Удмуртская Республика;2985;3786;2613;2474;2382;2209;2105
Чувашская Республика;3002;2780;2414;2210;1860;1659;1515
Пермский край;4911;4648;4529;4089;3951;3721;3448
Кировская область;2204;2127;1813;1633;1553;1467;1350
Нижегородская область ;7862;7581;7051;6289;5870;5474;5000
Оренбургская область;3887;3744;3285;3051;2698;2512;2351
Пензенская область;2974;2691;2437;2291;2070;1970;1767
Самарская область;8126;7972;7140;6727;6338;5944;5632
Саратовская область;6667;6313;6030;5574;5019;4629;4289
Ульяновская область;2965;2640;2500;2226;2061;1878;1729
Уральский      федеральный округ;24676;23309;22185;20559;19049;17630;16270
Курганская область;1339;1204;1224;1038;949;810;765
Свердловская область ;9447;9408;8759;8044;7506;7129;6479
Тюменская область;5899;5537;5354;4968;4493;3994;3785
в том числе:;;;;;;;
Ханты-Мансийский    автономный округ – Югра;1768;1678;1562;1438;1277;1163;1148
Ямало-Ненецкий    автономный округ;213;206;236;200;116;58;46
Тюменская область    без автономных округов;;;3556;3330;3100;2773;2591
Челябинская область;7991;7160;6848;6509;6101;5697;5241
Сибирский      федеральный округ;45366;43530;41137;38202;35861;33471;31281
Республика Алтай;343;321;275;271;258;250;223
Республика Бурятия;2184;2161;2085;1814;1884;1792;1494
Республика Тыва;298;307;314;330;327;296;275
Республика Хакасия;753;547;644;606;446;432;411
Алтайский край;4584;4220;3959;3575;3304;2969;2683
Забайкальский край;1784;1703;1477;1408;1390;1303;1220
Красноярский край;7046;6857;6467;5984;5707;5445;5060
Иркутская область;5557;5249;5121;4607;4194;3944;3651
Кемеровская область;4737;4563;4441;3931;3520;2979;2701
Новосибирская область ;7403;7128;6885;6662;6293;5916;5775
Омская область;5391;5188;4672;4335;4002;3747;3570
Томская область;5286;5286;4797;4679;4536;4398;4218
Дальневосточный   федеральный округ;14125;14221;12321;11398;10541;9638;8764
Республика Саха (Якутия);2112;1946;2011;1997;1854;1727;1616
Камчатский край;512;483;441;317;284;242;222
Приморский край;5131;5485;4236;4059;3816;3496;3261
Хабаровский край ;3810;3703;3347;3165;2926;2714;2319
Амурская область;1685;1632;1337;1148;1000;909;841
Магаданская область;313;296;341;217;191;171;154
Сахалинская область;439;401;345;343;340;282;262
Еврейская автономная   область;123;272;259;143;123;93;86
Чукотский автономный округ;-;3;4;9;7;4;3
?????;;;;;;;
1) До 2016/2017 учебного года – образовательные организации высшего образования. ;;;;;;;
