Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;
3. УРОВЕНЬ ЖИЗНИ НАСЕЛЕНИЯ;;;;;;;;;
ЖИЛИЩНЫЕ УСЛОВИЯ НАСЕЛЕНИЯ;;;;;;;;;
ПРЕДОСТАВЛЕНИЕ ГРАЖДАНАМ СОЦИАЛЬНОЙ ПОДДЕРЖКИ (ЛЬГОТ) ПО ОПЛАТЕ ЖИЛОГО ПОМЕЩЕНИЯ И КОММУНАЛЬНЫХ УСЛУГ;;;;;;;;;
3.29.1. Численность граждан, пользующихся социальной поддержкой по  оплате жилого помещения и коммунальных услуг;;;;;;;;;
(тысяч человек);;;;;;;;;
;2005;2010;2015;2016;2017;;;;
Российская Федерация;37522,4;37461,8;36687,7;35982,8;35086,6;;;;
Центральный федеральный округ;12166,5;10820,2;10608,7;10656,1;10431,1;;;;
Белгородская область;456,4;474,1;501,6;484,4;467,1;;;;
Брянская область;453,4;372,9;351,3;341,7;324,5;;;;
Владимирская область;403,8;374,6;343,1;350,2;337,5;;;;
Воронежская область;583,9;589,8;557,9;610,2;525,8;;;;
Ивановская область;276,5;272;273;267,5;261,3;;;;
Калужская область;334,7;365,4;373,3;280,6;257,0;;;;
Костромская область;257,7;184,7;277,4;253,3;236,3;;;;
Курская область;371,6;400,7;422;406,6;397,9;;;;
Липецкая область;400,1;372;298,4;292,3;313,7;;;;
Московская область;1779,6;1922,1;1872,6;1856,7;1842,5;;;;
Орловская область;209,6;242,5;215;222,9;220,8;;;;
Рязанская область;322,4;333,8;313;308,4;305,4;;;;
Смоленская область;216;301,6;212,9;211,1;199,7;;;;
Тамбовская область;496,8;337;316,8;313,4;321,1;;;;
Тверская область;233,7;385,9;345,7;342;336,9;;;;
Тульская область;508,7;416,8;357,4;340,9;329,3;;;;
Ярославская область;408,8;322,2;311,3;310,4;305,6;;;;
г. Москва;4452,8;3152;3266,2;3463,2;3448,6;;;;
Северо-Западный федеральный округ;4267,5;3789,8;3528,8;3429,7;3414,8;;;;
Республика Карелия;191,6;229,4;194,3;190,6;188,2;;;;
Республика Коми;238,5;273,7;230;239,7;234,7;;;;
Архангельская область;433,7;405,4;402,4;404,5;394,6;;;;
в том числе: ;;;;;;;;;
Ненецкий автономный округ;14,7;9,9;10,8;9,9;9,7;;;;
Архангельская область без автономного округа;419;395,6;391,6;394,6;384,9;;;;
Вологодская область;369,9;377,9;363,1;356,2;365,6;;;;
Калининградская область;194,3;181,2;183,3;188,2;187,4;;;;
Ленинградская область;406,1;456,4;355,5;345,1;362,4;;;;
Мурманская область;183,3;175,3;164,8;170,5;166,8;;;;
Новгородская область;233,8;225;223,2;207;192,8;;;;
Псковская область;312,4;217,4;188,1;110,7;100,2;;;;
г. Санкт-Петербург;1703,9;1248,3;1224;1217,3;1222;;;;
Южный               федеральный округ;2977,3;3312,8;3815,8;3608,4;3413,5;;;;
Республика Адыгея;97,1;120;119,4;81,3;78,7;;;;
Республика Калмыкия;82,9;79,6;78;75,5;77,9;;;;
Республика Крым;;;389,6;350,9;350,5;;;;
Краснодарский край;987,3;1212,5;1268,8;1157,3;1152,0;;;;
Астраханская область;251,2;230,7;226,3;214,3;163,7;;;;
Волгоградская область;550,5;619,3;552,6;522,4;504,6;;;;
Ростовская область;1008,4;1051,6;970,8;946,1;916,5;;;;
г. Севастополь;;;210,3;260,6;169,7;;;;
Северо-Кавказский федеральный округ;2334,2;2498,6;2438,4;2401,7;2317;;;;
Республика Дагестан;911,2;700,4;767,8;757,9;679,2;;;;
