Социально-экономические показатели по субъектам Российской Федерации;;;;;;;
18. ИНФОРМАЦИОННЫЕ И КОММУНИКАЦИОННЫЕ ТЕХНОЛОГИИ;;;;;;;
ИСПОЛЬЗОВАНИЕ ПЕРСОНАЛЬНЫХ КОМПЬЮТЕРОВ И СЕТИ ИНТЕРНЕТ В ДОМАШНИХ ХОЗЯЙСТВАХ ;;;;;;;
18.6.3. Удельный вес домашних хозяйств, имевших широкополосный доступ к сети Интернет;;;;;;;
"(по данным выборочного обследования населения по вопросам использования ИКТ; в процентах от общего числа домохозяйств соответствующего субъекта Российской Федерации)";;;;;;;
;2014;2015;2016;2017;;;
Российская Федерация;64,1;66,8;70,7;72,6;;;
Центральный   федеральный округ;66,9;67,4;72,6;74,2;;;
Белгородская область;59,6;55,4;66,2;74,2;;;
Брянская область;46,6;54,1;64,2;66,2;;;
Владимирская область;61,0;66,4;69,5;67,6;;;
Воронежская область;58,9;63,1;76,5;75,6;;;
Ивановская область;55,8;53,8;66,6;64,4;;;
Калужская область;52,2;52,2;59,2;68,9;;;
Костромская область;66,1;57,4;69,9;70,0;;;
Курская область;54,8;56,7;70,7;73,1;;;
Липецкая область;58,3;68,0;71,8;69,3;;;
Московская область;69,4;71,6;72,8;80,5;;;
Орловская область;60,2;62,2;64,9;64,1;;;
Рязанская область;57,9;60,0;57,9;63,9;;;
Смоленская область;63,8;69,6;67,5;69,6;;;
Тамбовская область;60,9;67,9;68,0;74,7;;;
Тверская область;49,9;60,3;70,4;65,5;;;
Тульская область;69,7;67,5;78,2;80,4;;;
Ярославская область;61,5;68,7;74,3;63,6;;;
г. Москва;80,4;75,1;78,5;78,1;;;
Северо-Западный     федеральный округ;72,8;76,7;77,0;74,9;;;
Республика Карелия;61,2;74,6;77,8;74,7;;;
Республика Коми;68,0;82,0;80,2;75,6;;;
Архангельская область;69,7;76,2;71,4;67,0;;;
в том числе: ;;;;;;;
Ненецкий автономный   округ;44,0;56,0;59,5;70,2;;;
Архангельская область    без автономного округа;70,6;76,8;71,8;66,8;;;
Вологодская область;58,4;61,7;64,6;67,3;;;
Калининградская область;72,7;70,6;73,8;76,1;;;
Ленинградская область;73,9;73,8;72,8;68,3;;;
Мурманская область;79,5;83,5;78,3;80,4;;;
Новгородская область;49,1;62,8;65,6;67,3;;;
Псковская область;54,8;55,3;68,6;63,1;;;
г. Санкт-Петербург;84,1;86,0;85,4;82,7;;;
Южный          федеральный округ;62,1;69,7;74,9;74,5;;;
Республика Адыгея;48,1;52,9;69,6;74,5;;;
Республика Калмыкия;49,2;67,1;63,9;71,2;;;
Республика Крым;…;70,6;74,0;81,3;;;
Краснодарский край;57,9;67,4;71,7;68,1;;;
Астраханская область;63,8;64,5;73,3;74,5;;;
Волгоградская область;72,1;70,3;75,4;75,1;;;
Ростовская область;62,3;73,6;79,6;77,9;;;
г. Севастополь;…;78,9;80,5;82,5;;;
Северо-Кавказский        федеральный округ;53,4;60,5;61,5;69,3;;;
Республика Дагестан;47,8;53,2;61,5;69,0;;;
Республика Ингушетия;30,5;25,4;53,0;56,1;;;
Кабардино-Балкарская   Республика;63,7;65,1;57,9;76,9;;;
Карачаево-Черкесская     Республика;60,0;55,2;72,7;81,5;;;
Республика Северная    Осетия – Алания;62,7;56,3;68,3;80,5;;;
Чеченская Республика;28,6;81,0;40,7;32,8;;;
Ставропольский край;60,5;63,9;65,6;74,4;;;
Приволжский      федеральный округ;60,3;65,4;68,6;71,7;;;
Республика Башкортостан;60,1;67,9;67,8;73,5;;;
Республика Марий Эл;61,2;69,9;68,1;71,4;;;
Республика Мордовия;71,9;65,0;67,1;59,7;;;
Республика Татарстан;70,5;78,8;78,8;83,1;;;
Удмуртская Республика;65,2;66,7;69,3;70,8;;;
Чувашская Республика;60,4;59,9;67,3;60,7;;;
