Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;
 3. УРОВЕНЬ ЖИЗНИ НАСЕЛЕНИЯ;;;;;;;;;
ЖИЛИЩНЫЕ УСЛОВИЯ НАСЕЛЕНИЯ;;;;;;;;;
ПРЕДОСТАВЛЕНИЕ ГРАЖДАНАМ СОЦИАЛЬНОЙ ПОДДЕРЖКИ (ЛЬГОТ) ПО ОПЛАТЕ ЖИЛОГО ПОМЕЩЕНИЯ И КОММУНАЛЬНЫХ УСЛУГ;;;;;;;;;
3.29.3. Среднемесячный размер социальной поддержки на одного пользователя;;;;;;;;;
(рублей);;;;;;;;;
;2005;2010;2015;2016;2017;;;;
Российская Федерация;179;477;654;674;695;;;;
Центральный федеральный округ;175;456;630;663;724;;;;
Белгородская область;174;303;424;454;479;;;;
Брянская область;111;352;408;431;448;;;;
Владимирская область;169;490;566;578;613;;;;
Воронежская область;114;332;464;420;459;;;;
Ивановская область;210;431;583;586;638;;;;
Калужская область;133;323;393;469;504;;;;
Костромская область;128;467;511;561;580;;;;
Курская область;105;301;343;372;403;;;;
Липецкая область;98;326;441;443;417;;;;
Московская область;295;632;848;870;913;;;;
Орловская область;151;291;458;492;529;;;;
Рязанская область;134;339;501;537;580;;;;
Смоленская область;179;367;585;598;611;;;;
Тамбовская область;74;347;517;545;534;;;;
Тверская область;171;257;616;667;691;;;;
Тульская область;187;586;665;574;609;;;;
Ярославская область;148;447;678;711;741;;;;
г. Москва;175;507;723;779;894;;;;
Северо-Западный федеральный округ;225;646;821;825;894;;;;
Республика Карелия;257;593;1018;990;1031;;;;
Республика Коми;348;632;911;835;829;;;;
Архангельская область;197;621;756;774;866;;;;
в том числе: ;;;;;;;;;
Ненецкий автономный округ;80;1287;1106;1175;1189;;;;
Архангельская область без автономного округа;201;604;746;764;858;;;;
Вологодская область;159;408;636;731;759;;;;
Калининградская область;221;403;477;473;478;;;;
Ленинградская область;213;562;764;757;736;;;;
Мурманская область;433;990;1193;1204;1288;;;;
Новгородская область;156;606;686;677;711;;;;
Псковская область;86;389;550;576;573;;;;
г. Санкт-Петербург;241;808;932;909;1048;;;;
Южный         федеральный округ;160;433;570;633;568;;;;
Республика Адыгея;128;373;538;469;382;;;;
Республика Калмыкия;104;347;535;539;620;;;;
Республика Крым;;;159;227;312;;;;
Краснодарский край;164;393;559;647;665;;;;
Астраханская область;133;406;563;740;626;;;;
Волгоградская область;180;385;445;490;496;;;;
Ростовская область;159;527;945;1001;670;;;;
г. Севастополь;;;47;54;108;;;;
Северо-Кавказский федеральный округ;104;288;547;576;581;;;;
Республика Дагестан;79;276;305;292;262;;;;
Республика Ингушетия;75;184;190;354;295;;;;
Кабардино-Балкарская Республика;80;303;501;485;502;;;;
Карачаево-Черкесская Республика;138;333;519;547;572;;;;
Республика Северная Осетия - Алания;91;328;513;483;525;;;;
Чеченская Республика;…;206;904;970;1066;;;;
Ставропольский край;177;392;950;974;935;;;;
Приволжский федеральный округ;156;424;630;616;589;;;;
Республика Башкортостан;128;320;615;679;710;;;;
Республика Марий Эл;62;401;472;432;530;;;;
Республика Мордовия;119;394;536;501;523;;;;
Республика Татарстан;250;338;482;474;485;;;;
Удмуртская Республика;134;469;652;680;699;;;;
Чувашская Республика;142;397;579;418;394;;;;
Пермский край;197;499;588;588;627;;;;
Кировская область;164;385;484;528;563;;;;
Нижегородская область ;183;490;667;716;692;;;;
Оренбургская область;188;478;690;380;413;;;;
Пензенская область;122;416;688;752;786;;;;
Самарская область;213;633;984;1019;600;;;;
Саратовская область;132;354;584;530;492;;;;
Ульяновская область;155;386;553;569;629;;;;
Уральский          федеральный округ;205;544;724;781;810;;;;
Курганская область;213;584;549;544;582;;;;
Свердловская область ;166;464;666;725;748;;;;
Тюменская область;253;642;846;921;972;;;;
в том числе:;;;;;;;;;
Ханты-Мансийский автономный округ – Югра;262;682;901;946;999;;;;
Ямало-Ненецкий автономный округ;562;1207;988;1046;1060;;;;
Тюменская область без автономных округов;194;456;739;841;902;;;;
Челябинская область;206;557;733;789;807;;;;
Сибирский        федеральный округ;174;455;560;587;615;;;;
Республика Алтай;132;498;601;626;608;;;;
Республика Бурятия;324;323;352;347;338;;;;
Республика Тыва;159;536;466;473;334;;;;
Республика Хакасия;136;253;331;473;358;;;;
Алтайский край;177;338;473;509;677;;;;
Забайкальский край;62;552;658;675;723;;;;
Красноярский край;215;706;849;815;842;;;;
Иркутская область;173;420;548;541;615;;;;
Кемеровская область;149;364;465;413;406;;;;
Новосибирская область ;175;566;460;628;621;;;;
Омская область;175;417;659;681;706;;;;
Томская область;204;451;844;870;916;;;;
Дальневосточный федеральный округ;323;910;1188;1075;1096;;;;
Республика Саха (Якутия);297;1078;1423;1491;1526;;;;
Камчатский край;424;1725;2001;2110;1980;;;;
Приморский край;294;744;1104;594;690;;;;
Хабаровский край ;308;897;1016;1005;1002;;;;
Амурская область;324;801;967;993;1023;;;;
Магаданская область;337;982;1761;1558;1803;;;;
Сахалинская область;441;937;1256;1312;1208;;;;
Еврейская автономная область;367;725;1015;1094;785;;;;
Чукотский автономный округ;357;909;1007;1028;1064;;;;
