Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;
4. ОБРАЗОВАНИЕ;;;;;;;;
4.6. ЧИСЛЕННОСТЬ ОБУЧАЮЩИХСЯ В ОРГАНИЗАЦИЯХ, ОСУЩЕСТВЛЯЮЩИХ ОБРАЗОВАТЕЛЬНУЮ ДЕЯТЕЛЬНОСТЬ ПО ОБРАЗОВАТЕЛЬНЫМ ПРОГРАММАМ НАЧАЛЬНОГО, ОСНОВНОГО И СРЕДНЕГО ОБЩЕГО ОБРАЗОВАНИЯ1);;;;;;;;
"(на начало учебного года; тысяч человек)";;;;;;;;
;2005/2006;2010/2011;2013/2014;2014/2015;2015/2016;2016/2017 ;2017/2018 ;
Республика Бурятия;129,2;115,1;123,6;126;130,7;135,4;138,8;
Республика Тыва;61,4;54,6;54,7;56,5;58,4;62,0;64,6;
Республика Хакасия;65;55,5;57,4;59,1;61,3;64,0;67,0;
Алтайский край;265,1;231,9;238,3;242,5;249,4;259,8;266,1;
Забайкальский край;153,8;137,6;136,6;138,1;139,1;142,4;144,9;
Красноярский край;334,5;287,8;294;298;307,2;321,3;331,1;
Иркутская область;317,3;271,9;276,3;283,3;294,2;305,6;316,0;
Кемеровская область;295,1;260,1;270,5;277,4;286,7;301,0;309,4;
Новосибирская область ;275;248,8;263,5;271,4;283,2;301,7;314,3;
Омская область;228,8;193,6;194,1;197,3;202,2;211,2;216,8;
Томская область;109,3;99,3;102,6;105;108,5;114,0;117,2;
Дальневосточный   федеральный округ;782,1;667,4;668,9;676,1;690,9;721,7;729,4;
Республика Саха (Якутия);160,3;138,6;134,8;135,3;136,9;140,6;143,7;
Камчатский край;37,6;32,9;33,6;33,7;34,2;35,4;35,9;
Приморский край;221,2;186,3;185,7;188,9;194,2;208,6;205,7;
Хабаровский край ;149,6;126,3;129,1;130,3;133,5;139,4;143,3;
Амурская область;106,6;92,7;92,5;93,6;95,1;97,2;98,6;
Магаданская область;18,9;15,6;15,8;15,8;16,1;16,5;16,6;
Сахалинская область;57,9;49,4;51,3;52,2;53,9;56,2;57,5;
Еврейская автономная область;22,3;18,6;18,9;19,2;19,7;20,3;20,6;
Чукотский автономный округ;7,6;7,1;7,2;7,2;7,3;7,5;7,5;
??????;;;;;;;;
1) До 2016/2017  учебного года приведена  численность обучающихся общеобразовательных организаций (без вечерних (сменных) общеобразовательных организаций) ;;;;;;;;
