Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;
 2. ТРУД;;;;;;;;;;;
ЗАНЯТОСТЬ И БЕЗРАБОТИЦА;;;;;;;;;;;
"2.12. ЧИСЛЕННОСТЬ ИНОСТРАННЫХ ГРАЖДАН, ИМЕВШИХ ДЕЙСТВУЮЩЕЕ РАЗРЕШЕНИЕ НА РАБОТУ1);2)";;;;;;;;;;;
(человек);;;;;;;;;;;
;2011;2013;2014;2015;2016;2017;;;;;
Новгородская область;3248;1898;2699;384;304;115;;;;;
Псковская область;1976;2109;2043;370;521;740;;;;;
г. Санкт-Петербург;147251;161862;182237;6780;5772;3112;;;;;
Южный         федеральный округ;67978;75929;61075;12228;8614;7613;;;;;
Республика Адыгея;842;888;964;85;46;58;;;;;
Республика Калмыкия;766;410;308;60;44;39;;;;;
Республика Крым;;;3;53;62;172;;;;;
Краснодарский край;40008;51496;27654;7321;6933;6271;;;;;
Астраханская область;6775;6622;8021;520;429;402;;;;;
Волгоградская область;12932;9229;14694;3249;641;291;;;;;
Ростовская область;6655;7284;9431;935;455;376;;;;;
г. Севастополь;;;-;5;4;4;;;;;
Северо-Кавказский федеральный округ;7877;5077;3722;1058;926;848;;;;;
Республика Дагестан;464;884;603;96;50;31;;;;;
Республика Ингушетия;32;14;16;-;1;1;;;;;
Кабардино-Балкарская    Республика;3335;481;312;14;10;8;;;;;
Карачаево-Черкесская    Республика;295;231;307;182;113;101;;;;;
Республика Северная       Осетия – Алания ;343;473;493;7;4;5;;;;;
Чеченская Республика;148;35;35;23;19;23;;;;;
Ставропольский край;3260;2959;1956;736;729;679;;;;;
Приволжский федеральный округ;77332;90372;81979;13805;9406;6288;;;;;
Республика        Башкортостан;11688;12537;11990;1202;675;830;;;;;
Республика Марий Эл;234;131;206;16;10;12;;;;;
Республика Мордовия;1124;1472;1082;74;13;11;;;;;
Республика Татарстан;12463;14517;10257;6788;4296;2478;;;;;
Удмуртская Республика;1708;3419;2853;137;74;81;;;;;
Чувашская Республика  ;791;710;602;19;10;12;;;;;
Пермский  край;7343;5776;5589;723;634;578;;;;;
Кировская область;1314;1306;1589;49;68;24;;;;;
Нижегородская область;13855;19225;13625;2024;1812;1256;;;;;
Оренбургская область;5937;4055;4296;63;32;34;;;;;
Пензенская область;4454;3589;2595;279;267;204;;;;;
Самарская область;10770;18193;21495;2170;1356;624;;;;;
Саратовская область;3643;4146;4117;163;81;27;;;;;
Ульяновская область;2008;1296;1683;98;78;117;;;;;
Уральский   федеральный округ;111624;115504;102470;21037;20463;18759;;;;;
Курганская область;649;209;126;6;-;7;;;;;
Свердловская область;34814;25040;20319;3507;2533;3801;;;;;
Тюменская область;59908;76861;74010;15975;16372;14350;;;;;
в том числе:;;;;;;;;;;;
Ханты-Мансийский автономный округ – Югра;33353;40807;41149;10014;9875;8780;;;;;
Ямало-Ненецкий автономный округ;18032;23557;22318;3402;2703;1926;;;;;
Тюменская область без автономных округов;8523;12497;10543;2559;3794;3644;;;;;
Челябинская область;16253;13394;8015;1549;1558;601;;;;;
Сибирский         федеральный округ;85667;79712;72626;22760;16898;12534;;;;;
Республика Алтай;477;357;391;107;95;71;;;;;
Республика Бурятия;2269;1192;1630;1029;326;348;;;;;
Республика Тыва;1117;1018;718;250;238;377;;;;;
Республика Хакасия;1445;402;316;132;107;69;;;;;
Алтайский край;2093;683;562;114;108;92;;;;;
Забайкальский край;8647;7670;7188;4166;3711;3163;;;;;
Красноярский край;19739;11514;12934;4653;3539;2843;;;;;
Иркутская область;21409;22154;20050;6444;4506;2020;;;;;
Кемеровская область;6884;6827;4580;788;670;579;;;;;
Новосибирская область;17871;22880;19711;3476;2249;1933;;;;;
Омская область;1007;2103;1707;518;247;456;;;;;
Томская область;2709;2912;2839;1083;1102;583;;;;;
Дальневосточный федеральный  округ;79858;72478;70939;34443;30135;24583;;;;;
Республика Саха    (Якутия);9668;7734;7897;689;440;318;;;;;
Камчатский край;5003;3792;2834;287;227;183;;;;;
Приморский край;30624;19907;17448;12648;11458;10148;;;;;
Хабаровский край;12073;16757;13916;8824;7588;5986;;;;;
Амурская область;7386;7866;9132;3920;3582;3327;;;;;
Магаданская область;586;2442;4847;706;588;510;;;;;
Сахалинская область;10483;8341;9091;3978;3672;2988;;;;;
Еврейская автономная       область;3363;4297;4646;3338;2545;1084;;;;;
Чукотский автономный округ;672;1342;1128;53;35;39;;;;;
?????;;;;;;;;;;;
1) По данным Министерства внутренних дел Российской Федерации. Разработка осуществляется с 2011 года. Включая иностранных граждан, получивших разрешение на работу в Центре обращений граждан по паспортно-визовым вопросам и не распределенных по субъектам Российской Федерации.;;;;;;;;;;;
2) С 2015 г.  – данные приведены по лицам, прибывшим в визовом порядке выезда. ;;;;;;;;;;;
