Южный                федеральный округ;8,4;7,6;6,2;6,5;6,2;6,7;6,4;6,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Республика Адыгея;13,0;9,3;8,1;7,9;8,6;8,8;9,0;8,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Республика Калмыкия;18,0;14,8;13,1;12,5;10,9;10,7;10,6;10,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Республика Крым;;;;;…;7,2;6,8;6,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Краснодарский край;7,4;6,7;5,6;6,1;5,7;6,0;5,8;5,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Астраханская область;12,2;8,2;7,9;7,5;7,5;7,5;7,6;7,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Волгоградская область;6,7;8,0;6,0;6,6;6,6;7,2;6,8;6,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ростовская область;8,5;7,7;6,0;6,0;5,9;6,1;5,8;5,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
г. Севастополь;;;;;…;8,3;6,2;4,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Северо-Кавказский     федеральный округ;17,1;16,5;13,1;13,0;11,2;11,1;11,0;11,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Республика Дагестан;22,1;14,8;11,7;11,6;10,2;10,8;10,9;12,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Республика Ингушетия;63,1;49,7;47,7;43,7;29,8;30,5;30,2;27,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Кабардино-Балкарская       Республика;23,9;12,7;8,9;10,5;9,5;10,1;10,3;10,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Карачаево-Черкесская       Республика;13,8;10,3;8,9;9,8;13,0;15,1;14,4;13,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Республика Северная Осетия – Алания;8,8;9,7;7,9;8,1;8,6;9,3;9,9;11,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Чеченская Республика;…;43,3;29,8;26,9;21,5;17,1;15,8;14,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ставропольский край;6,9;6,9;5,4;5,6;5,3;5,6;5,7;5,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Приволжский федеральный округ;7,4;7,6;5,3;4,9;4,5;4,8;4,8;4,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Республика Башкортостан;7,0;8,9;6,1;5,8;5,3;6,1;5,8;5,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Республика Марий Эл;10,0;10,5;6,5;5,2;4,8;5,3;6,0;6,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Республика Мордовия;6,6;5,4;4,9;4,4;4,2;4,2;4,2;4,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Республика Татарстан;6,7;6,2;4,1;4,0;3,9;4,0;3,8;3,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Удмуртская Республика;7,8;9,3;6,0;5,7;5,1;5,0;5,2;4,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Чувашская Республика;11,7;9,5;5,9;5,7;5,0;5,0;5,3;5,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Пермский край;8,1;8,3;6,3;6,5;5,8;6,3;5,8;6,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Кировская область;7,2;8,6;7,1;5,6;5,1;5,3;5,4;5,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Нижегородская область ;6,0;7,7;5,4;4,3;4,2;4,3;4,3;4,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Оренбургская область;9,2;7,2;5,4;4,9;4,4;4,8;4,9;4,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Пензенская область;6,6;6,4;4,9;4,8;4,6;4,7;4,6;4,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Самарская область;5,4;5,8;3,4;3,2;3,0;3,4;4,1;4,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Саратовская область;9,2;6,3;5,4;5,2;4,6;4,7;5,1;4,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ульяновская область;7,7;8,8;5,6;5,5;4,8;4,9;4,6;4,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Уральский           федеральный округ;6,7;8,0;6,0;5,7;5,8;6,2;6,1;5,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Курганская область;11,4;12,1;8,7;7,5;7,0;7,5;8,4;9,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Свердловская область ;6,8;8,4;5,8;5,9;6,1;6,5;6,2;5,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тюменская область;6,7;6,9;5,2;4,7;4,7;4,9;4,6;3,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
в том числе:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ханты-Мансийский автономный округ – Югра;7,9;7,5;5,5;4,9;4,6;4,4;4,5;3,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ямало-Ненецкий автономный округ;7,2;4,3;3,4;3,2;3,1;3,6;2,6;3,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тюменская область      без автономных округов;4,9;7,2;5,7;5,2;5,5;6,2;5,6;5,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Челябинская область;5,3;7,5;6,4;6,0;6,2;7,0;7,1;6,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Сибирский    федеральный округ;9,3;8,7;7,1;7,2;7,0;7,7;8,0;7,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Республика Алтай;9,4;12,2;11,6;11,5;10,4;9,7;12,0;12,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Республика Бурятия;12,2;10,4;7,9;8,0;8,4;9,2;9,6;9,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Республика Тыва;21,9;21,7;18,4;19,3;19,1;18,6;16,6;18,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Республика Хакасия;8,9;9,1;7,9;6,0;6,2;5,8;6,3;4,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Алтайский край;8,8;8,8;6,2;8,3;7,2;8,0;8,6;6,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Забайкальский край;8,6;11,1;10,6;10,5;10,0;10,4;10,8;10,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Красноярский край;9,5;6,2;5,5;5,7;5,0;6,2;6,1;5,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Иркутская область;9,8;10,1;7,8;8,3;8,8;8,2;8,8;8,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Кемеровская область;8,6;8,9;7,1;6,0;6,2;7,7;7,9;7,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Новосибирская область ;7,9;7,7;5,6;5,9;5,1;6,9;7,4;6,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Омская область;8,7;8,1;6,9;6,8;6,7;6,8;7,2;7,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Томская область;10,5;7,7;8,4;7,6;7,6;7,7;7,2;6,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Дальневосточный            федеральный округ;7,9;8,6;6,7;6,5;6,4;6,3;5,8;5,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Республика Саха (Якутия);9,2;8,9;8,0;7,4;7,4;7,3;7,2;7,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Камчатский край;8,4;7,0;5,8;5,7;6,1;4,5;4,1;4,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Приморский край;8,0;9,5;6,9;7,1;6,9;6,9;6,0;5,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Хабаровский край ;5,8;8,9;6,4;5,7;5,9;5,3;5,0;4,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Амурская область;9,9;6,9;5,3;6,1;5,6;5,8;5,9;5,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Магаданская область;6,9;5,6;3,4;2,9;3,1;4,3;4,4;5,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Сахалинская область;7,7;8,9;7,7;7,2;6,5;6,3;6,3;6,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Еврейская автономная область;7,9;9,3;8,5;8,3;8,7;7,9;8,2;8,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Чукотский автономный округ;4,2;4,5;4,3;3,3;3,2;4,0;3,5;2,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
?????;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1) Население в возрасте 15-72 лет. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
