Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3. УРОВЕНЬ ЖИЗНИ НАСЕЛЕНИЯ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ДЕНЕЖНЫЕ ДОХОДЫ НАСЕЛЕНИЯ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.15. СТРУКТУРА ПОТРЕБИТЕЛЬСКИХ РАСХОДОВ ДОМАШНИХ ХОЗЯЙСТВ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"(по итогам выборочного обследования бюджетов домашних хозяйств; в процентах)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2005;;;;2010;;;;2012;;;;2013;;;;2014;;;;2015;;;;2016;;;;2017;;;
;Покупка продуктов питания1);Покупка непродовольственных товаров;Покупка алкогольных напитков;Оплата услуг;Покупка продуктов питания1);Покупка непродовольственных товаров;Покупка алкогольных напитков;Оплата услуг;Покупка продуктов питания1);Покупка непродовольственных товаров;Покупка алкогольных напитков;Оплата услуг;Покупка продуктов питания1);Покупка непродовольственных товаров;Покупка алкогольных напитков;Оплата услуг;Покупка продуктов питания1);Покупка непродовольственных товаров;Покупка алкогольных напитков;Оплата услуг;Покупка продуктов питания1);Покупка непродовольственных товаров;Покупка алкогольных напитков;Оплата услуг;Покупка продуктов питания1);Покупка непродовольственных товаров;Покупка алкогольных напитков;Оплата услуг;Покупка продуктов питания1);Покупка непродовольственных товаров;Покупка алкогольных напитков;Оплата услуг
Костромская область;40,6;32,5;2,5;24,4;35,3;37,3;2,1;25,2;31,7;43,4;1,7;23,2;33,1;41,2;2,1;23,6;36,3;37,2;2,4;24,1;38,3;37,2;2,3;22,2;37,6;40,0;2,0;20,4;35,6;39,3;2,2;22,9
Курская область;41,9;34,5;1,7;21,9;31,1;47,4;1,3;20,2;33,7;43,8;1,2;21,3;33,6;43,4;1,0;22,0;31,4;47,5;1,0;20,1;33,4;44,2;1,3;21,1;36,6;39,1;1,8;22,5;34,5;42,8;1,8;20,9
Липецкая область;36,8;41,3;2,1;19,8;36,8;36,8;1,9;24,5;34,7;38,2;1,7;25,4;31,9;43,8;1,4;22,9;32,8;40,8;1,6;24,8;35,6;38,0;1,6;24,8;37,9;34,6;1,9;25,6;36,9;36,8;1,5;24,8
Московская область;38,4;31,6;1,6;28,4;31,4;33,7;1,6;33,3;30,8;37,0;1,4;30,8;30,4;37,5;1,4;30,7;33,1;31,3;1,2;34,4;30,6;35,1;1,4;32,9;32,4;24,4;0,9;42,3;32,2;34,3;1,5;32,0
Орловская область;38,4;39,2;1,6;20,8;34,1;38,5;1,3;26,1;30,1;47,4;1,2;21,3;31,8;43,8;1,2;23,2;31,5;42,7;1,5;24,3;32,8;42,8;1,3;23,1;33,8;43,0;1,2;22,0;34,3;42,3;1,3;22,1
Рязанская область;48,4;30,0;2,8;18,8;35,6;40,1;1,4;22,8;38,4;37,7;0,8;23,1;38,0;37,7;0,8;23,5;35,3;42,2;1,1;21,3;41,2;30,0;1,7;27,1;45,1;30,5;0,8;23,6;40,1;36,5;0,8;22,6
Смоленская область;49,3;25,4;1,3;24,0;36,1;40,1;1,6;22,2;37,4;31,1;1,3;30,2;34,5;38,2;1,8;25,5;36,4;37,2;1,8;24,6;44,7;28,8;1,3;25,2;42,4;28,5;1,2;27,9;42,8;30,5;1,3;25,4
Тамбовская область;36,2;40,7;1,2;21,9;35,8;41,5;1,2;21,5;30,6;48,7;1,6;19,1;35,5;42,0;2,3;20,2;34,0;39,0;1,1;25,9;31,1;41,1;1,6;26,2;31,1;42,3;0,6;26,0;32,0;42,8;0,8;24,4
Тверская область;41,7;32,7;2,0;23,6;36,5;38,0;2,0;23,4;35,4;36,8;2,1;25,7;35,8;38,8;2,3;23,1;37,5;37,3;2,1;23,2;41,3;32,9;2,1;23,7;41,5;31,8;2,3;24,4;41,9;30,7;2,1;25,3
Тульская область;48,2;27,9;1,6;22,3;40,5;32,7;1,4;25,3;39,1;34,4;1,6;24,9;34,6;38,2;1,5;25,7;34,2;42,5;1,7;21,7;38,9;34,2;1,6;25,3;36,3;40,1;1,6;22,0;39,0;34,0;1,8;25,2
Ярославская область;39,7;37,1;2,5;20,7;38,0;33,3;2,4;26,3;31,8;42,1;1,6;24,5;31,5;40,1;1,8;26,6;32,3;40,0;2,3;25,4;36,0;34,4;2,0;27,6;35,6;30,6;2,0;31,8;32,9;35,9;1,4;29,8
г. Москва;33,7;37,9;1,5;26,9;26,2;43,0;1,3;29,5;25,9;41,2;1,8;31,3;27,6;38,5;1,7;32,2;28,4;38,3;1,7;31,5;32,6;35,3;2,2;29,9;34,3;35,8;2,2;27,7;30,3;38,5;1,7;29,5
Северо-Западный федеральный округ;36,2;37,0;2,3;24,5;34,0;36,0;2,0;28,0;32,2;38,1;1,8;27,9;32,3;36,9;1,8;29,0;31,3;39,4;1,8;27,5;36,2;33,0;1,8;29,0;35,2;34,6;1,8;28,4;33,6;36,6;1,9;27,9
Республика Карелия;40,8;33,9;3,3;22,0;33,8;36,2;1,8;28,2;30,9;41,9;1,8;25,4;29,2;44,4;1,6;24,8;33,3;38,5;2,0;26,1;36,7;34,2;2,3;26,8;36,1;36,2;2,1;25,6;37,9;35,1;2,2;24,8
Республика Коми;30,2;38,7;1,8;29,3;35,1;35,0;1,9;28,0;32,9;35,8;1,6;29,7;26,6;45,6;1,8;26,0;31,4;37,9;1,9;28,9;34,7;33,1;1,9;30,3;36,8;32,1;2,0;29,1;35,5;32,7;2,2;29,6
Архангельская область;33,4;42,0;2,0;22,6;30,1;43,5;1,7;24,7;30,8;41,4;1,8;26,0;29,8;44,3;1,6;24,3;29,9;44,9;1,7;23,5;34,0;39,9;1,9;24,2;34,9;38,7;1,5;24,9;30,9;42,4;1,3;25,4
в том числе: ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ненецкий автономный округ;31,1;49,9;1,3;17,7;24,3;45,4;0,9;29,4;27,9;43,3;1,0;27,8;36,2;31,6;1,5;30,7;30,5;38,5;1,5;29,5;32,9;37,7;1,8;27,6;30,6;36,2;1,9;31,3;34,0;27,7;2,7;35,6
Архангельская область без автономного округа;;;;;;;;;;;;;;;;;29,8;45,2;1,8;23,3;34,1;40,0;1,9;24,0;35,1;38,8;1,5;24,6;30,8;43,1;1,2;24,9
Вологодская область;40,3;37,3;2,4;20,0;38,0;34,1;1,9;26,0;37,3;34,0;2,0;26,7;37,0;34,6;2,0;26,4;35,4;37,4;2,0;25,2;41,8;30,5;1,7;26,0;38,5;34,3;2,0;25,2;37,2;34,5;2,1;26,2
Калининградская область;37,5;42,0;1,6;18,9;37,8;37,8;1,7;22,7;36,8;38,5;2,3;22,4;34,0;42,0;1,9;22,1;36,8;38,2;1,5;23,5;39,6;35,5;1,5;23,4;42,0;35,6;1,8;20,6;38,7;36,8;1,5;23,0
Ленинградская область;50,8;25,6;2,2;21,4;35,9;32,5;1,5;30,0;31,4;43,2;1,3;24,1;36,1;34,4;1,6;27,9;39,2;29,4;1,9;29,6;39,1;28,8;1,7;30,4;36,4;32,0;1,6;30,0;33,3;37,0;1,7;28,0
Мурманская область;34,1;35,8;2,5;27,6;30,8;38,9;2,1;28,2;28,1;39,6;2,4;29,9;28,3;37,6;2,1;32,0;28,3;37,5;2,4;31,8;30,8;37,5;2,2;29,5;31,7;37,0;2,4;28,9;29,3;37,9;2,3;30,5
Новгородская область;42,8;35,2;2,2;19,8;35,7;37,5;1,6;25,1;34,7;40,4;1,7;23,2;34,4;40,6;1,5;23,5;31,2;43,9;1,4;23,5;37,6;38,8;1,3;22,3;32,8;43,2;0,9;23,1;35,2;36,5;0,8;27,5
