Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;
3. УРОВЕНЬ ЖИЗНИ НАСЕЛЕНИЯ;;;;;;;;;;;;;
ДЕНЕЖНЫЕ ДОХОДЫ НАСЕЛЕНИЯ;;;;;;;;;;;;;
3.5. СРЕДНИЙ РАЗМЕР НАЗНАЧЕННЫХ ПЕНСИЙ;;;;;;;;;;;;;
"(на 1 января; рублей)";;;;;;;;;;;;;
Оренбургская область;2341;6936;7540;8336;9128;9882;10976;11334;16334;12251;;;
Пензенская область;2376;7001;7603;8398;9159;9919;11008;11350;16350;12218;;;
Самарская область;2481;7445;8106;8956;9806;10620;11809;12173;17173;13087;;;
Саратовская область;2385;6988;7576;8346;9107;9841;10927;11254;16254;12157;;;
Ульяновская область;2367;7004;7609;8405;9185;9952;11043;11372;16372;12238;;;
Уральский       федеральный округ;2663;8094;8850;9815;10794;11751;13090;13464;18464;14437;;;
Курганская область;2361;7030;7639;8439;9214;9989;11077;11414;16414;12305;;;
Свердловская область ;2575;7803;8514;9435;10354;11256;12518;12890;17890;13834;;;
Тюменская область;3180;9716;10663;11841;13074;14247;15888;16235;21235;17294;;;
в том числе:;;;;;;;;;;;;;
Ханты-Мансийский автономный округ – Югра;3829;11413;12471;13830;15232;16553;18358;18798;23798;19887;;;
Ямало-Ненецкий автономный округ;3917;11513;12644;13943;15332;16672;18446;18805;23805;19933;;;
Тюменская область без автономных округов;2437;7421;8132;9051;9998;10926;12301;12534;17534;13515;;;
Челябинская область;2505;7492;8159;9024;9879;10726;11923;12283;17283;13196;;;
Сибирский          федеральный округ;2541;7548;8218;9091;9942;10808;11986;12329;17329;13207;;;
Республика Алтай;2359;6900;7494;8281;8961;9810;10807;11115;16115;11825;;;
Республика Бурятия;2393;7093;7709;8535;9337;10158;11251;11604;16604;12441;;;
Республика Тыва;2422;7155;7834;8729;9513;10435;11555;11911;16911;12615;;;
Республика Хакасия;2516;7487;8150;9021;9864;10718;11859;12218;17218;13100;;;
Алтайский край;2436;7122;7717;8498;9258;10063;11073;11379;16379;12252;;;
Забайкальский край;2344;6929;7561;8389;9180;10024;11171;11537;16537;12380;;;
Красноярский край;2712;8145;8887;9841;10782;11707;12994;13331;18331;14226;;;
Иркутская область;2614;7799;8504;9425;10319;11243;12483;12839;17839;13745;;;
Кемеровская область;2554;7570;8251;9139;10008;10891;12108;12463;17463;13337;;;
Новосибирская область ;2509;7475;8139;8998;9838;10677;11859;12199;17199;13086;;;
Омская область;2448;7255;7878;8682;9483;10259;11373;11706;16706;12580;;;
Томская область;2782;8304;9052;10024;10982;11930;13242;13614;18614;14552;;;
Дальневосточный федеральный округ;2986;8899;9712;10771;11830;12875;14302;14681;19681;15618;;;
Республика Саха (Якутия);3557;10377;11311;12539;13779;15011;16640;17054;22054;18005;;;
Камчатский край;4014;11778;12848;14244;15658;17016;18860;19314;24314;20370;;;
Приморский край;2572;7698;8408;9326;10224;11125;12362;12715;17715;13593;;;
Хабаровский край ;2925;8817;9605;10650;11697;12716;14123;14494;19494;15446;;;
Амурская область;2538;7591;8266;9157;10046;10947;12172;12550;17550;13472;;;
Магаданская область;4096;12022;13149;14571;16022;17456;19361;19719;24719;20666;;;
Сахалинская область;3415;10099;11049;12269;13495;14700;16344;16769;21769;17787;;;
Еврейская автономная область;2435;7325;7986;8860;9701;10561;11757;12109;17109;12967;;;
Чукотский автономный округ;4655;13835;15211;16843;18562;20132;22287;22568;27568;23486;;;
??????;;;;;;;;;;;;;
2) Единовременная денежная выплата, назначенная в соответствии с Федеральным законом от 22 ноября 2016 г.  № 385-ФЗ в размере 5 тысяч рублей.;;;;;;;;;;;;;
3;;;;;;;;;;;;;
;;;;;;;;;;;;;
