Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;
14. СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, РЫБОЛОВСТВО И РЫБОВОДСТВО;;;;;;;;;;;;;;;;
СЕЛЬСКОЕ ХОЗЯЙСТВО;;;;;;;;;;;;;;;;
Растениеводство;;;;;;;;;;;;;;;;
 ВНЕСЕНИЕ УДОБРЕНИЙ НА ОДИН ГЕКТАР ПОСЕВА СЕЛЬСКОХОЗЯЙСТВЕННЫХ КУЛЬТУР В СЕЛЬСКОХОЗЯЙСТВЕННЫХ ОРГАНИЗАЦИЯХ1) ;;;;;;;;;;;;;;;;
14.24.1. Минеральные удобрения (в пересчете на 100% питательных веществ);;;;;;;;;;;;;;;;
(килограмм);;;;;;;;;;;;;;;;
;2005;2010;2012;2013;2014;2015;2016;2017;;;;;;;;
Российская Федерация;24,7;38,0;37,9;37,6;40,0;42,2;48,8;55,0;;;;;;;;
Центральный       федеральный округ;36,8;67,4;67,1;66,1;70,9;77,6;88,3;95,7;;;;;;;;
Белгородская область;69,4;113,9;97,1;92,7;87,7;93,7;101,3;108,1;;;;;;;;
Брянская область;28,5;36,1;43,6;56,0;72,9;90,3;119,5;127,8;;;;;;;;
Владимирская область;21,7;32,8;39,2;27,7;31,5;28,5;26,8;35,6;;;;;;;;
Воронежская область;32,2;75,1;61,4;64,0;67,1;71,3;75,8;85,5;;;;;;;;
Ивановская область;10,3;13,6;16,1;14,1;18,6;16,7;14,5;19,7;;;;;;;;
Калужская область;11,8;30,5;28,2;26,5;21,0;29,0;36,2;47,0;;;;;;;;
Костромская область;4,0;5,9;6,2;4,5;8,5;7,1;6,3;9,4;;;;;;;;
Курская область;46,2;102,3;99,4;93,6;105,1;113,3;138,6;150,9;;;;;;;;
Липецкая область;79,6;95,4;116,6;93,7;99,5;116,9;121,4;131,7;;;;;;;;
Московская область;45,2;46,5;47,2;39,0;42,0;43,6;44,3;48,2;;;;;;;;
Орловская область;54,8;85,8;85,5;98,4;105,4;103,4;99,7;104,6;;;;;;;;
Рязанская область;29,6;55,9;52,7;52,6;56,1;56,9;66,5;73,1;;;;;;;;
Смоленская область;9,3;12,9;14,5;11,3;15,8;18,3;31,0;35,3;;;;;;;;
Тамбовская область;25,9;68,0;68,0;70,0;70,8;79,2;95,4;101,8;;;;;;;;
Тверская область;6,4;6,5;7,6;6,5;8,9;13,8;15,7;16,6;;;;;;;;
Тульская область;39,7;70,3;67,3;66,6;79,4;80,3;100,9;-;;;;;;;;
Ярославская область;6,6;13,2;17,7;13,3;14,1;19,3;19,2;21,1;;;;;;;;
г. Москва;;;66,1;35,0;46,3;35,7;40,6;37,9;;;;;;;;
Северо-Западный     федеральный округ;27,6;34,4;41,8;40,7;45,4;43,5;48,6;51,2;;;;;;;;
Республика Карелия;22,2;8,2;14,4;9,6;13,2;10,8;12,3;10,2;;;;;;;;
Республика Коми;8,2;21,8;21,3;17,3;20,1;17,0;12,4;12,1;;;;;;;;
Архангельская область;9,4;17,7;19,3;16,3;22,9;23,9;26,8;26,2;;;;;;;;
в том числе:;;;;;;;;;;;;;;;;
Ненецкий автономный округ;40,0;-;-;-;-;-;-;-;;;;;;;;
