Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;
 2. ТРУД;;;;;;;;;
ЗАНЯТОСТЬ И БЕЗРАБОТИЦА;;;;;;;;;
2.13. ЧИСЛЕННОСТЬ ИНОСТРАННЫХ ГРАЖДАН, ИМЕВШИХ ДЕЙСТВУЮЩИЙ ПАТЕНТ НА ОСУЩЕСТВЛЕНИЕ ТРУДОВОЙ ДЕЯТЕЛЬНОСТИ1);;;;;;;;;
"(на конец года; человек)";;;;;;;;;
;2013;2014;2015;2016;2017;;;;
Российская Федерация;1117833;2079772;1656288;1543443;1649134;;;;
Центральный федеральный округ;570266;1243878;773971;709697;777499;;;;
Белгородская область;9389;10522;10904;7214;6853;;;;
Брянская область;4676;6773;3634;2936;2977;;;;
Владимирская область;11296;18934;11079;10533;11442;;;;
Воронежская область;13095;17185;14222;13983;14675;;;;
Ивановская область;3309;5354;3241;2773;3016;;;;
Калужская область;12037;24354;26016;21289;23186;;;;
Костромская область;2378;2946;2847;2561;2815;;;;
Курская область;3850;4836;3322;2855;3457;;;;
Липецкая область;1062;10002;5841;5810;5601;;;;
Московская область;249551;361088;181658;174840;194412;;;;
Орловская область;4189;3995;2313;2098;2367;;;;
Рязанская область;17579;21930;17435;18634;19297;;;;
Смоленская область;4016;6039;4477;3815;3863;;;;
Тамбовская область;3925;4011;3294;4015;4336;;;;
Тверская область;13537;21320;20665;16969;14735;;;;
Тульская область;18331;23394;18465;18129;21150;;;;
Ярославская область;10112;11914;8058;6657;7100;;;;
г. Москва;187934;689281;436500;394586;436217;;;;
Северо-Западный федеральный округ;27168;80202;279676;280411;307641;;;;
Республика Карелия;2006;2349;1698;1470;1785;;;;
Республика Коми;2279;2755;2867;2665;2532;;;;
Архангельская область;2128;2533;2641;2383;2489;;;;
в том числе: ;;;;;;;;;
Ненецкий автономный округ;423;381;877;695;590;;;;
Архангельская область без автономного округа;1705;2152;1764;1688;1899;;;;
Вологодская область;471;5030;5721;5726;3823;;;;
Калининградская область;9199;8072;7870;8233;9517;;;;
Ленинградская область;1481;17832;56725;55781;58263;;;;
Мурманская область;1937;2546;1778;1881;2323;;;;
Новгородская область;2244;5251;3799;3299;3491;;;;
Псковская область;3052;3643;2507;2200;2423;;;;
г. Санкт-Петербург;2371;30191;194070;196773;220995;;;;
Южный               федеральный округ;81508;136083;122853;116639;105728;;;;
Республика Адыгея;444;5036;3039;2759;3116;;;;
Республика Калмыкия;67;1234;738;795;801;;;;
Республика Крым;;64;8021;9703;10314;;;;
Краснодарский край;51516;64880;47820;39499;31395;;;;
Астраханская область;281;14284;16170;17885;16510;;;;
Волгоградская область;11641;18469;21770;21551;20226;;;;
Ростовская область;17559;32116;23419;22378;21770;;;;
г. Севастополь;;-;1876;2069;1596;;;;
Северо-Кавказский  федеральный округ;19909;33801;17659;22378;26703;;;;
Республика Дагестан;275;8769;4525;6482;10119;;;;
Республика Ингушетия;2305;2;562;1437;1052;;;;
Кабардино-Балкарская    Республика;1654;4192;2419;3234;4016;;;;
Карачаево-Черкесская    Республика;3912;4933;2611;3312;2327;;;;
Республика Северная    Осетия –Алания ;1919;3459;1549;1614;1842;;;;
Чеченская Республика;565;1255;251;800;624;;;;
Ставропольский край;9279;11191;5742;5499;6723;;;;
Приволжский федеральный округ;136133;192969;170669;152612;157776;;;;
Республика Башкортостан;19804;25369;26040;21427;23377;;;;
Республика Марий Эл;247;432;185;189;203;;;;
Республика Мордовия;3020;3044;2702;2772;3430;;;;
Республика Татарстан;17992;29475;24408;21840;25462;;;;
Удмуртская Республика;921;5561;5143;4492;5115;;;;
Чувашская Республика  ;800;949;619;697;794;;;;
Пермский  край;14488;17417;13488;12155;13290;;;;
Кировская область;307;1578;1223;933;1180;;;;
Нижегородская область;16961;22913;21748;22745;25495;;;;
Оренбургская область;13050;17453;14016;11109;9644;;;;
Пензенская область;2467;6020;4942;4735;5148;;;;
Самарская область;30990;45286;43640;38431;32804;;;;
Саратовская область;8726;9630;6153;5800;6663;;;;
Ульяновская область;6360;7842;6362;5287;5171;;;;
Уральский  федеральный округ;54450;141341;122258;113208;115712;;;;
Курганская область;2926;3170;1853;1534;1725;;;;
Свердловская область;27252;58011;43326;38677;40020;;;;
Тюменская область;23206;49081;59495;58031;58472;;;;
в том числе:;;;;;;;;;
Ханты-Мансийский автономный округ – Югра;9724;25422;35898;32796;30918;;;;
Ямало-Ненецкий автономный округ;3717;5474;11723;10054;9643;;;;
Тюменская область       без автономных округов;9765;18185;11874;15181;17911;;;;
Челябинская область;1066;31079;17584;14966;15495;;;;
Сибирский федеральный округ;164139;188674;119796;105312;106405;;;;
Республика Алтай;2259;2064;1351;1248;1311;;;;
Республика Бурятия;6850;6769;1056;1908;2159;;;;
Республика Тыва;358;651;198;143;155;;;;
Республика Хакасия;2134;2673;1364;1301;1531;;;;
Алтайский край;9516;11196;5508;5450;6014;;;;
Забайкальский край;6955;6811;3791;3867;4608;;;;
Красноярский край;21274;29272;20131;17811;19765;;;;
Иркутская область;35838;38923;30585;28999;32297;;;;
Кемеровская область;19423;17175;6274;4999;5723;;;;
Новосибирская область;41094;52143;39308;28979;21557;;;;
Омская область;7829;9924;5481;4876;4941;;;;
Томская область;10609;11073;4749;5731;6344;;;;
Дальневосточный федеральный округ;64260;62824;49406;43186;51670;;;;
Республика Саха (Якутия);15785;13975;6764;6136;5795;;;;
Камчатский край;3411;3765;5575;5471;6447;;;;
Приморский край;12953;14841;7777;7729;12556;;;;
Хабаровский край;16533;14898;11367;9941;10321;;;;
Амурская область;3795;3745;2560;1616;2177;;;;
Магаданская область;1479;1251;4230;4119;5564;;;;
Сахалинская область;9721;9710;9878;6991;7658;;;;
Еврейская автономная область;543;495;363;343;323;;;;
Чукотский автономный округ;40;144;892;840;829;;;;
?????;;;;;;;;;
"1) По данным Министерства внутренних дел Российской Федерации. Данные приведены по лицам, прибывшим в безвизовом порядке въезда. 2013-2014 гг. –       у физических лиц; с 2015 г. – у физических и юридических лиц. ";;;;;;;;;
;;;;;;;;;
