Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;
18. ИНФОРМАЦИОННЫЕ И КОММУНИКАЦИОННЫЕ ТЕХНОЛОГИИ;;;;;;;;;
ЧИСЛО АКТИВНЫХ АБОНЕНТОВ ФИКСИРОВАННОГО И МОБИЛЬНОГО ШИРОКОПОЛОСНОГО ДОСТУПА К СЕТИ ИНТЕРНЕТ на 100 человек населения;;;;;;;;;
18.9.1. Число активных абонентов фиксированного широкополосного доступа к сети Интернет ;;;;;;;;;
"(на конец года; единиц)";;;;;;;;;
;2011;2012;2013;2014;2015;2016;2017;;
Республика Калмыкия;4,5;6,1;7,6;8,5;9,6;8,7;8,8;;
Республика Крым;;;;0,5;2,5;3,9;10,0;;
Краснодарский край;8,9;11,4;13,2;14,9;17,1;16,2;18,9;;
Астраханская область;9,5;11,3;12,3;12,7;13,4;13,0;14,9;;
Волгоградская область;12,1;13,9;15,9;14,1;14,9;14,1;15,8;;
Ростовская область;9,1;9,9;12,2;14,3;16,1;15,7;20,1;;
г. Севастополь;;;;2,8;4,2;6,6;7,1;;
Северо-Кавказский       федеральный округ;3,4;4,3;5,2;5,9;6,4;6,4;8,4;;
Республика Дагестан;0,5;0,9;1,6;1,9;2,3;2,6;2,4;;
Республика Ингушетия ;0,5;0,6;0,6;0,3;0,3;0,9;1,0;;
Кабардино-Балкарская Республика;4,9;6,8;7,9;8,5;10,0;9,4;9,5;;
Карачаево-Черкесская Республика;4,4;5,6;6,5;7,5;8,9;8,5;10,1;;
Республика Северная Осетия – Алания;5,7;6,9;7,7;7,8;8,7;8,0;12,7;;
Чеченская Республика ;0,1;0,1;0,1;2,2;1,0;3,0;4,0;;
Ставропольский край;7,2;9,0;10,4;11,4;12,5;11,7;16,7;;
Приволжский        федеральный округ;13,2;16,1;18,2;18,2;19,5;20,0;21,8;;
Республика Башкортостан;13,2;16,1;18,7;19,5;19,6;20,2;21,3;;
Республика Марий Эл;12,0;13,9;14,9;15,6;16,2;17,2;18,2;;
Республика Мордовия;9,6;12,1;12,5;13,3;17,1;17,9;18,6;;
Республика Татарстан;18,9;21,8;24,2;22,8;23,9;24,5;25,5;;
Удмуртская Республика;15,0;17,9;19,5;18,1;18,9;19,4;20,0;;
Чувашская Республика;6,3;8,7;9,6;10,0;16,6;17,1;21,9;;
Пермский край;10,6;10,4;11,6;12,5;14,2;14,3;22,0;;
Кировская область;14,4;16,7;17,8;14,8;19,1;19,9;20,6;;
Нижегородская область ;14,2;18,2;21,1;22,4;23,7;24,8;23,3;;
Оренбургская область;11,7;14,8;16,6;17,3;16,2;16,6;17,4;;
Пензенская область;9,1;11,5;17,2;16,8;17,9;18,6;19,4;;
Самарская область;13,2;18,4;20,0;19,1;19,7;20,2;21,8;;
Саратовская область;12,7;15,4;17,5;18,5;19,9;19,8;22,0;;
Ульяновская область;14,1;16,6;17,5;16,7;19,8;19,5;23,5;;
Уральский       федеральный округ;14,1;16,9;18,7;19,9;21,8;21,4;24,3;;
Курганская область;10,4;13,4;15,4;16,0;16,9;17,1;20,2;;
Свердловская область ;14,3;16,7;18,6;20,1;23,2;21,1;23,7;;
Тюменская область;16,6;18,0;18,0;19,5;20,4;20,8;25,5;;
в том числе:;;;;;;;;;
Ханты-Мансийский  автономный округ – Югра;15,2;16,6;15,7;18,9;19,6;19,8;25,8;;
Ямало-Ненецкий автономный    округ;14,3;15,3;16,0;18,1;19,7;20,3;22,7;;
Тюменская область     без автономных округов;19,0;20,5;21,4;20,6;21,7;22,2;26,0;;
Челябинская область;12,5;16,9;20,2;20,9;22,8;23,5;24,7;;
Сибирский       федеральный округ;10,0;13,3;14,8;15,7;17,2;17,7;18,9;;
Республика Алтай;3,6;4,1;4,9;5,2;6,3;8,8;7,6;;
Республика Бурятия;4,6;5,5;6,5;7,1;9,3;13,1;14,1;;
Республика Тыва;1,2;1,4;1,8;2,2;2,4;3,4;4,4;;
Республика Хакасия;7,9;8,2;8,6;9,2;10,3;10,7;11,4;;
Алтайский край;7,8;12,2;13,3;14,4;16,2;17,0;17,8;;
Забайкальский край;4,4;5,0;5,7;8,2;15,1;13,7;14,6;;
Красноярский край;10,1;13,6;15,0;15,0;15,7;14,0;13,6;;
Иркутская область;7,2;11,5;14,5;16,9;16,4;17,1;19,5;;
Кемеровская область;10,3;12,7;14,4;15,4;16,7;17,3;18,0;;
Новосибирская область ;20,1;25,9;28,2;29,3;30,9;32,4;34,7;;
Омская область;9,6;14,0;14,6;13,3;14,0;14,6;15,9;;
Томская область;11,2;11,7;11,8;12,0;16,5;17,0;19,5;;
Дальневосточный  федеральный округ;11,6;13,0;13,5;14,4;15,5;16,2;18,2;;
Республика Саха (Якутия);9,4;9,6;9,2;9,4;13,4;13,8;16,0;;
Камчатский край;10,9;11,3;12,0;10,9;10,9;15,5;18,3;;
Приморский край;14,0;15,9;16,4;17,3;16,9;17,6;17,9;;
Хабаровский край;13,5;14,8;15,3;17,6;18,1;19,1;20,8;;
Амурская область;6,1;7,5;8,7;9,0;10,2;11,6;15,4;;
Магаданская область ;14,9;16,7;17,5;20,4;20,6;22,6;25,1;;
Сахалинская область;11,1;13,0;12,7;12,2;17,3;14,9;20,5;;
Еврейская автономная область;10,2;13,3;12,7;16,3;13,8;14,0;15,4;;
Чукотский автономный округ;7,5;9,5;18,1;16,4;20,5;15,9;11,5;;
