Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;
16. ТОРГОВЛЯ И УСЛУГИ НАСЕЛЕНИЮ;;;;;;;;;
РОЗНИЧНАЯ ТОРГОВЛЯ;;;;;;;;;
16.5. ОБОРОТ РОЗНИЧНОЙ ТОРГОВЛИ ПО ТОРГОВЫМ СЕТЯМ;;;;;;;;;
" (в фактически действовавших ценах; в процентах от общего объема оборота розничной торговли субъекта Российской Федерации)";;;;;;;;;
;20101);2011;2012;2013;2014;2015;2016;2017;
Ямало-Ненецкий автономный округ;4,5;6,0;6,1;5,0;7,0;10,4;12,0;19,8;
Тюменская область без автономных округов;;;;18,9;20,9;25,2;28,0;30,8;
Челябинская область;11,8;14,7;20,3;21,9;23,8;29,1;35,8;37,3;
Сибирский федеральный округ;14,7;14,9;20,7;22,4;23,2;25,7;29,5;31,2;
Республика Алтай;16,1;19,7;20,6;25,2;25,4;28,8;29,6;30,8;
Республика Бурятия;6,4;6,0;7,5;8,1;7,5;7,5;9,8;10,8;
Республика Тыва;0,1;1,6;2,4;2,8;4,8;5,0;11,0;8,7;
Республика Хакасия;6,3;6,8;7,5;8,4;9,4;9,1;14,3;17,0;
Алтайский край;21,7;19,0;24,0;25,7;26,1;28,6;33,0;34,9;
Забайкальский край;6,9;7,4;8,2;8,0;8,1;11,7;10,8;11,6;
Красноярский край;12,2;12,7;15,1;15,8;16,5;19,4;25,0;27,1;
Иркутская область;13,0;12,2;16,3;18,4;15,8;20,2;23,5;26,7;
Кемеровская область;11,2;11,1;29,7;31,6;34,2;34,8;40,4;42,4;
Новосибирская область;20,9;21,7;27,6;30,8;32,6;37,9;39,4;40,5;
Омская область;17,1;18,8;21,3;24,6;26,9;30,7;33,9;33,6;
Томская область;19,5;19,7;27,4;27,6;29,9;27,4;37,7;41,0;
Дальневосточный федеральный округ;7,7;7,6;9,0;9,8;10,8;11,9;13,0;13,9;
Республика Саха (Якутия);0,6;0,6;0,2;6,1;5,5;8,1;9,6;10,0;
Камчатский край;8,2;9,3;7,3;10,0;10,7;12,3;22,0;26,0;
Приморский край;7,4;7,3;7,9;6,3;7,3;9,5;5,8;8,6;
Хабаровский край;16,8;14,7;18,9;18,9;22,1;21,3;22,3;21,4;
Амурская область;9,4;11,0;13,6;12,6;13,2;14,1;19,5;18,6;
Магаданская область;2,8;2,8;2,9;9,8;9,6;9,8;15,1;15,4;
Сахалинская область;1,0;1,1;1,3;1,4;1,5;2,2;4,4;5,7;
Еврейская автономная область;13,0;15,3;13,3;14,6;15,5;15,9;18,5;20,7;
Чукотский автономный округ;-;-;-;-;-;-;14,3;15,2;
?????;;;;;;;;;
1) Оперативные данные.;;;;;;;;;
2) 2014, 2015 гг. – без учета данных по Республике Крым  и г. Севастополю.;;;;;;;;;
