Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
19. НАУКА И ИННОВАЦИИ;;;;;;;;;;;;;;;;;;;
ЧИСЛЕННОСТЬ ПЕРСОНАЛА, ЗАНЯТОГО НАУЧНЫМИ ИССЛЕДОВАНИЯМИ И РАЗРАБОТКАМИ, ПО КАТЕГОРИЯМ  ;;;;;;;;;;;;;;;;;;;
19.3.1. Исследователи;;;;;;;;;;;;;;;;;;;
(человек);;;;;;;;;;;;;;;;;;;
;2005;2010;2011;2012;2013;2014;2015;2016;2017;;;;;;;;;;
Российская Федерация;391121;368915;374746;372620;369015;373905;379411;370379;359793;;;;;;;;;;
Центральный     федеральный округ;206530;197977;198391;194890;194379;195838;195346;192184;184965;;;;;;;;;;
Белгородская область;666;823;866;916;862;861;1295;1247;1120;;;;;;;;;;
Брянская область;1188;313;645;627;375;615;396;320;356;;;;;;;;;;
Владимирская область;2686;1449;1698;1674;1729;2078;2243;1947;2014;;;;;;;;;;
Воронежская область;7016;5918;6655;6204;6116;6130;5987;5763;5969;;;;;;;;;;
Ивановская область;679;526;463;648;626;685;473;462;404;;;;;;;;;;
Калужская область;4487;4609;4561;4438;4488;4601;4271;3789;3055;;;;;;;;;;
Костромская область;91;69;60;74;77;70;66;58;56;;;;;;;;;;
Курская область;803;1094;1235;1131;1142;1161;1135;1032;980;;;;;;;;;;
Липецкая область;119;166;162;191;171;218;431;366;331;;;;;;;;;;
Московская область;39014;37122;37545;37425;37675;38593;38767;40415;40252;;;;;;;;;;
Орловская область;436;386;361;348;356;314;394;335;352;;;;;;;;;;
Рязанская область;1207;1038;1020;1158;1141;1125;1495;1229;1016;;;;;;;;;;
Смоленская область;358;410;420;464;381;420;386;422;467;;;;;;;;;;
Тамбовская область;997;638;790;703;601;540;592;461;527;;;;;;;;;;
Тверская область;3060;2631;2444;2377;2176;2272;2471;2392;2115;;;;;;;;;;
Тульская область;3895;2785;2631;2596;2548;2764;3014;3058;2992;;;;;;;;;;
Ярославская область;2121;2613;2834;2778;2558;2623;2736;2773;2651;;;;;;;;;;
г. Москва;137707;135387;134001;131138;131357;130768;129194;126115;120308;;;;;;;;;;
Северо-Западный     федеральный округ;54532;50989;52200;53688;51840;51975;51884;49178;48298;;;;;;;;;;
Республика Карелия;564;478;464;464;469;508;534;542;552;;;;;;;;;;
Республика Коми;1162;1105;1025;1067;1059;1232;1183;1154;949;;;;;;;;;;
Архангельская область;840;729;681;754;769;798;747;720;710;;;;;;;;;;
в том числе:;;;;;;;;;;;;;;;;;;;
Ненецкий автономный округ;13;23;20;23;25;26;27;24;20;;;;;;;;;;
Архангельская область      без автономного округа;827;706;661;731;744;772;720;696;690;;;;;;;;;;
Вологодская область;267;327;317;332;337;368;403;383;339;;;;;;;;;;
Калининградская область;757;624;670;673;675;680;720;726;693;;;;;;;;;;
Ленинградская область;2408;2540;2591;2613;2443;2872;2840;2805;2798;;;;;;;;;;
Мурманская область;1017;940;984;1030;1007;1029;1023;977;923;;;;;;;;;;
Новгородская область;491;511;523;573;576;626;837;781;793;;;;;;;;;;
Псковская область;144;180;269;679;573;545;641;160;156;;;;;;;;;;
г. Санкт-Петербург;46882;43555;44676;45503;43932;43317;42956;40930;40385;;;;;;;;;;
Южный            федеральный округ;13179;12498;12497;11951;11752;14413;16647;14485;13688;;;;;;;;;;
Республика Адыгея;91;130;129;128;124;115;134;142;144;;;;;;;;;;
Республика Калмыкия;144;135;135;122;131;147;142;127;109;;;;;;;;;;
Республика Крым;;;;;;641;782;789;930;;;;;;;;;;
Краснодарский край;2687;2591;2682;3028;2991;3947;5467;3790;3570;;;;;;;;;;
Астраханская область;840;540;502;540;557;573;632;502;452;;;;;;;;;;
Волгоградская область;2082;1874;1805;1655;1612;1714;2039;2056;1969;;;;;;;;;;
Ростовская область;7335;7228;7244;6478;6337;6782;6761;6509;5944;;;;;;;;;;
г. Севастополь;;;;;;494;690;570;570;;;;;;;;;;
Северо-Кавказский      федеральный округ;2890;3534;5553;4736;3857;4224;4982;5085;4507;;;;;;;;;;
Республика Дагестан;1030;994;1009;1026;983;972;1142;1419;1167;;;;;;;;;;
Республика Ингушетия ;18;63;76;87;86;86;247;227;166;;;;;;;;;;
Кабардино-Балкарская      Республика;424;471;496;504;572;523;653;776;648;;;;;;;;;;
Карачаево-Черкесская      Республика;183;156;172;170;165;259;283;284;286;;;;;;;;;;
Республика Северная        Осетия – Алания;312;402;406;408;406;424;363;351;329;;;;;;;;;;
Чеченская Республика ;176;320;514;447;480;449;410;352;355;;;;;;;;;;
Ставропольский край;747;1128;2880;2094;1165;1511;1884;1676;1556;;;;;;;;;;
Приволжский     федеральный округ;55154;50080;51207;52121;51876;51537;52144;51950;52495;;;;;;;;;;
Республика Башкортостан;3503;3237;3329;3577;3847;3880;3877;3835;3664;;;;;;;;;;
Республика Марий Эл;727;106;108;101;104;117;107;103;102;;;;;;;;;;
Республика Мордовия;614;564;590;562;555;550;574;552;502;;;;;;;;;;
Республика Татарстан;6437;6377;6636;6973;6682;6580;6796;6685;7142;;;;;;;;;;
Удмуртская Республика;1221;675;973;937;1095;1069;941;1132;1231;;;;;;;;;;
Чувашская Республика;522;557;565;812;733;773;878;1098;1166;;;;;;;;;;
Пермский край;5701;4788;5043;5303;4959;5259;5162;4917;4751;;;;;;;;;;
Кировская область;857;735;785;765;660;735;666;645;665;;;;;;;;;;
Нижегородская область;19576;18506;18363;18460;18667;18099;18330;18634;18253;;;;;;;;;;
Оренбургская область;511;557;524;497;421;430;557;932;723;;;;;;;;;;
Пензенская область;2927;2936;3087;2979;2649;2732;2807;2734;2863;;;;;;;;;;
Самарская область;6899;6140;6509;6508;6656;6486;6425;5845;6541;;;;;;;;;;
Саратовская область;3224;2569;2542;2406;2545;2581;2769;2730;2845;;;;;;;;;;
Ульяновская область;2435;2333;2153;2241;2303;2246;2255;2108;2047;;;;;;;;;;
Уральский        федеральный округ;21771;20352;21606;21417;21431;22107;23491;22874;22727;;;;;;;;;;
Курганская область;497;367;428;422;392;381;437;458;406;;;;;;;;;;
Свердловская область;10256;9293;9765;9068;8978;9058;9731;9655;9305;;;;;;;;;;
Тюменская область;3423;4494;4717;4864;4870;5505;6196;6080;5868;;;;;;;;;;
в том числе:;;;;;;;;;;;;;;;;;;;
Ханты-Мансийский      автономный округ – Югра;1488;1263;1413;1269;1262;1591;1573;1404;1201;;;;;;;;;;
Ямало-Ненецкий     автономный округ;47;11;27;45;49;52;55;59;62;;;;;;;;;;
Тюменская область     без автономных округов;1888;3220;3277;3550;3559;3862;4568;4617;4605;;;;;;;;;;
Челябинская область;7595;6198;6696;7063;7191;7163;7127;6681;7148;;;;;;;;;;
Сибирский       федеральный округ;30471;27129;26693;27164;27017;27110;27505;27441;26514;;;;;;;;;;
Республика Алтай   ;71;89;105;124;122;106;74;78;73;;;;;;;;;;
Республика Бурятия;897;556;602;673;640;626;686;647;594;;;;;;;;;;
Республика Тыва;157;144;141;157;167;172;173;166;155;;;;;;;;;;
Республика Хакасия;217;109;98;256;198;183;197;215;221;;;;;;;;;;
Алтайский край;1196;1070;1231;1711;1804;1801;1752;1448;1377;;;;;;;;;;
Забайкальский край;234;181;162;158;161;246;234;223;244;;;;;;;;;;
Красноярский край;3693;3791;3933;3842;4115;4353;4510;4503;4132;;;;;;;;;;
Иркутская область;2887;2692;2519;2840;2449;2296;2089;1991;1957;;;;;;;;;;
Кемеровская область;793;804;811;695;808;989;1028;1108;979;;;;;;;;;;
Новосибирская область;12182;10769;10278;10229;10134;10151;10165;10035;10209;;;;;;;;;;
Омская область;3658;2550;2367;2151;2035;1864;1980;1956;1932;;;;;;;;;;
Томская область;4486;4374;4446;4328;4384;4323;4617;5071;4641;;;;;;;;;;
Дальневосточный      федеральный округ;6594;6356;6599;6653;6863;6701;7412;7182;6599;;;;;;;;;;
Республика Саха (Якутия);1338;1176;1279;1252;1254;1304;1183;1260;1163;;;;;;;;;;
Камчатский край;503;519;521;518;520;629;652;660;556;;;;;;;;;;
Приморский край;2851;2533;2503;2629;2630;2399;2871;2683;2548;;;;;;;;;;
Хабаровский край;833;936;995;996;961;1058;1342;1198;1095;;;;;;;;;;
Амурская область;353;396;415;457;693;367;367;…1);…1);;;;;;;;;;
Магаданская область;287;285;310;241;234;…1);…1);…1);…1);;;;;;;;;;
Сахалинская область;370;467;363;347;357;391;460;447;449;;;;;;;;;;
Еврейская автономная      область;34;33;202;202;…1);…1);…1);…1);…1);;;;;;;;;;
Чукотский автономный округ;25;11;11;11;…1);…1);…1);…1);-;;;;;;;;;;
______________;;;;;;;;;;;;;;;;;;;
1) Данные не публикуются в целях обеспечения конфиденциальности первичных статистических данных, полученных от организаций в соответствии с Федеральным законом от 29.11.07 № 282-ФЗ «Об официальном статистическом учете и системе государственной статистики в  Российской Федерации» (п.5 ст.4, ч.1 ст.9).;;;;;;;;;;;;;;;;;;;
