Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;
20.  ФИНАНСЫ;;;;;;;;;
КРЕДИТОРСКАЯ ЗАДОЛЖЕННОСТЬ ОРГАНИЗАЦИЙ;;;;;;;;;
20.19.1. Всего;;;;;;;;;
"(на конец года; миллионов рублей)";;;;;;;;;
Ямало-Ненецкий автономный округ;276582;573759;666688;720514;815210;769625;688547;659988;1023457
Тюменская область без автономных округов;39809;162859;192448;175807;225438;331780;383864;508752;632279
Челябинская область;114146;246009;272591;294453;346074;412192;442931;484569;514487
Сибирский          федеральный округ;655918;1207320;1514197;1624067;1856756;2078255;2161817;2332403;2406815
Республика Алтай;648;1550;1701;1641;2394;2599;3317;6396;7764
Республика Бурятия;10960;27182;23002;27918;26507;38548;41592;36700;45094
Республика Тыва;2217;4161;4789;6024;7262;6922;8936;8790;10963
Республика Хакасия;9978;20236;22245;25952;29611;31771;37841;39115;34040
Алтайский край;45645;61757;74126;89984;95867;108764;108247;112492;100713
Забайкальский край;11932;24357;28534;44621;44408;45203;48681;53708;56033
Красноярский край;115508;267896;365203;391637;410307;421267;467633;538830;640259
Иркутская область;50304;123079;188427;154145;183118;235987;220851;218229;185778
Кемеровская область;137567;247265;323137;366035;428612;487010;491942;502514;488113
Новосибирская область;93353;214774;212676;259232;289434;344428;392160;441711;471068
Омская область;85786;91201;105190;118873;130662;163388;153399;179546;174369
Томская область;92020;123862;165167;138005;208574;192368;187218;194372;192621
Дальневосточный федеральный округ;285985;698361;853599;765741;915005;1284304;1267514;1272368;1249099
Республика Саха (Якутия);73356;73453;90496;89201;99605;120193;124667;140986;139214
Камчатский край;33880;37673;37008;41497;46655;56700;49703;66703;54214
Приморский край;53224;132590;171426;186084;198128;237275;281482;328233;328926
Хабаровский край;63653;322128;393948;257047;306285;361687;416777;395108;309174
Амурская область;18370;33227;44556;44382;60055;68607;65705;78025;132589
Магаданская область;11415;9555;13774;25224;22968;26587;31636;38041;46591
Сахалинская область;22487;77300;90353;106957;164510;390554;275579;207240;217588
Еврейская автономная область;1346;1756;2531;3337;4233;4466;4080;3571;3698
Чукотский автономный округ;8254;10679;9507;12012;12566;18235;17885;14461;17105
