Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;
20.  ФИНАНСЫ;;;;;;;;;
ВКЛАДЫ (ДЕПОЗИТЫ) ЮРИДИЧЕСКИХ И ФИЗИЧЕСКИХ ЛИЦ В ИНОСТРАННОЙ ВАЛЮТЕ, ПРИВЛЕЧЕННЫЕ КРЕДИТНЫМИ ОРГАНИЗАЦИЯМИ;;;;;;;;;
20.10.2. Физических лиц;;;;;;;;;
"(исходя из места привлечения средств; на начало года; миллионов рублей)";;;;;;;;;
;2006;2011;2015;2016;2017;2018;;;
Российская Федерация;650368;1895859;4983991;6912395;5831431;5451785;;;
Центральный федеральный округ;429138;1328461;3374054;4667240;3890680;3697229;;;
Белгородская область;2832;4774;30978;45560;44734;40969;;;
Брянская область;1634;2825;8005;10570;8639;8241;;;
Владимирская область;2062;6668;13271;23220;21345;21587;;;
Воронежская область;4036;9625;29984;43521;38383;35024;;;
Ивановская область;900;4014;13881;20536;19096;17358;;;
Калужская область;2221;4311;11604;16137;13311;13226;;;
Костромская область;891;1582;4248;5827;4918;4185;;;
Курская область;1260;2413;7228;9679;8653;8885;;;
Липецкая область;1508;4581;9970;12704;10533;9704;;;
Московская область;22114;45851;146354;219463;185212;179532;;;
Орловская область;831;1717;4531;5875;5117;5182;;;
Рязанская область;1811;3531;9869;12956;11154;10002;;;
Смоленская область;1899;3327;7837;11970;10201;9650;;;
Тамбовская область;852;1511;5037;6637;5805;5297;;;
Тверская область;1819;3840;12058;15999;12795;11226;;;
Тульская область;3108;5460;13074;20318;16044;13543;;;
Ярославская область;3197;6801;23626;33549;26996;22800;;;
г. Москва;376162;1215630;3022499;4152720;3447744;3280819;;;
Северо-Западный федеральный округ;74113;217834;539548;760908;658459;606694;;;
Республика Карелия;1355;2767;6556;7543;6476;6412;;;
Республика Коми;1996;3260;10334;12909;10803;9634;;;
Архангельская область;1838;3839;11443;14761;12723;10921;;;
в том числе: ;;;;;;;;;
Ненецкий автономный округ;71;43;287;305;311;252;;;
Архангельская область   без автономного округа;1767;3796;11156;14456;12412;10669;;;
Вологодская область;2024;5922;13581;20056;17124;14566;;;
Калининградская область;5729;13314;28283;42715;35153;30994;;;
Ленинградская область;3804;6320;11480;13848;9984;9511;;;
Мурманская область;3866;6176;14599;19258;15282;13442;;;
Новгородская область;1167;2273;5228;7381;6117;5512;;;
Псковская область;968;1516;3980;5926;4812;4340;;;
г. Санкт-Петербург;51365;172447;434064;616512;539984;501361;;;
Южный            федеральный округ;22377;50942;169435;225434;195427;177260;;;
Республика Адыгея;273;387;976;1203;991;795;;;
Республика Калмыкия;80;210;607;763;635;637;;;
Республика Крым;;;3912;5898;4526;3455;;;
Краснодарский край;11743;23071;79173;103713;99704;93463;;;
Астраханская область;1232;2426;6448;8901;7477;6856;;;
Волгоградская область;3550;8867;28085;32381;25830;23267;;;
Ростовская область;5499;15981;47632;69136;54247;47233;;;
г. Севастополь;;;2602;3439;2019;1554;;;
Северо-Кавказский     федеральный округ;6146;11622;30480;39682;31536;28885;;;
Республика Дагестан;314;1422;2239;2807;2215;1864;;;
Республика Ингушетия;49;128;319;367;268;230;;;
Кабардино-Балкарская    Республика;331;1052;2530;3370;2487;2120;;;
Карачаево-Черкесская Республика;106;403;843;972;617;616;;;
Республика Северная Осетия – Алания;556;861;1845;2363;1871;2017;;;
Чеченская Республика;1;58;299;455;417;266;;;
Ставропольский край;4789;7698;22405;29348;23662;21772;;;
Приволжский    федеральный округ;45999;118512;364163;505547;446987;383068;;;
Республика Башкортостан;4808;11186;33372;47616;40289;34705;;;
Республика Марий Эл;310;812;2767;3708;3339;3438;;;
Республика Мордовия;364;1283;3165;4377;4073;3736;;;
Республика Татарстан;6326;18935;60700;90145;83033;69930;;;
Удмуртская Республика;1386;3103;10934;14633;13501;12391;;;
Чувашская Республика;859;1765;8002;11478;10738;10059;;;
Пермский край;4481;12180;41248;58757;47603;40955;;;
Кировская область;653;3140;7472;9097;8562;7998;;;
Нижегородская область;8885;17926;48574;66007;60360;56113;;;
Оренбургская область;2400;4865;14717;20419;17943;15563;;;
Пензенская область;1036;2468;6690;8874;7503;7010;;;
Самарская область;10591;28828;94569;126563;111545;88053;;;
Саратовская область;2890;8169;24115;32957;28598;24456;;;
Ульяновская область;1010;3852;7838;10915;9899;8662;;;
Уральский            федеральный округ;30616;86774;265253;367833;314533;292279;;;
Курганская область;307;757;2781;3868;3375;3252;;;
Свердловская область;9811;28367;81686;111997;93961;80105;;;
Тюменская область;15777;45134;142101;194570;168672;165410;;;
в том числе:;;;;;;;;;
Ханты-Мансийский автономный округ – Югра;10555;33651;110948;152497;136383;137694;;;
Ямало-Ненецкий   автономный округ;2063;1344;6615;8130;6724;5447;;;
Тюменская область   без автономных округов;3159;10139;24538;33943;25565;22268;;;
Челябинская область;4722;12516;38685;57398;48525;43513;;;
Сибирский       федеральный округ;21941;50680;156669;228069;193528;173760;;;
Республика Алтай;43;93;301;345;275;297;;;
Республика Бурятия;410;865;4584;5760;4512;4335;;;
Республика Тыва;25;69;232;240;183;208;;;
Республика Хакасия;324;542;1322;2378;3061;3296;;;
Алтайский край;1800;4168;15231;17847;15003;12812;;;
Забайкальский край;596;908;3083;3776;2973;2959;;;
Красноярский край ;4116;7680;21714;35494;29000;27254;;;
Иркутская область;3195;6021;18605;28477;24089;22971;;;
Кемеровская область;2916;8327;22297;32490;26654;22420;;;
Новосибирская область;4338;11544;41276;60375;51272;45630;;;
Омская область;2555;6229;15738;23599;20910;17989;;;
Томская область;1622;4234;12286;17287;15597;13589;;;
Дальневосточный   федеральный округ;20038;31034;84389;117681;100281;92610;;;
Республика Саха (Якутия);1493;1644;4454;5731;4801;4763;;;
Камчатский край;1575;2056;6664;8645;6845;6944;;;
Приморский край;6390;12448;34342;47980;42127;38215;;;
Хабаровский край;6504;8694;19690;29416;23547;21082;;;
Амурская область;714;1421;4599;6273;6133;5191;;;
Магаданская область;837;1294;2989;3893;3132;3148;;;
Сахалинская область;2243;3256;10649;14481;12715;12467;;;
Еврейская автономная область;159;167;701;897;745;559;;;
Чукотский автономный округ;121;54;301;365;237;242;;;
