Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;
20.  ФИНАНСЫ;;;;;;;;;;;;
20.12. ВКЛАДЫ (ДЕПОЗИТЫ) ФИЗИЧЕСКИХ ЛИЦ НА ВАЛЮТНЫХ СЧЕТАХ В СБЕРБАНКЕ РОССИИ;;;;;;;;;;;;
" (на начало года; миллионов рублей)";;;;;;;;;;;;
;2006;2011;2012;2013;2014;2015;2016;2017;2018;;;
Российская Федерация;274755;581440;713414;783134;918355;1596513;2663055;2301081;2228316;;;
Центральный   федеральный округ;165995;329788;413136;454394;547598;923110;1618495;1397812;1395517;;;
Белгородская область;1840;3131;4614;8137;10795;23415;34955;33861;30696;;;
Брянская область;1026;1601;1801;1952;2184;3790;9095;4498;4498;;;
Владимирская область;1320;2735;3259;4033;5283;6875;14006;13650;15420;;;
Воронежская область;2794;6623;7324;7770;8603;15928;22539;19352;18419;;;
Ивановская область;648;2169;2749;2587;2964;8089;15370;14826;13267;;;
Калужская область;1866;3079;3320;3502;3988;6978;5472;8730;8633;;;
Костромская область;594;1005;1087;1097;1068;1902;3088;2599;2327;;;
Курская область;825;1574;2001;2352;2357;3780;5260;4462;4744;;;
Липецкая область;1071;2432;2731;3008;3217;6009;8195;6482;6036;;;
Московская область;15179;27491;30207;32932;36951;66568;113838;103092;96051;;;
Орловская область;653;1175;1299;1301;1406;2363;3088;2729;2653;;;
Рязанская область;1204;2195;2493;2541;2812;5596;7841;6798;6527;;;
Смоленская область;1535;2367;2614;2652;3162;4863;9456;6590;6377;;;
Тамбовская область;755;1546;1745;1807;1963;3836;4990;4243;3954;;;
Тверская область;1299;2507;3301;3399;3686;6474;11143;7748;7031;;;
Тульская область;1872;2460;2805;2883;3077;5519;7737;5819;5244;;;
Ярославская область;2002;3733;4552;4640;4595;8485;16910;14838;14664;;;
г. Москва;129512;261963;335236;367800;449489;742640;1325512;1137496;1148975;;;
Северо-Западный   федеральный округ;34249;73689;82381;89050;102567;171336;291556;256303;233834;;;
Республика Карелия;869;1617;1773;1733;1857;3093;4183;3508;3617;;;
Республика Коми;1351;2891;3285;3597;3666;6807;9067;6947;7089;;;
Архангельская область;1336;2652;2956;3107;3129;6263;8753;7733;6292;;;
в том числе: ;;;;;;;;;;;;
Ненецкий автономный округ;44;71;91;95;99;174;172;171;167;;;
Архангельская область     без автономного округа;1292;2580;2865;3012;3030;6090;8582;7562;6125;;;
Вологодская область;1058;1996;2313;2492;2654;5001;9102;7062;7127;;;
Калининградская область;3016;4802;5071;5319;6853;12093;20967;16554;14278;;;
Ленинградская область;2308;3520;3733;3664;3854;6100;7822;6089;5860;;;
Мурманская область;2705;3975;4021;4354;4273;8536;11704;8823;7823;;;
Новгородская область;787;1478;1708;1749;1704;2795;4207;3492;3831;;;
Псковская область;750;1259;1371;1499;1626;2533;4037;3205;2999;;;
г. Санкт-Петербург;20069;49499;56150;61537;72952;118115;211713;192891;174919;;;
Южный                 федеральный округ;12244;24235;29306;31117;33138;63876;91724;75518;69158;;;
Республика Адыгея;252;446;501;493;446;744;874;696;630;;;
Республика Калмыкия;71;205;238;267;247;456;596;511;527;;;
Республика Крым;;;;;;-;-;-;-;;;
Краснодарский край ;6345;10413;12755;13680;14611;29115;41001;35660;33068;;;
Астраханская область;808;1956;2225;2385;2461;4123;5582;4588;4033;;;
Волгоградская область;2311;5158;6008;6086;6495;10161;14503;13576;12083;;;
Ростовская область;2458;6057;7579;8206;8878;19277;29168;20487;18817;;;
г. Севастополь;;;;;;-;-;-;-;;;
Северо-Кавказский       федеральный округ;5132;8668;9369;10404;11603;20311;26847;21412;19993;;;
Республика Дагестан;149;905;372;412;600;1766;2182;1784;1482;;;
Республика Ингушетия ;48;120;154;168;198;294;344;259;222;;;
Кабардино-Балкарская Республика;276;585;668;764;858;1554;2369;1835;1564;;;
Карачаево-Черкесская Республика;101;210;241;300;301;596;579;474;497;;;
Республика Северная Осетия – Алания;335;529;568;627;692;1237;1535;1271;1442;;;
Чеченская Республика ;-;-;-;7;62;187;315;254;157;;;
Ставропольский край;4222;6319;7366;8126;8893;14677;19525;15535;14630;;;
Приволжский         федеральный округ;26100;60817;71216;78723;86980;163016;244133;216897;188789;;;
Республика Башкортостан;2070;5149;6326;6680;7017;13684;20170;16999;16033;;;
Республика Марий Эл;206;665;746;1050;916;1532;2017;1809;2086;;;
Республика Мордовия;253;897;856;805;857;2070;3173;2679;2486;;;
Республика Татарстан;3151;7131;8644;9791;11020;21056;34390;33389;29638;;;
Удмуртская Республика;737;1834;2093;2303;2402;4518;6969;6090;5685;;;
Чувашская Республика;631;1356;1577;1646;1693;3477;5069;4867;4640;;;
Пермский край;3027;7600;8851;10484;11396;24031;36140;30369;25769;;;
Кировская область;483;1152;1310;1400;1411;3714;5312;4970;5043;;;
Нижегородская область ;5281;9102;10371;10919;11152;19423;27478;22628;22068;;;
Оренбургская область;1457;2526;3868;3415;3898;6876;10195;8649;7643;;;
Пензенская область;756;2000;2298;2382;2427;4164;5271;4248;4018;;;
Самарская область;5916;15335;17675;20995;25313;44810;66297;59550;45456;;;
Саратовская область;1361;4243;4523;4759;5305;9557;16481;15642;13886;;;
