;Социально-экономические показатели по субъектам Российской Федерации;;;;
;21. ЦЕНЫ И ТАРИФЫ;;;;
;ДИНАМИКА ЦЕН НА ПОТРЕБИТЕЛЬСКОМ РЫНКЕ ;;;;
21.1.;Индексы потребительских цен  ;;;;
21.2.;Стоимость фиксированного набора потребительских товаров и услуг  ;;;;
21.2.1.;Стоимость фиксированного набора;;;;
21.2.2.;Стоимость фиксированного набора (в процентах);;;;
21.2.3.;Изменение стоимости фиксированного набора;;;;
21.3.;Индексы потребительских цен на продовольственные товары  ;;;;
21.4.;Индексы потребительских цен на непродовольственные товары  ;;;;
21.5.;Индексы потребительских цен (тарифов) на услуги  ;;;;
;УРОВЕНЬ И ДИНАМИКА ЦЕН НА РЫНКЕ ЖИЛЬЯ;;;;
21.6.;Индексы цен на первичном рынке жилья  ;;;;
21.7.;Индексы цен на вторичном рынке жилья  ;;;;
21.8.;Средние цены на первичном рынке жилья  ;;;;
21.9.;Средние цены на вторичном рынке жилья  ;;;;
;ДИНАМИКА ЦЕН В ПРОИЗВОДСТВЕННОМ СЕКТОРЕ ;;;;
21.10.;Индексы цен производителей промышленных товаров  ;;;;
21.10.1.;Индексы цен производителей промышленных товаров в соответствии с ОКВЭД - всего ;;;;
21.10.2.;Индексы цен производителей промышленных товаров в соответствии с ОКВЭД2- всего ;;;;
21.10.3.; Добыча полезных ископаемых в соответствии с ОКВЭД ;;;;
21.10.4.;Добыча полезных ископаемых в соответствии с ОКВЭД2 ;;;;
21.10.5.;Обрабатывающие производства в соответствии с ОКВЭД ;;;;
21.10.6.;Обрабатывающие производства в соответствии с ОКВЭД2 ;;;;
21.10.7.;Производство и распределение электроэнергии, газа и воды в соответствии с ОКВЭД ;;;;
21.10.8.;"Обеспечение электрической энергией, газом и паром; кондиционирование воздуха";;;;
21.10.9.;"Водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений";;;;
21.11.;Индексы цен производителей  сельскохозяйственной продукции и приобретения товаров и услуг сельскохозяйственными организациями;;;;
21.11.1.; Индекс цен производителей сельскохозяйственной продукции;;;;
21.11.2.; Индекс цен приобретения промышленных товаров и услуг ;;;;
21.12.;Индексы цен производителей на строительную продукцию  ;;;;
21.13.;Индексы тарифов на грузовые перевозки  ;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
