Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;
14. СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, РЫБОЛОВСТВО И РЫБОВОДСТВО;;;;;;;;;
СЕЛЬСКОЕ ХОЗЯЙСТВО;;;;;;;;;
Растениеводство;;;;;;;;;
14.12. УРОЖАЙНОСТЬ ЗЕРНОВЫХ И ЗЕРНОБОБОВЫХ КУЛЬТУР (в весе после доработки);;;;;;;;;
"(в хозяйствах всех категорий; центнеров с одного гектара убранной площади)";;;;;;;;;
;2005;2010;2011;2012;2013;2014;2015;2016;2017
Российская Федерация;18,5;18,3;22,4;18,3;22,0;24,1;23,7;26,2;29,2
Центральный федеральный округ;22,6;17,5;24,3;25,9;30,4;34,8;31,2;35,1;40,0
Белгородская область;28,8;18,8;33,0;34,2;37,5;44,5;39,7;47,7;48,0
Брянская область;17,6;16,3;20,0;22,8;24,1;28,8;29,7;39,3;44,7
Владимирская область;18,2;16,4;19,5;22,1;17,2;23,2;24,7;22,4;25,9
Воронежская область;21,5;14,0;24,6;25,0;27,3;32,4;30,0;34,4;39,4
Ивановская область;13,2;18,0;16,8;20,0;16,6;21,3;22,6;20,3;21,6
Калужская область;16,0;19,4;19,6;21,5;16,2;21,3;25,4;20,0;24,6
Костромская область;9,7;12,1;14,4;13,5;11,2;16,0;15,5;13,9;13,6
Курская область;24,4;19,0;29,1;30,9;36,3;43,3;34,0;42,4;50,4
Липецкая область;33,2;19,6;26,3;26,2;33,8;34,4;30,4;36,7;41,8
Московская область;19,2;21,6;23,9;25,8;23,7;28,1;31,3;26,7;29,9
Орловская область;24,0;21,6;22,4;27,2;32,6;39,8;30,4;34,2;37,4
Рязанская область;20,1;15,6;19,3;21,3;25,9;29,8;30,2;29,4;36,2
Смоленская область;13,9;12,2;19,3;18,4;16,6;21,4;22,2;20,5;21,6
Тамбовская область;20,4;13,8;22,5;21,6;30,9;31,7;32,0;32,6;40,7
Тверская область;11,1;11,1;13,4;13,4;13,1;16,4;16,7;13,4;14,4
Тульская область;18,6;18,1;18,5;24,8;28,9;31,2;27,9;29,9;32,5
Ярославская область;11,6;13,7;16,2;17,3;13,5;20,7;20,8;18,5;19,1
г. Москва;;;;19,1;20,2;19,9;29,9;22,6;21,5
Северо-Западный федеральный округ;20,0;21,4;21,8;24,1;25,8;30,7;32,3;26,4;28,1
Республика Карелия;16,1;15,6;21,5;21,4;23,2;13,6;…1);-;-
Республика Коми;10,9;11,0;7,1;8,8;9,6;7,3;8,0;12,7;…1)
Архангельская область;13,1;15,5;22,7;16,8;14,9;18,6;18,3;14,5;19,5
  в том числе:;;;;;;;;;
 Ненецкий автономный округ;-;-;-;-;-;-;-;-;-
 Архангельская область без автономного округа;13,1;15,5;22,7;16,8;14,9;18,6;18,3;14,5;19,5
Вологодская область;16,4;15,9;19,0;18,6;15,7;22,1;22,0;19,8;16,7
Калининградская область;28,9;32,3;26,7;31,6;38,4;39,1;42,5;32,1;37,0
Ленинградская область;25,7;25,3;25,4;28,8;30,7;33,0;34,9;28,3;33,2
Мурманская область;-;-;-;-;-;-;-;-;-
Новгородская область;11,7;15,4;23,6;25,7;22,1;28,7;31,5;26,7;22,8
Псковская область;10,2;13,0;18,0;22,2;21,6;29,0;27,4;26,1;24,2
г. Санкт-Петербург;-;-;-;-;-;-;-;-;-
Южный            федеральный округ;28,3;29,4;32,8;26,7;30,2;33,8;34,7;38,5;40,9
Республика Адыгея;34,6;38,6;39,5;29,5;39,3;40,4;44,8;46,6;43,3
Республика Калмыкия;18,2;15,5;20,2;14,2;13,8;16,5;19,5;25,6;24,9
Республика Крым;;;;;;21,8;25,2;25,8;28,3
Краснодарский край;42,9;46,6;53,0;41,2;50,6;53,7;56,1;56,6;57,4
Астраханская область;15,3;23,1;26,4;21,6;22,5;25,0;30,4;29,7;33,1
Волгоградская область;18,3;12,0;17,2;16,4;17,5;20,4;17,3;24,0;26,9
Ростовская область;25,5;24,6;26,7;21,6;21,9;29,6;29,6;35,7;40,4
г. Севастополь;;;;;;17,6;30,2;26,0;23,2
Северо-Кавказский федеральный округ;31,2;32,2;37,0;25,8;32,7;37,8;37,9;42,7;41,9
Республика Дагестан;19,6;22,4;22,5;20,9;23,8;24,9;26,8;27,6;28,3
Республика Ингушетия ;14,9;16,9;21,7;21,8;24,4;23,0;21,4;26,7;22,2
Кабардино-Балкарская Республика;23,1;37,4;40,6;42,5;52,0;46,3;45,8;56,6;56,3
Карачаево-Черкесская Республика;16,8;27,5;30,1;30,7;43,9;42,3;44,1;49,9;50,5
Республика Северная Осетия – Алания;31,0;40,1;41,9;44,1;51,1;51,4;42,3;48,0;47,6
Чеченская Республика ;11,7;16,7;20,5;16,0;17,7;16,7;19,5;24,3;26,0
Ставропольский край;34,5;32,6;38,3;23,5;30,8;38,0;38,4;43,1;42,1
Приволжский федеральный округ;14,9;10,0;18,4;14,0;15,7;17,1;16,5;19,4;24,0
Республика Башкортостан;19,0;9,5;19,1;13,0;14,6;13,9;17,8;18,8;21,8
Республика Марий Эл;13,2;11,1;18,6;13,0;11,0;15,7;16,3;15,8;17,0
Республика Мордовия;19,3;15,8;23,7;19,0;22,8;21,9;23,3;27,0;31,5
Республика Татарстан;26,6;10,4;29,6;22,5;21,4;21,6;21,2;25,9;32,0
Удмуртская Республика;12,2;11,4;17,2;13,8;10,1;17,0;14,8;15,0;19,8
Чувашская Республика;18,8;11,2;23,0;19,8;17,7;21,1;20,3;21,5;26,0
Пермский край;11,0;12,5;16,3;13,0;12,9;16,0;13,8;11,8;15,2
Кировская область;13,6;15,7;21,2;17,4;14,2;21,1;18,9;17,1;19,0
Нижегородская область ;18,8;13,6;21,4;17,7;18,7;21,6;20,9;19,7;23,8
Оренбургская область;7,5;6,3;12,0;8,6;9,5;10,3;10,2;12,1;15,8
Пензенская область;14,1;11,7;16,1;13,9;23,5;24,2;22,8;28,0;34,6
Самарская область;10,5;11,1;17,4;12,9;17,3;19,5;15,0;19,2;26,0
Саратовская область;14,1;8,4;12,7;10,7;15,3;17,7;13,3;20,7;26,0
Ульяновская область;14,8;8,9;22,8;14,8;19,3;20,2;16,3;21,9;27,4
Уральский         федеральный округ;15,2;12,6;20,2;12,0;13,4;15,1;15,7;16,2;19,2
Курганская область;13,8;10,3;21,1;11,2;12,3;14,9;15,1;16,3;18,6
Свердловская область ;17,0;16,8;21,2;15,4;17,5;20,3;18,7;17,7;22,5
Тюменская область;21,1;18,1;26,8;18,5;19,2;21,6;19,3;18,8;23,3
в том числе:;;;;;;;;;
Ханты-Мансийский автономный округ – Югра;-;-;-;-;2,5;2,1;-;-;-
Ямало-Ненецкий автономный округ;-;-;-;-;-;-;-;-;-
Тюменская область без автономных округов;21,1;18,1;26,8;18,5;19,2;21,6;19,3;18,8;23,3
Челябинская область;12,4;8,4;15,9;6,8;9,5;9,8;13,4;14,5;16,8
Сибирский         федеральный округ;11,9;14,5;15,1;10,6;15,9;14,3;14,4;15,4;16,4
Республика Алтай;13,1;13,1;11,6;7,1;14,0;13,3;10,9;16,0;11,3
Республика Бурятия;8,8;12,7;14,1;12,8;12,4;11,6;7,7;10,1;9,2
Республика Тыва;6,2;9,9;10,8;8,8;8,1;7,3;8,2;8,3;9,0
Республика Хакасия;5,8;14,6;16,1;14,7;12,7;15,3;13,0;14,3;14,7
Алтайский край;8,8;12,8;11,3;8,4;14,2;11,2;11,0;13,4;14,1
Забайкальский край;14,5;13,4;9,9;15,3;12,8;15,2;11,1;12,2;12,0
Красноярский край;16,2;21,3;23,7;18,1;21,5;21,3;22,0;22,5;20,4
Иркутская область;15,3;15,6;16,0;17,1;20,1;21,1;16,4;19,0;20,4
Кемеровская область;15,0;17,3;16,9;9,1;14,8;16,2;17,1;15,6;18,2
Новосибирская область ;10,9;15,1;15,2;9,6;15,5;12,1;14,5;15,1;17,7
Омская область;13,9;12,1;17,4;9,5;16,3;15,1;15,5;15,1;16,2
Томская область;14,0;15,1;13,6;9,4;14,9;14,2;15,3;15,9;19,5
Дальневосточный федеральный округ;12,9;12,1;18,8;15,7;17,9;23,1;22,8;24,1;23,7
Республика Саха (Якутия);10,4;7,8;5,9;6,7;10,1;11,4;8,2;11,4;7,5
Камчатский край;7,3;17,9;4,6;13,3;9,0;12,0;12,6;22,9;14,1
Приморский край;11,8;19,4;22,8;23,2;23,9;27,8;30,9;29,8;33,0
Хабаровский край;10,4;10,2;14,4;17,0;18,6;20,5;18,7;15,3;20,1
Амурская область;14,3;9,0;18,0;12,6;14,2;21,6;19,7;22,8;20,0
Магаданская область;-;-;-;-;-;-;-;-;-
Сахалинская область;-;-;-;-;-;-;-;-;-
Еврейская автономная область;11,6;8,4;16,0;14,2;10,4;16,9;15,9;13,2;15,9
Чукотский автономный округ;-;-;-;-;-;-;-;-;-
?????;;;;;;;;;
1) Данные не публикуются в целях обеспечения конфиденциальности первичных статистических данных, полученных от организаций, в соответствии с Федеральным законом от 29.11.2007 г. № 282-ФЗ «Об официальном статистическом учете и системе государственной статистики в Российской Федерации» (п.5 ст.4, ч.1 ст.9).;;;;;;;;;
