Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;
13. ПРЕДПРИЯТИЯ И ОРГАНИЗАЦИИ;;;;;;;;;;;
МАЛОЕ ПРЕДПРИНИМАТЕЛЬСТВО;;;;;;;;;;;
ОСНОВНЫЕ ПОКАЗАТЕЛИ ДЕЯТЕЛЬНОСТИ МАЛЫХ ПРЕДПРИЯТИЙ;;;;;;;;;;;
12.3.2. Число малых предприятий на 10 000 человек населения1);;;;;;;;;;;
(на конец года);;;;;;;;;;;
;2010;2015;2016;2017;;;;;;;
Российская Федерация;115;152;189;188;;;;;;;
"Центральный
федеральный округ";126;164;240;248;;;;;;;
Белгородская область;111;137;157;150;;;;;;;
Брянская область;87;101;114;107;;;;;;;
Владимирская область;121;143;147;141;;;;;;;
Воронежская область;86;141;163;158;;;;;;;
Ивановская область;158;178;213;204;;;;;;;
Калужская область;106;134;154;144;;;;;;;
Костромская область;109;143;148;153;;;;;;;
Курская область;71;100;99;100;;;;;;;
Липецкая область;93;117;123;126;;;;;;;
Московская область ;96;117;164;169;;;;;;;
Орловская область;92;111;131;122;;;;;;;
Рязанская область;106;151;182;167;;;;;;;
Смоленская область;126;147;183;180;;;;;;;
Тамбовская область;76;91;103;106;;;;;;;
Тверская область;99;137;168;161;;;;;;;
Тульская область;119;140;153;148;;;;;;;
Ярославская область;186;173;226;226;;;;;;;
г. Москва;175;239;417;445;;;;;;;
"Северо-Западный
федеральный округ";163;212;267;272;;;;;;;
Республика Карелия;118;201;202;206;;;;;;;
Республика Коми;126;142;128;132;;;;;;;
Архангельская область;96;120;125;126;;;;;;;
в том числе: ;;;;;;;;;;;
Ненецкий автономный округ;84;99;94;91;;;;;;;
Архангельская область без автономного округа;97;121;126;127;;;;;;;
Вологодская область;121;159;196;224;;;;;;;
Калинингpадская область;238;277;287;329;;;;;;;
Ленинградская область;75;99;100;95;;;;;;;
Мурманская область;114;140;156;154;;;;;;;
Новгородская область;107;119;128;133;;;;;;;
Псковская область;82;124;153;155;;;;;;;
г. Санкт-Петербург;245;317;444;439;;;;;;;
Южный        федеральный округ;98;122;138;128;;;;;;;
Республика Адыгея;77;93;99;83;;;;;;;
Республика Калмыкия;56;63;54;67;;;;;;;
Республика Крым;;90;116;116;;;;;;;
Краснодарский край;108;148;162;145;;;;;;;
Астраханская область;96;101;99;98;;;;;;;
Волгоградская область;102;123;133;114;;;;;;;
Ростовская область;87;113;133;128;;;;;;;
г. Севастополь;;137;176;181;;;;;;;
Северо-Кавказский федеральный округ;44;51;55;49;;;;;;;
Республика Дагестан;12;15;26;21;;;;;;;
