Социально-экономические показатели по субъектам Российской Федерации;;;;;;;
4. ОБРАЗОВАНИЕ;;;;;;;
4.27. ВЫПУСК БАКАЛАВРОВ, СПЕЦИАЛИСТОВ, МАГИСТРОВ;;;;;;;
(тысяч человек);;;;;;;
;2005;2010;2013;2014;2015;2016;2017
Российская Федерация;1151,7;1467,9;1291,0;1226,2;1300,5;1161,1;969,5
Центральный    федеральный округ;343,5;483,2;417,0;385,4;417,8;378,4;330,4
Белгородская область;9,6;14,6;14,9;12,8;14,8;12,8;11,3
Брянская область;7,4;11,4;10,3;9,7;10,2;7,5;6,0
Владимирская область;7,3;11,3;10,2;8,7;7,8;7,7;6,1
Воронежская область;21,0;28,2;23,7;22,4;26,0;21,5;20,2
Ивановская область;10,2;11,6;9,1;8,2;9,0;7,9;6,7
Калужская область;5,0;8,0;6,0;5,7;6,2;4,2;3,6
Костромская область;3,6;4,1;3,9;3,9;4,7;2,8;2,5
Курская область;8,6;16,3;13,8;14,2;14,3;13,3;8,9
Липецкая область;4,9;7,9;7,5;7,0;7,6;6,5;4,7
Московская область;24,9;33,3;31,4;29,3;30,1;25,0;16,0
Орловская область;7,0;9,0;7,8;7,4;8,6;7,7;6,7
Рязанская область;8,1;9,6;9,5;8,4;9,4;7,5;6,9
Смоленская область;6,9;9,0;8,1;8,6;7,5;6,0;5,3
Тамбовская область;6,3;8,9;8,7;7,8;9,2;6,7;5,9
Тверская область;6,3;8,4;7,8;7,9;7,8;7,3;6,1
Тульская область;7,6;9,6;8,8;9,1;10,1;6,9;7,0
Ярославская область;8,6;10,3;10,0;9,6;9,5;8,0;6,4
г. Москва;190,3;271,9;225,6;204,6;224,8;219,1;200,2
Северо-Западный      федеральный округ;120,0;147,0;126,1;118,1;124,7;116,2;93,5
Республика Карелия;4,3;4,6;3,4;3,4;3,4;3,0;2,5
Республика Коми;5,2;6,0;4,9;5,3;5,2;4,8;3,6
Архангельская область;7,5;9,0;6,7;6,1;6,1;5,8;3,9
в том числе Архангельская область без автономного   округа;;;6,7;6,1;6,1;5,8;3,9
Вологодская область;7,8;9,4;7,7;7,4;7,6;6,0;4,5
Калининградская область;5,8;7,6;7,4;6,7;6,8;5,9;3,8
Ленинградская область;1,8;2,2;2,1;2,3;2,2;2,5;1,5
Мурманская область;5,7;7,0;6,3;5,1;4,4;3,2;2,0
Новгородская область;4,3;3,9;2,9;3,0;2,9;2,8;2,0
Псковская область;3,6;4,2;4,3;3,3;3,8;3,7;2,6
г. Санкт-Петербург;73,9;93,2;80,6;75,4;82,2;78,4;67,2
Южный         федеральный округ;93,1;121,7;114,9;122,4;127,7;121,1;96,6
Республика Адыгея;2,4;4,0;3,3;3,2;3,7;8,0;4,9
Республика Калмыкия;1,9;2,4;2,5;2,0;2,0;1,6;1,7
Республика Крым;…;…;…;13,2;7,3;10,5;9,4
Краснодарский край;27,5;39,4;38,4;33,4;40,1;34,3;25,8
