Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 3. УРОВЕНЬ ЖИЗНИ НАСЕЛЕНИЯ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ДЕНЕЖНЫЕ ДОХОДЫ НАСЕЛЕНИЯ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.9. СТРУКТУРА СОЦИАЛЬНЫХ ВЫПЛАТ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
(в процентах);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2005;;;;;2010;;;;;2013;;;;;2014;;;;;2015;;;;;2016;;;;;2017;;;;
;пенсии;пособия и социальная помощь;стипендии;страховые возмещения-;прочие выплаты;пенсии;пособия и социальная помощь;стипендии;страховые возмещения-;прочие выплаты;пенсии;пособия и социальная помощь;стипендии;страховые возмещения-;прочие выплаты;пенсии;пособия и социальная помощь;стипендии;страховые возмещения-;прочие выплаты;пенсии;пособия и социальная помощь;стипендии;страховые возмещения-;прочие выплаты;пенсии;пособия и социальная помощь;стипендии;страховые возмещения-;прочие выплаты;пенсии;пособия и социальная помощь;стипендии;страховые возмещения-;прочие выплаты
Российская Федерация;71,5;17,9;0,6;9,9;0,1;69,2;26,4;0,7;3,6;0,1;70,5;25,0;0,9;3,5;0,1;70,2;25,2;0,9;3,7;0,0;71,4;24,5;0,8;3,3;0,0;71,4;24,7;0,8;3,1;0,0;73,7;22,6;0,8;2,9;0,0
Центральный   федеральный округ;66,4;15,8;0,4;17,3;0,1;67,9;26,3;0,7;5,0;0,1;68,8;25,3;0,8;5,0;0,1;69,2;25,0;0,8;5,0;0,0;70,4;24,4;0,7;4,5;0,0;70,3;25,2;0,7;3,8;0,0;72,1;23,5;0,7;3,6;0,1
Белгородская область;73,9;22,5;0,9;2,6;0,1;72,0;25,7;0,5;1,8;0,0;74,3;23,1;0,7;1,9;0,0;75,0;22,2;0,8;2,0;0,0;75,5;21,8;0,7;2,0;0,0;75,5;21,8;0,7;2,0;0,0;77,1;20,1;0,7;2,1;0,0
Брянская область;73,9;22,7;0,9;2,4;0,1;71,3;26,7;0,5;1,5;0,0;74,2;23,4;0,7;1,7;0,0;72,5;25,2;0,6;1,7;0,0;71,4;26,4;0,6;1,6;0,0;73,7;24,1;0,6;1,6;0,0;77,1;21,1;0,5;1,3;0,0
Владимирская область;75,7;20,0;0,6;3,6;0,1;72,9;23,7;0,9;2,4;0,1;74,6;22,2;0,6;2,6;0,0;74,3;22,5;0,6;2,6;0,0;75,0;22,1;0,5;2,4;0,0;75,3;22,0;0,5;2,2;0,0;77,3;20,1;0,5;2,1;0,0
Воронежская область;77,1;18,8;0,5;3,5;0,1;72,9;24,2;0,8;2,0;0,1;74,8;21,9;0,9;2,4;0,0;75,1;21,3;1,0;2,6;0,0;75,7;21,1;0,9;2,3;0,0;75,5;21,1;0,9;2,5;0,0;78,1;18,8;0,9;2,2;0,0
Ивановская область;80,4;15,7;0,8;3,0;0,1;75,3;22,0;0,7;2,0;0,0;75,9;20,6;1,1;2,4;0,0;77,0;19,4;1,1;2,5;0,0;77,5;19,0;1,0;2,5;0,0;76,9;19,1;0,9;3,1;0,0;78,7;17,8;0,8;2,7;0,0
Калужская область;75,9;20,3;0,7;2,9;0,2;71,9;25,1;0,6;2,4;0,0;72,6;24,3;0,5;2,5;0,1;72,5;24,4;0,5;2,6;0,0;73,8;23,6;0,5;2,1;0,0;74,2;23,4;0,5;1,9;0,0;77,3;20,6;0,4;1,7;0,0
