Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;
20.  ФИНАНСЫ;;;;;;;;;
ВКЛАДЫ (ДЕПОЗИТЫ) ЮРИДИЧЕСКИХ И ФИЗИЧЕСКИХ ЛИЦ В РУБЛЯХ, ПРИВЛЕЧЕННЫЕ КРЕДИТНЫМИ ОРГАНИЗАЦИЯМИ;;;;;;;;;
20.9.2. Физических лиц;;;;;;;;;
"(исходя из места привлечения средств; на начало года; миллионов рублей)";;;;;;;;;
;2006;2011;2015;2016;2017;2018;;;
Российская Федерация;2072370;7909503;13699086;16347070;18471993;20640786;;;
Центральный федеральный округ;878123;3562092;6111713;7157729;8150313;9195398;;;
Белгородская область;17778;63234;111648;137288;153249;169934;;;
Брянская область;8966;33535;61524;76444;85133;96667;;;
Владимирская область;15635;63105;105424;127746;147334;161675;;;
Воронежская область;27243;113524;192790;233803;261493;283749;;;
Ивановская область;9128;38269;69945;81567;92573;103528;;;
Калужская область;10728;44926;81386;98657;116587;126657;;;
Костромская область;6067;25610;42309;50631;60747;73222;;;
Курская область;10007;37400;63041;77086;86312;97519;;;
Липецкая область;12245;53215;80829;96593;108480;120540;;;
Московская область;93283;374395;786964;949168;1092592;1229828;;;
Орловская область;6958;27469;46866;57148;65920;75220;;;
Рязанская область;12169;45822;83146;101639;115043;127042;;;
Смоленская область;9194;34809;55979;68488;75862;86962;;;
Тамбовская область;8339;30879;54514;67717;75104;83996;;;
Тверская область;10504;48261;89148;107097;118045;131410;;;
Тульская область;16619;60947;103554;127878;147474;165455;;;
Ярославская область;21445;61818;115158;136429;150315;167916;;;
г. Москва;581816;2404874;3967488;4562352;5198051;5894076;;;
Северо-Западный федеральный округ;231844;886123;1596809;1888477;2145584;2435775;;;
Республика Карелия;6423;22675;46728;54297;60833;68448;;;
Республика Коми;16646;51603;79764;92644;104776;112819;;;
Архангельская область;14604;58648;101486;120987;134529;150439;;;
в том числе: ;;;;;;;;;
Ненецкий автономный округ;863;2609;5590;6203;6975;7539;;;
Архангельская область без автономного округа;13741;56039;95896;114783;127554;142900;;;
Вологодская область;17390;52247;88784;101013;112146;123283;;;
Калининградская область;10692;42087;83865;101786;113683;128569;;;
Ленинградская область;13892;50427;88441;117185;130489;143123;;;
Мурманская область;15593;49503;104079;119448;129761;145306;;;
Новгородская область;5030;18692;38567;45334;48403;54060;;;
Псковская область;4719;17151;36294;42068;46521;52079;;;
г. Санкт-Петербург;126855;523090;928801;1093717;1264443;1457649;;;
Южный                федеральный округ;122802;490080;922268;1151000;1303801;1455262;;;
Республика Адыгея;1974;7520;14051;17296;19433;20657;;;
Республика Калмыкия;663;3562;5893;7387;8194;9191;;;
Республика Крым;;;15859;41766;59586;75401;;;
Краснодарский край;53232;212396;394998;479517;549161;612584;;;
Астраханская область;9079;31581;53967;63672;67791;72504;;;
Волгоградская область;22446;84680;146892;182963;194404;212915;;;
Ростовская область;35408;150341;284192;346419;386655;428172;;;
г. Севастополь;;;6416;11980;18577;23838;;;
Северо-Кавказский федеральный округ;35341;138012;249920;304032;339706;378083;;;
Республика Дагестан;2245;17379;37802;46924;51568;56795;;;
Республика Ингушетия;583;1958;3290;4327;4255;4479;;;
Кабардино-Балкарская   Республика;3073;12887;22165;25543;29404;32693;;;
Карачаево-Черкесская Республика;1314;5754;9845;11993;13817;15736;;;
Республика Северная Осетия – Алания;4855;15031;24216;29826;33392;37278;;;
Чеченская Республика;474;2986;7517;11453;9935;11391;;;
Ставропольский край;22797;82017;145085;173967;197334;219710;;;
Приволжский федеральный округ;336364;1186342;2022655;2473937;2751460;2980296;;;
Республика Башкортостан;36278;125961;224619;258732;296768;329926;;;
Республика Марий Эл;3828;16421;30067;38071;43914;48246;;;
Республика Мордовия;5802;23465;40685;47914;53984;59837;;;
Республика Татарстан;51091;178151;318737;401638;458979;454672;;;
Удмуртская Республика;14245;47809;84973;101280;114998;129078;;;
Чувашская Республика;9063;36664;66197;83753;97364;108496;;;
Пермский край;33795;113855;194293;230908;256755;277094;;;
Кировская область;11789;46272;73231;88832;98476;111894;;;
Нижегородская область;45970;163857;269952;338456;376658;419516;;;
Оренбургская область;18136;63142;106253;126363;141915;158119;;;
Пензенская область;11316;42045;73162;90422;100735;114288;;;
Самарская область;57817;193382;307276;383866;411799;441600;;;
Саратовская область;26886;90263;160232;193306;199154;211601;;;
Ульяновская область;10347;45055;72978;90399;99961;115928;;;
Уральский     федеральный округ;191833;643972;1054826;1259866;1402949;1546374;;;
Курганская область;5014;18438;34044;39890;44855;51507;;;
Свердловская область;63360;243380;399496;479782;527836;581564;;;
Тюменская область;85906;248645;394831;462394;519937;565121;;;
в том числе:;;;;;;;;;
Ханты-Мансийский автономный округ – Югра;46205;122636;191473;226176;254387;271034;;;
Ямало-Ненецкий автономный округ;18938;35611;69852;79733;92583;101213;;;
Тюменская область без автономных округов;20763;90398;133506;156485;172967;192874;;;
Челябинская область;37552;133509;226455;277801;310320;348181;;;
Сибирский          федеральный округ;188298;656707;1143411;1396432;1582008;1775808;;;
Республика Алтай;769;3631;6312;7075;7493;8553;;;
Республика Бурятия;5548;21237;33870;40614;43371;51259;;;
Республика Тыва;739;3034;5690;6546;7548;8465;;;
Республика Хакасия;3128;11724;20036;25158;29779;33084;;;
Алтайский край;17124;66133;101340;129844;144397;160335;;;
Забайкальский край;7031;24214;43573;51928;58249;67627;;;
Красноярский край ;32775;105687;183967;220092;244739;274097;;;
Иркутская область;25909;86539;148411;181891;210322;237544;;;
Кемеровская область;30673;102715;157264;189333;209995;234630;;;
Новосибирская область;31297;124879;252250;311644;369605;418388;;;
Омская область;20106;64653;114955;139618;155134;170389;;;
Томская область;13199;42261;75743;92688;101376;111436;;;
Дальневосточный    федеральный округ;87766;346175;597484;715595;796172;873791;;;
Республика Саха (Якутия);12912;38513;67812;79696;88176;99976;;;
Камчатский край;6616;24506;42854;52092;59762;67695;;;
Приморский край;20728;97035;173830;213179;236895;262638;;;
Хабаровский край;23000;95063;150398;177235;192440;205115;;;
Амурская область;7006;31975;54389;64541;70514;79939;;;
Магаданская область;4239;14208;25536;30402;33756;37439;;;
Сахалинская область;10240;36926;66262;79873;94079;99034;;;
Еврейская автономная область;1207;4011;8753;9896;10919;11498;;;
Чукотский автономный округ;1816;3938;7650;8681;9632;10457;;;
