Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;
 3. УРОВЕНЬ ЖИЗНИ НАСЕЛЕНИЯ;;;;;;;;;;;
ЖИЛИЩНЫЕ УСЛОВИЯ НАСЕЛЕНИЯ;;;;;;;;;;;
ПРЕДОСТАВЛЕНИЕ ГРАЖДАНАМ СОЦИАЛЬНОЙ ПОДДЕРЖКИ (ЛЬГОТ) ПО ОПЛАТЕ ЖИЛОГО ПОМЕЩЕНИЯ И КОММУНАЛЬНЫХ УСЛУГ;;;;;;;;;;;
3.29.2. Объем средств, предусмотренных на предоставление гражданам социальной поддержки по оплате жилого помещения и коммунальных услуг;;;;;;;;;;;
(миллионов рублей);;;;;;;;;;;
;2005;2010;2015;2016;2017;;;;;;
Тульская область;1139,7;2929,6;2850,8;2349,6;2406,9;;;;;;
Ярославская область;726,9;1728,6;2533,5;2647,5;2716,4;;;;;;
г. Москва;9349,3;19188,5;28328,0;32370,3;36983,8;;;;;;
Северо-Западный     федеральный округ;11505,1;29367,1;34749,6;33943,3;36651,9;;;;;;
Республика Карелия;591,2;1632,9;2373,6;2264,7;2327,5;;;;;;
Республика Коми;996,6;2077,0;2515,8;2402,1;2335,3;;;;;;
Архангельская область;1024,6;3020,0;3649,2;3757,4;4099,6;;;;;;
в том числе: ;;;;;;;;;;;
Ненецкий автономный округ;14,1;152,4;143,0;139,7;138,8;;;;;;
Архангельская область     без автономного округа;1010,5;2867,5;3506,3;3617,7;3960,8;;;;;;
Вологодская область;706,2;1850,2;2771,8;3122,7;3329,7;;;;;;
Калининградская область;514,0;875,8;1050,3;1068,0;1073,8;;;;;;
Ленинградская область;1037,3;3080,0;3260,7;3136,1;3202,4;;;;;;
Мурманская область;953,0;2081,1;2358,3;2463,0;2579;;;;;;
Новгородская область;438,8;1635,4;1835,9;1682,7;1646,2;;;;;;
Псковская область;322,2;1015,7;1240,2;765,9;689,4;;;;;;
г. Санкт-Петербург;4921,2;12098,9;13693,8;13280,6;15369,1;;;;;;
Южный          федеральный округ;5711,2;17213,6;26136,7;27395,4;23261,1;;;;;;
Республика Адыгея;149,6;536,7;771,2;457,4;360,4;;;;;;
Республика Калмыкия;103,8;332,1;501,1;488,3;579,2;;;;;;
Республика Крым;;;741,5;954,6;1312,2;;;;;;
Краснодарский край;1940,7;5711,8;8514,2;8985,0;9190,2;;;;;;
Астраханская область;402,1;1124,0;1529,7;1903,0;1230,2;;;;;;
Волгоградская область;1186,7;2864,2;2949,2;3072,1;3004,1;;;;;;
Ростовская область;1928,3;6644,8;11010,7;11365,6;7364,4;;;;;;
г. Севастополь;;;119,1;169,4;220,4;;;;;; 
Северо-Кавказский      федеральный округ;2908,2;8620,9;16009,6;16601,8;16167;;;;;;
Республика Дагестан;859,7;2318,9;2809,2;2658,4;2134,6;;;;;;
Республика Ингушетия;268,0;720,4;786,7;1452,5;1144,9;;;;;;
Кабардино-Балкарская Республика;212,7;751,8;1256,2;1207,4;1193,4;;;;;;
Карачаево-Черкесская Республика;171,6;676,1;955,8;1010,2;1061,6;;;;;;
Республика Северная Осетия - Алания;320,7;497,9;758,5;692,7;669,1;;;;;;
Чеченская Республика;…;1003,0;2521,1;2600,0;2938,8;;;;;;
Ставропольский край;1075,5;2652,7;6922,0;6980,7;7024,6;;;;;;
Приволжский    федеральный округ;12672,9;40982,9;54661,4;51937,3;47863,5;;;;;;
Республика Башкортостан;1553,4;3885,2;5648,6;6014,5;6273,5;;;;;;
Республика Марий Эл;256,4;744,8;1072,0;1047,4;1218,9;;;;;;
Республика Мордовия;335,4;974,8;1172,2;1092,4;1132,3;;;;;;
Республика Татарстан;0,9;3340,1;4762,1;4643,6;4707,6;;;;;;
Удмуртская Республика;659,1;1886,4;2904,4;3039,5;3164,8;;;;;;
Чувашская Республика;488,9;1368,2;1999,8;1372,2;1286,1;;;;;;
Пермский край;1738,0;4405,4;4357,2;4108,7;4271,1;;;;;;
Кировская область;620,3;1612,0;2078,5;2238,7;2316,9;;;;;;
Нижегородская область ;1854,0;5602,0;7904,9;8196,3;7230,2;;;;;;
Оренбургская область;1099,5;3135,1;4798,7;2477,5;2629,4;;;;;;
Пензенская область;419,4;1590,1;2398,6;2626,4;2690,8;;;;;;
Самарская область;1859,0;5392,5;8078,6;8209,1;4185,9;;;;;;
Саратовская область;1193,4;5008,4;4514,1;3756,9;3439;;;;;;
Ульяновская область;595,2;2038,0;2971,8;3114,1;3316,9;;;;;;
Уральский    федеральный округ;6776,7;18386,2;23745,5;25355,4;26087,2;;;;;;
Курганская область;562,8;1348,1;1337,8;1404,9;1449,6;;;;;;
Свердловская область ;2014,7;5605,6;7952,2;8502,2;8810,4;;;;;;
Тюменская область;2316,2;4726,7;7166,8;7692,7;7973,1;;;;;;
в том числе:;;;;;;;;;;;
Ханты-Мансийский автономный  округ – Югра;1067,2;1907,8;3150,8;3411,6;3605,4;;;;;;
Ямало-Ненецкий автономный округ;399,5;1188,7;1357,6;1490,4;1510,4;;;;;;
Тюменская область   без автономных округов;849,5;1630,2;2658,4;2790,8;2857,3;;;;;;
Челябинская область;1883,0;6705,8;7288,6;7755,5;7854,1;;;;;;
Сибирский    федеральный округ;10435,8;26621,1;33973,2;34416,5;35554;;;;;;
Республика Алтай;83,8;390,4;519,0;538,6;528,2;;;;;;
Республика Бурятия;884,4;1462,8;1391,1;1358,2;1317,4;;;;;;
Республика Тыва;45,9;272,6;237,0;291,7;322,2;;;;;;
Республика Хакасия;181,9;514,5;722,5;925,1;660,9;;;;;;
Алтайский край;1238,6;2439,7;3443,4;3662,3;3965,0;;;;;;
Забайкальский край;298,7;1379,3;1785,6;1746,4;1913,0;;;;;;
Красноярский край;1836,2;5394,1;7337,0;7301,3;7681,2;;;;;;
Иркутская область;1188,8;2720,8;3508,8;3296,1;3601,7;;;;;;
Кемеровская область;1549,3;3522,7;4844,9;4254,9;4304,6;;;;;;
Новосибирская область ;1541,0;4848,1;4599,2;5245,3;5229,7;;;;;;
Омская область;1014,5;2319,7;3329,6;3461,0;3637,7;;;;;;
Томская область;572,7;1356,4;2254,9;2335,6;2392,3;;;;;;
Дальневосточный   федеральный округ;4939,8;14136,8;18228,5;16383,7;16293,7;;;;;;
Республика Саха (Якутия);551,7;2576,3;3395,7;3637,5;3708,1;;;;;;
Камчатский край;326,2;1413,3;1838,6;1943,6;1847,6;;;;;;
Приморский край;1293,2;3318,8;4664,0;2435,1;2623,7;;;;;;
Хабаровский край ;1272,0;3298,1;3494,7;3495,6;3400,7;;;;;;
Амурская область;694,0;1836,1;2189,0;2199,2;2177,6;;;;;;
Магаданская область;126,8;277,3;506,8;418,5;484,7;;;;;;
Сахалинская область;498,5;949,9;1534,1;1606,4;1474,7;;;;;;
Еврейская автономная область;142,8;340,6;486,0;532,6;457,5;;;;;;
Чукотский автономный округ;34,6;126,3;119,5;115,3;119,1;;;;;;
