Социально-экономические показатели по субъектам Российской Федерации;;;;;
 3. УРОВЕНЬ ЖИЗНИ НАСЕЛЕНИЯ;;;;;
ЖИЛИЩНЫЕ УСЛОВИЯ НАСЕЛЕНИЯ;;;;;
 ПРЕДОСТАВЛЕНИЕ ГРАЖДАНАМ СУБСИДИЙ НА ОПЛАТУ ЖИЛОГО ПОМЕЩЕНИЯ  И КОММУНАЛЬНЫХ УСЛУГ;;;;;
3.28.2. Общая сумма начисленных субсидий на оплату жилого помещения и коммунальных услуг;;;;;
(миллионов рублей);;;;;
;2005;2010;2015;2016;2017
Российская Федерация;40035,5;55719,4;62718,2;68764,0;70321,2
Центральный федеральный округ;10069,7;16245,2;21489,6;26557,7;28839,2
Белгородская область;91,3;92,5;87,3;87,1;85,8
Брянская область;105,7;357,7;337,2;332,8;318,8
Владимирская область;241,2;680,7;941,2;919,8;884,5
Воронежская область;264,8;1547,6;1403,2;1466,2;1542,7
Ивановская область;362,8;514,4;649,0;716,1;709,8
Калужская область;104,7;111,2;166,3;177,6;190,1
Костромская область;88,7;178,3;181,6;226,3;268,5
Курская область;260,3;171,5;143,9;140,9;143,1
Липецкая область;161,4;432,7;233,1;247,7;236,5
Московская область;3182,3;2950,0;2494,1;2775,0;2774,9
Орловская область;94,2;123,5;129,1;135,5;135,5
Рязанская область;216,1;126,6;210,6;220,3;248,5
Смоленская область;88,5;172,8;300,2;378,3;420,7
Тамбовская область;291,3;305,9;517,6;548,9;559,4
Тверская область;452,0;704,9;884,3;961,0;976,9
Тульская область;313,1;142,0;100,3;109,1;109,8
Ярославская область;169,7;480,1;402,0;427,0;456,8
г. Москва;3581,6;7152,8;12308,4;16688,2;18777,0
Северо-Западный  федеральный округ;4456,9;4605,2;5199,1;5430,7;5674,7
Республика Карелия;178,9;257,0;315,8;353,9;345,0
Республика Коми;561,8;770,0;504,1;556,4;605,6
Архангельская область;182,9;454,6;555,3;566,0;595,0
в том числе: ;;;;;
Ненецкий автономный округ;0,7;67,0;76,6;73,6;104,3
Архангельская область  без автономного округа;182,1;387,6;478,7;492,4;490,7
Вологодская область;230,1;430,4;580,1;672,5;698,9
Калининградская область;170,9;447,1;348,5;388,8;361,4
Ленинградская область;245,7;247,4;219,7;251,7;217,7
Мурманская область;959,8;1025,1;1639,4;1720,4;1729,5
Новгородская область;190,4;186,2;89,0;92,0;95,1
Псковская область;52,5;131,5;164,1;177,7;172,2
г. Санкт-Петербург;1683,9;655,9;782,9;651,3;854,2
Южный           федеральный округ;1602,5;3767,1;4963,6;4898,4;4633,9
Республика Адыгея;78,0;80,2;35,5;33,4;33,8
Республика Калмыкия;19,7;28,0;38,5;40,6;40,8
Республика Крым;;;0,9;1,8;2,0
Краснодарский край;228,9;652,6;985,0;1118,7;1105,8
Астраханская область;259,6;228,6;403,3;489,3;441,4
Волгоградская область;447,9;756,0;1003,0;1026,1;1014,0
Ростовская область;568,4;2021,7;2497,4;2188,3;1995,0
г. Севастополь;;;0,1;0,2;1,2
Северо-Кавказский     федеральный округ;1657,3;4306,9;4036,7;2593,9;1999,1
Республика Дагестан;576,3;1676,6;1066,2;261,8;185,3
Республика Ингушетия;125,3;158,3;68,0;75,5;87,4
Кабардино-Балкарская    Республика;91,3;94,1;132,7;149,1;136,2
Карачаево-Черкесская   Республика;92,3;124,3;77,7;79,1;82,9
Республика Северная Осетия - Алания;250,1;87,3;89,7;90,1;97,0
Чеченская Республика;…;671,3;490,2;360,0;73,4
Ставропольский край;522,0;1495,0;2112,3;1578,3;1336,8
Приволжский     федеральный округ;6752,0;8639,6;9449,5;10423,1;10636,3
Республика Башкортостан;334,5;754,0;1096,4;1360,1;1467,5
Республика Марий Эл;76,8;292,7;482,5;513,9;329,3
Республика Мордовия;169,9;160,8;163,8;184,0;191,0
Республика Татарстан;1288,6;723,3;1972,6;2063,2;2202,7
Удмуртская Республика;380,6;453,8;474,3;508,8;510,3
Чувашская Республика;252,8;261,3;204,5;243,8;250,3
Пермский край;1198,9;775,7;591,6;793,6;655,1
Кировская область;323,3;592,4;689,2;699,5;739,9
Нижегородская область ;909,9;1809,2;1224,1;1362,0;1467,3
Оренбургская область;150,9;434,9;521,7;485,0;524,8
Пензенская область;186,5;166,0;200,6;216,9;241,2
Самарская область;653,2;908,3;821,1;925,0;974,8
Саратовская область;574,1;876,5;657,8;666,8;664,6
Ульяновская область;252,0;430,7;349,0;400,5;417,4
Уральский     федеральный округ;1972,6;3602,0;4569,0;5375,1;5559,7
Курганская область;217,5;366,7;339,8;370,2;356,0
Свердловская область ;450,9;1085,5;1513,6;1757,8;1866,5
Тюменская область;830,9;1189,0;1130,0;1338,2;1281,0
в том числе:;;;;;
Ханты-Мансийский   автономный округ – Югра;428,9;749,6;698,3;812,0;727,7
Ямало-Ненецкий    автономный округ;182,8;263,3;155,5;188,5;200,0
Тюменская область    без автономных округов;219,2;176,1;276,2;337,7;353,3
Челябинская область;473,3;960,8;1585,6;1908,8;2056,3
Сибирский     федеральный округ;9355,9;8847,4;7874,8;8328,3;8122,1
Республика Алтай;42,8;98,6;79,1;78,3;89,6
Республика Бурятия;1092,5;656,8;733,2;760,2;761,3
Республика Тыва;112,3;241,6;241,0;289,7;337,1
Республика Хакасия;79,2;92,8;99,4;99,4;101,7
Алтайский край;1768,4;895,3;1091,2;1192,7;1253,5
Забайкальский край;226,0;492,8;345,2;302,6;279,0
Красноярский край;2555,6;2545,9;1828,4;1772,1;1718,4
Иркутская область;777,1;955,2;1137,8;1232,9;1162,6
Кемеровская область;866,2;969,7;854,7;961,2;989,3
Новосибирская область ;1133,5;979,7;536,1;712,3;524,5
Омская область;365,3;333,0;312,8;294,5;254,6
Томская область;337,0;586,0;616,0;632,4;650,7
Дальневосточный федеральный округ;4168,6;5706,0;5135,8;5156,9;4856,0
Республика Саха (Якутия);372,9;699,2;762,4;801,7;833,4
Камчатский край;605,6;1035,3;693,9;700,9;656,1
Приморский край;1421,5;1300,0;1186,7;975,4;864,9
Хабаровский край ;495,3;767,9;675,7;784,4;813,1
Амурская область;532,2;1103,7;989,6;1032,6;927,9
Магаданская область;122,9;84,6;66,8;69,8;68,4
Сахалинская область;441,2;400,3;500,6;522,1;447,2
Еврейская автономная область;103,9;133,9;157,6;162,8;161,9
Чукотский автономный округ;73,1;181,1;102,7;107,2;83,0
