Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;
 3. УРОВЕНЬ ЖИЗНИ НАСЕЛЕНИЯ;;;;;;;;;
ЖИЛИЩНЫЕ УСЛОВИЯ НАСЕЛЕНИЯ;;;;;;;;;
ПРЕДОСТАВЛЕНИЕ ГРАЖДАНАМ ЖИЛЫХ ПОМЕЩЕНИЙ ;;;;;;;;;
3.26.2. Удельный вес семей, состоявших на учете в качестве нуждающихся в жилых помещениях, в общем числе семей;;;;;;;;;
(в процентах);;;;;;;;;
;2005;2010;2015;2016;2017;;;;
Российская Федерация;6,5;5,5;4,7;4,6;4,4;;;;
Центральный    федеральный округ;5,5;4,1;3,0;2,9;2,8;;;;
Белгородская область;6,4;4,6;3,6;3,5;3,4;;;;
Брянская область;6,5;4,4;4,4;4,2;3,9;;;;
Владимирская область;5,0;3,5;2,5;2,4;2,2;;;;
Воронежская область;5,7;5,8;4,9;4,8;5,1;;;;
Ивановская область;4,3;3,7;3,5;3,3;2,9;;;;
Калужская область;6,4;6,1;5,6;5,5;5,7;;;;
Костромская область;7,8;6,8;6,8;6,4;6,0;;;;
Курская область;5,8;5,1;4,6;4,5;4,4;;;;
Липецкая область;5,5;4,8;3,9;3,7;3,7;;;;
Московская область;4,4;2,9;1,8;1,7;1,4;;;;
Орловская область;9,4;4,6;3,3;3,1;3,0;;;;
Рязанская область;4,7;3,7;3,2;3,2;3,1;;;;
Смоленская область;4,2;3,4;2,8;2,8;2,6;;;;
Тамбовская область;4,3;5,3;5,4;4,9;5,4;;;;
Тверская область;4,6;4,3;3,8;3,7;3,7;;;;
Тульская область;10,4;7,8;5,6;5,5;5,2;;;;
Ярославская область;5,3;3,9;3,4;3,4;3,2;;;;
г. Москва;5,1;3,1;1,7;1,7;1,5;;;;
Северо-Западный     федеральный округ;11,0;8,5;6,4;6,1;6,0;;;;
Республика Карелия;11,2;9,3;7,6;7,1;7,2;;;;
Республика Коми;10,4;6,4;4,5;4,2;3,9;;;;
Архангельская область;12,4;9,4;7,9;7,5;7,7;;;;
в том числе: ;;;;;;;;;
Ненецкий автономный округ;25,4;23,4;17,0;15,3;25,1;;;;
Архангельская область     без автономного округа;12,0;8,9;7,6;7,3;7,2;;;;
Вологодская область;10,9;6,9;5,3;5,2;5,6;;;;
Калининградская область;10,5;8,8;7,0;6,7;6,6;;;;
Ленинградская область;4,1;3,2;2,6;2,5;2,4;;;;
Мурманская область;4,8;3,9;3,3;3,3;3,5;;;;
Новгородская область;6,9;6,3;5,5;5,2;5,2;;;;
Псковская область;5,5;5,2;4,5;4,3;4,8;;;;
г. Санкт-Петербург;16,2;12,6;8,6;8,3;7,9;;;;
Южный               федеральный округ;5,3;4,1;3,6;3,6;3,7;;;;
Республика Адыгея;4,3;4,5;4,3;4,2;4,3;;;;
Республика Калмыкия;10,8;12,6;12,6;12,0;11,9;;;;
Республика Крым;;;4,9;5,0;4,8;;;;
Краснодарский край;7,3;4,8;4,0;3,9;4,3;;;;
Астраханская область;8,8;6,9;5,7;5,4;5,2;;;;
Волгоградская область;4,1;3,8;2,8;2,6;2,9;;;;
Ростовская область;2,7;2,3;2,3;2,3;2,2;;;;
г. Севастополь;;;0,2;3,2;3,2;;;;
Северо-Кавказский     федеральный округ;5,0;7,0;7,9;8,1;7,6;;;;
Республика Дагестан;3,6;6,9;7,3;7,7;7,8;;;;
Республика Ингушетия;4,5;11,6;23,1;28,7;14,9;;;;
Кабардино-Балкарская      Республика;5,6;5,0;5,0;4,7;4,5;;;;
Карачаево-Черкесская       Республика;7,1;9,3;7,3;7,4;8,0;;;;
Республика Северная Осетия – Алания;6,0;6,0;6,1;6,1;6,1;;;;
Чеченская Республика;4,8;15,9;23,0;23,0;22;;;;
Ставропольский край;5,2;4,9;4,4;4,2;4,1;;;;
Приволжский       федеральный округ;7,0;6,0;5,5;5,4;5,0;;;;
Республика Башкортостан;9,3;5,5;5,2;4,9;4,3;;;;
Республика Марий Эл;5,9;4,8;5,0;4,9;5,2;;;;
Республика Мордовия;6,7;8,7;8,5;8,1;7,9;;;;
Республика Татарстан;11,2;9,5;8,6;7,6;6,5;;;;
Удмуртская Республика;8,7;3,0;3,4;3,7;3,8;;;;
Чувашская Республика;12,1;16,0;16,5;16,3;16,0;;;;
Пермский край;6,7;7,9;6,2;6,5;6,0;;;;
Кировская область;7,5;5,8;4,8;4,7;4,6;;;;
Нижегородская область ;6,4;4,1;3,1;2,9;2,7;;;;
Оренбургская область;4,6;6,3;6,8;6,6;6,3;;;;
Пензенская область;3,4;3,0;2,5;2,4;2,3;;;;
Самарская область;4,3;4,9;4,3;4,2;4,1;;;;
Саратовская область;4,5;3,7;2,9;3,9;3,7;;;;
Ульяновская область;4,2;3,5;3,0;2,9;2,9;;;;
Уральский        федеральный округ;7,2;5,3;4,9;4,5;4,4;;;;
Курганская область;5,0;5,2;4,9;4,9;5,0;;;;
Свердловская область ;5,9;4,4;4,5;4,4;4,3;;;;
Тюменская область;11,5;8,3;7,9;6,7;6,4;;;;
в том числе:;;;;;;;;;
Ханты-Мансийский     автономный округ – Югра;15,1;9,7;7,2;6,6;6,2;;;;
Ямало-Ненецкий автономный округ;14,3;9,7;8,7;8,8;9,0;;;;
Тюменская область   без автономных округов;6,6;6,3;8,4;5,9;5,7;;;;
Челябинская область;5,7;3,6;2,7;2,6;2,6;;;;
Сибирский      федеральный округ;5,8;5,8;5,3;5,2;5,1;;;;
Республика Алтай;11,3;15,2;17,3;16,7;18,4;;;;
Республика Бурятия;8,1;11,5;9,4;9,2;8,7;;;;
Республика Тыва;13,9;12,2;9,1;14,6;14,1;;;;
Республика Хакасия;3,7;4,1;4,3;3,7;3,5;;;;
Алтайский край;4,8;4,9;5,7;5,3;4,9;;;;
Забайкальский край;4,7;6,4;7,4;6,2;5,8;;;;
Красноярский край;5,1;3,8;2,7;3,4;3,3;;;;
Иркутская область;5,9;5,3;5,9;6,0;6,0;;;;
Кемеровская область;6,7;6,9;6,1;5,7;5,2;;;;
Новосибирская область ;5,3;5,1;3,4;3,1;3,2;;;;
Омская область;5,0;6,3;5,5;5,4;5,4;;;;
Томская область;7,4;5,3;4,9;4,7;4,5;;;;
Дальневосточный   федеральный округ;6,1;5,4;4,9;4,9;4,7;;;;
Республика Саха (Якутия);7,3;7,7;8,7;8,7;8,9;;;;
Камчатский край;6,5;5,7;4,8;4,9;4,8;;;;
Приморский край;5,6;4,4;4,2;4,0;3,6;;;;
Хабаровский край ;4,0;3,0;2,5;2,6;2,6;;;;
Амурская область;5,0;6,4;5,4;5,3;4,9;;;;
Магаданская область;5,7;4,2;2,2;1,9;1,8;;;;
Сахалинская область;12,4;10,2;8,3;8,1;8,0;;;;
Еврейская автономная область;5,0;2,9;2,9;4,1;4,3;;;;
Чукотский автономный округ;14,2;11,8;9,1;8,3;7,7;;;;
