Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;
16. ТОРГОВЛЯ И УСЛУГИ НАСЕЛЕНИЮ;;;;;;;;;;;
УСЛУГИ НАСЕЛЕНИЮ;;;;;;;;;;;
ОБЪЕМ БЫТОВЫХ УСЛУГ;;;;;;;;;;;
16.10.2. На душу населения;;;;;;;;;;;
(рублей);;;;;;;;;;;
;2005;2010;2011;2012;2013;2014;2015;2016;2017;;
Российская Федерация;1593;3410;3732;4155;5197;5517;5997;6331;6542;;
Центральный    федеральный округ;2350;4162;4436;4715;5897;6249;6435;6719;6962;;
Белгородская область;1367;5023;5432;6004;6838;7322;8119;8531;8756;;
Брянская область;2332;3482;3672;3935;4660;5187;5322;5694;5912;;
Владимирская область;1102;3578;3947;4707;6486;7196;7057;7111;6570;;
Воронежская область;1364;4280;4673;5599;7290;7905;8670;9387;9846;;
Ивановская область;1079;2279;2740;3167;3737;4148;4266;4296;4507;;
Калужская область;1061;2974;3183;3742;4775;5118;5216;5173;5547;;
Костромская область;510;2483;2775;3205;3339;3504;3673;3863;4105;;
Курская область;1232;4503;4796;5261;6183;6907;7551;7975;8285;;
Липецкая область;1565;4280;4860;5693;6688;7583;8063;8605;9146;;
Московская область;3314;5864;6182;6347;8812;9059;9293;9738;10038;;
Орловская область;1295;2579;3151;3384;4226;4919;5654;5866;6271;;
Рязанская область;994;2034;2287;2539;2836;3070;3035;3118;3231;;
Смоленская область;636;1446;1597;1693;2293;2534;2420;2473;2457;;
Тамбовская область;1658;4595;4984;5483;6402;7140;7846;8212;8557;;
Тверская область;741;1813;1973;2433;2752;2904;3163;3499;3587;;
Тульская область;1029;2549;2686;3230;3867;4144;4469;4782;4814;;
Ярославская область;1066;1969;1918;2377;2682;2910;3025;3424;3408;;
г. Москва;3890;4712;4891;4827;5754;5942;5817;5929;6202;;
Северо-Западный     федеральный округ;1481;3399;3736;4049;4662;4970;5362;5515;5679;;
Республика Карелия;1611;2704;2925;3371;3712;4005;4213;4350;4581;;
Республика Коми;1816;3444;3515;3382;4770;5010;4553;4665;4853;;
Архангельская область;1342;4411;4682;4823;4995;5166;5136;5265;5231;;
в том числе: ;;;;;;;;;;;
Ненецкий автономный округ;782;4795;2788;3664;3571;4032;4585;5173;6119;;
Архангельская область    без автономного округа;;;;;5048;5209;5158;5268;5196;;
Вологодская область;1207;2837;3042;3356;3921;4205;4447;4677;4820;;
Калинингpадская область;1267;3256;3601;4213;4535;5069;5566;6405;6480;;
Ленинградская область;772;1764;1994;2132;2497;2643;2875;3115;3279;;
Мурманская область;3046;3649;3987;4669;7489;7576;7288;7442;7519;;
Новгородская область;857;2967;3553;4382;4853;5323;5530;5519;5191;;
Псковская область;1283;3097;3396;3729;3587;3856;4108;4254;4371;;
г. Санкт-Петербург;1638;4025;4482;4775;5316;5703;6559;6562;6845;;
Южный           федеральный округ;1544;3956;4413;5159;6610;6475;8795;9788;9640;;
Республика Адыгея;709;1678;2185;3347;4549;4608;4570;5259;5230;;
Республика Калмыкия;582;763;592;568;861;929;1070;1162;1211;;
Республика Крым;;;;;;190;11166;9985;8971;;
Краснодарский край;1513;4539;5245;6441;8796;10102;11268;12474;11716;;
Астраханская область;853;2251;2489;2750;3908;4243;4299;3897;3928;;
Волгоградская область;997;4293;4835;5304;5578;5998;6491;6639;6858;;
Ростовская область;2223;3893;4075;4544;5720;6576;7795;8734;9634;;
г. Севастополь;;;;;;295;10499;27893;25559;;
Северо-Кавказский     федеральный округ;709;1949;2377;2936;4745;5245;5661;6082;6500;;
