Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;
3.  УРОВЕНЬ ЖИЗНИ НАСЕЛЕНИЯ;;;;;;;;;
ЖИЛИЩНЫЕ УСЛОВИЯ НАСЕЛЕНИЯ;;;;;;;;;
ПРЕДОСТАВЛЕНИЕ ГРАЖДАНАМ СУБСИДИЙ НА ОПЛАТУ ЖИЛОГО ПОМЕЩЕНИЯ  И КОММУНАЛЬНЫХ УСЛУГ;;;;;;;;;
3.28.2. Среднемесячный размер субсидий на семью;;;;;;;;;
"(на конец отчетного периода; рублей)";;;;;;;;;
;2005;2010;2015;2016;2017;;;;
Российская Федерация;550;896;1241;1372;1456;;;;
Центральный федеральный округ;535;889;1349;1606;1750;;;;
Белгородская область;433;437;753;772;787;;;;
Брянская область;473;785;783;820;1002;;;;
Владимирская область;385;984;1394;1377;1356;;;;
Воронежская область;272;1033;1073;1124;1233;;;;
Ивановская область;478;777;1268;1373;1394;;;;
Калужская область;595;914;1194;1099;1143;;;;
Костромская область;356;877;1350;1438;1654;;;;
Курская область;383;449;599;623;639;;;;
Липецкая область;267;603;827;917;912;;;;
Московская область;660;904;1261;1396;1420;;;;
Орловская область;257;682;984;1230;1330;;;;
Рязанская область;443;346;906;879;973;;;;
Смоленская область;539;1077;1672;1847;1874;;;;
Тамбовская область;502;892;1249;1274;1306;;;;
Тверская область;417;946;1299;1390;1421;;;;
Тульская область;995;686;1239;1346;1342;;;;
Ярославская область;328;666;767;995;1108;;;;
г. Москва;598;975;1565;1957;2162;;;;
Северо-Западный федеральный округ;618;1004;1375;1445;1564;;;;
Республика Карелия;558;1157;1602;1776;1772;;;;
Республика Коми;1087;1275;1646;1861;2028;;;;
Архангельская область;448;1004;1104;1228;1385;;;;
в том числе: ;;;;;;;;;
Ненецкий автономный округ;254;3000;3252;3311;4278;;;;
Архангельская область без автономного округа;450;900;998;1123;1211;;;;
Вологодская область;249;902;1349;1530;1571;;;;
Калининградская область;333;1031;1042;1164;1153;;;;
Ленинградская область;432;881;1189;1139;1260;;;;
Мурманская область;742;1410;2237;2313;2308;;;;
Новгородская область;561;930;1265;1324;1434;;;;
Псковская область;366;958;1173;1344;1449;;;;
г. Санкт-Петербург;771;625;887;758;1017;;;;
Южный          федеральный округ;412;919;1184;1190;1227;;;;
Республика Адыгея;320;820;1088;1163;1410;;;;
Республика Калмыкия;439;531;1013;1014;1110;;;;
Республика Крым;;;98;196;259;;;;
Краснодарский край;300;799;1139;1270;1325;;;;
Астраханская область;429;900;1037;1378;1315;;;;
Волгоградская область;412;710;1005;1039;1070;;;;
Ростовская область;497;1116;1344;1206;1255;;;;
г. Севастополь;;;526;444;736;;;;
Северо-Кавказский федеральный округ;382;921;1281;1118;1396;;;;
Республика Дагестан;267;869;1078;472;1044;;;;
Республика Ингушетия;337;548;1305;1141;1385;;;;
Кабардино-Балкарская Республика;296;653;1341;1618;1680;;;;
Карачаево-Черкесская Республика;559;1178;1479;1422;1456;;;;
Республика Северная Осетия - Алания;510;914;2060;2048;1881;;;;
Чеченская Республика;…;945;1071;854;1061;;;;
Ставропольский край;616;1066;1450;1453;1433;;;;
Приволжский федеральный округ;507;719;951;1055;1121;;;;
Республика Башкортостан;451;718;1309;1471;1591;;;;
Республика Марий Эл;247;606;1054;1098;910;;;;
Республика Мордовия;625;871;1491;1581;1660;;;;
Республика Татарстан;569;390;629;673;760;;;;
Удмуртская Республика;444;912;1417;1516;1564;;;;
Чувашская Республика;580;752;861;974;1005;;;;
Пермский край;524;982;1124;1606;1381;;;;
Кировская область;535;1014;1637;1618;1702;;;;
Нижегородская область ;552;1011;1060;1311;1429;;;;
Оренбургская область;458;682;918;905;1051;;;;
Пензенская область;466;453;711;778;906;;;;
Самарская область;493;663;1441;1585;1643;;;;
Саратовская область;495;756;755;739;764;;;;
Ульяновская область;366;482;805;888;923;;;;
Уральский        федеральный округ;529;865;1189;1338;1366;;;;
Курганская область;601;656;1332;1404;1418;;;;
Свердловская область ;387;956;1157;1322;1402;;;;
Тюменская область;706;1303;1534;1757;1678;;;;
в том числе:;;;;;;;;;
Ханты-Мансийский автономный округ – Югра;1051;1525;1789;2057;1894;;;;
Ямало-Ненецкий автономный округ;1549;2576;2135;2303;2421;;;;
Тюменская область без автономных округов;337;552;1009;1186;1191;;;;
Челябинская область;462;616;1028;1149;1191;;;;
Сибирский     федеральный округ;565;831;1167;1236;1218;;;;
Республика Алтай;840;1306;985;986;1265;;;;
Республика Бурятия;1006;1524;2114;2193;2144;;;;
Республика Тыва;493;939;1230;1480;1369;;;;
Республика Хакасия;326;628;1139;1121;1122;;;;
Алтайский край;603;750;1141;1215;1244;;;;
Забайкальский край;336;820;1064;1184;1265;;;;
Красноярский край;744;954;1511;1486;1526;;;;
Иркутская область;425;744;1193;1250;1215;;;;
Кемеровская область;449;667;1328;1471;1462;;;;
Новосибирская область ;558;661;441;580;431;;;;
Омская область;282;653;1319;1272;1242;;;;
Томская область;413;1091;1240;1268;1317;;;;
Дальневосточный    федеральный округ;853;1528;1727;1868;1771;;;;
Республика Саха (Якутия);984;1301;2188;2424;2599;;;;
Камчатский край;1221;2888;2688;3202;2746;;;;
Приморский край;831;1184;1363;1299;1277;;;;
Хабаровский край ;506;1276;1332;1543;1597;;;;
Амурская область;889;1674;1871;2038;1925;;;;
Магаданская область;1268;1504;2453;2531;2615;;;;
Сахалинская область;1012;1628;1977;2042;1784;;;;
Еврейская автономная область;720;1259;1271;1369;806;;;;
Чукотский автономный округ;1537;2624;1814;2549;2308;;;;
