Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;
6. КУЛЬТУРА, ОТДЫХ И ТУРИЗМ;;;;;;;;
ДЕТСКИЕ ОЗДОРОВИТЕЛЬНЫЕ ЛАГЕРЯ;;;;;;;;
6.5.1. Число детских оздоровительных лагерей;;;;;;;;
;2005;2010;2012;2013;2014;2015;2016;2017
Российская Федерация;52834;50237;47880;46868;46228;45196;44467;43652
Центральный   федеральный округ;11541;10664;10161;9697;9426;9190;9134;9157
Белгородская область;996;867;830;832;835;819;832;824
Брянская область;641;637;578;572;534;529;457;456
Владимирская область;587;490;453;455;439;436;394;392
Воронежская область;1024;1023;926;990;1048;1023;1083;1022
Ивановская область;642;378;511;511;503;533;501;348
Калужская область;326;438;416;410;406;400;378;374
Костромская область;454;343;310;306;278;268;256;243
Курская область;505;345;312;309;308;320;323;325
Липецкая область;547;417;451;459;468;492;513;527
Московская область;707;825;875;868;892;935;917;1204
Орловская область;473;410;401;378;367;356;350;361
Рязанская область;317;376;321;336;321;364;384;387
Смоленская область;564;486;457;425;313;305;315;305
Тамбовская область;832;716;600;583;568;578;592;576
Тверская область;856;672;656;667;677;670;674;659
Тульская область;709;696;674;664;651;572;561;550
Ярославская область;597;592;601;595;559;546;489;497
г. Москва;764;953;789;337;259;44;115;107
Северо-Западный  федеральный округ;4246;3826;3783;3740;3596;3504;3479;3247
Республика Карелия;296;256;300;296;282;227;244;223
Республика Коми;626;508;499;525;469;460;459;409
Архангельская область;580;503;492;500;482;499;496;477
в том числе:;;;;;;;;
Ненецкий автономный округ;34;29;23;23;20;22;25;26
Архангельская область без автономного округа;;;;477;462;477;471;451
Вологодская область;781;680;548;530;524;529;507;503
Калининградская область;354;465;421;392;355;345;333;323
Ленинградская область;511;391;559;540;558;562;568;552
Мурманская область;169;172;132;124;115;110;112;100
Новгородская область;310;410;378;387;370;360;345;314
Псковская область;410;253;236;227;223;196;204;133
г. Санкт-Петербург;209;188;218;219;218;216;211;213
Южный          федеральный округ;2667;3452;3579;3544;3571;3609;3598;3614
Республика Адыгея;109;94;98;98;94;92;92;90
Республика Калмыкия;194;156;134;128;122;121;122;119
Республика Крым;;;;;…;217;213;268
Краснодарский край;832;1367;1333;1311;1401;1282;1329;1290
Астраханская область;298;283;359;306;297;245;246;241
Волгоградская область;601;582;723;755;726;722;695;707
Ростовская область;633;970;932;946;931;922;901;889
г. Севастополь;;;;;…;8;8;10
Северо-Кавказский    федеральный округ;1271;1319;1208;1211;1188;1114;1184;1107
Республика Дагестан;137;202;149;140;142;100;120;51
Республика Ингушетия ;3;3;14;45;42;46;63;62
Кабардино-Балкарская    Республика;231;244;72;64;58;55;48;40
Карачаево-Черкесская    Республика;82;97;112;109;105;103;101;100
Республика Северная Осетия – Алания;136;126;156;159;158;137;160;149
Чеченская Республика ;-;-;-;-;- ;-;1;3
Ставропольский край;682;647;705;694;683;673;691;702
Приволжский     федеральный округ;18247;15713;14255;14011;13801;13382;12916;13035
Республика Башкортостан;3790;3652;3351;3212;3071;2929;2814;2751
Республика Марий Эл;290;266;298;297;297;270;227;212
Республика Мордовия;449;423;462;438;430;423;403;406
Республика Татарстан;2095;1531;1321;1327;1370;1378;1321;1860
Удмуртская Республика;739;640;674;688;695;684;699;677
Чувашская Республика;847;905;498;531;508;451;434;400
Пермский край;2225;1684;1237;1174;1205;1214;1214;1177
Кировская область;1142;749;712;718;688;597;557;553
Нижегородская область ;1727;1718;1591;1580;1517;1580;1519;1469
Оренбургская область;1582;1198;1147;1148;1145;1118;1076;1035
Пензенская область;595;596;533;532;497;484;481;435
Самарская область;682;654;823;833;829;827;815;765
Саратовская область;1524;1044;1018;1027;1035;933;888;849
Ульяновская область;560;653;590;506;514;494;468;446
Уральский    федеральный округ;3614;3241;3741;3695;3670;3648;3696;3648
Курганская область;616;473;458;461;429;422;412;418
Свердловская область ;1105;1006;1252;1235;1197;1203;1211;1177
Тюменская область;992;1006;1206;1200;1238;1247;1287;1259
в том числе:;;;;;;;;
Ханты-Мансийский автономный округ – Югра;313;387;474;475;513;531;567;559
Ямало-Ненецкий автономный округ;46;58;98;90;95;98;95;95
Тюменская область    без автономных округов;;;;635;630;618;625;605
Челябинская область;901;756;825;799;806;776;786;794
Сибирский   федеральный округ;7842;8742;8320;8098;8129;7936;7601;7084
Республика Алтай;214;263;273;273;263;268;225;230
Республика Бурятия;515;632;610;575;582;562;576;530
Республика Тыва;365;331;220;222;213;217;225;195
Республика Хакасия;290;231;230;221;217;216;204;201
Алтайский край;1338;1468;1167;1144;1134;1101;1048;727
Забайкальский край;692;731;757;733;763;682;649;564
Красноярский край;658;913;899;913;912;898;887;883
Иркутская область;964;910;924;885;878;842;839;848
Кемеровская область;955;860;846;762;769;799;779;767
Новосибирская область ;1109;1019;1022;1014;995;999;985;963
Омская область;190;866;862;836;821;778;632;590
Томская область;552;518;510;520;582;574;552;586
Дальневосточный   федеральный округ;3406;3280;2833;2872;2847;2813;2851;2760
Республика Саха (Якутия);1031;935;694;714;687;710;759;696
Камчатский край;152;149;152;144;142;141;149;147
Приморский край;714;648;668;668;678;677;669;622
Хабаровский край ;642;725;466;478;517;514;486;486
Амурская область;369;347;338;352;325;265;261;261
Магаданская область;93;101;74;74;73;78;77;75
Сахалинская область;279;267;293;293;280;284;307;332
Еврейская автономная область;125;108;107;107;102;102;101;99
Чукотский автономный округ;1;-;41;42;43;42;42;42
