Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;
18. ИНФОРМАЦИОННЫЕ И КОММУНИКАЦИОННЫЕ ТЕХНОЛОГИИ;;;;;;;;;;;;;
ИСПОЛЬЗОВАНИЕ СЕТИ ИНТЕРНЕТ В ОРГАНИЗАЦИЯХ;;;;;;;;;;;;;
18.2.2. Организации, использовавшие широкополосный доступ к сети Интернет1);;;;;;;;;;;;;
(в процентах от общего числа обследованных организаций)  ;;;;;;;;;;;;;
;2010;2011;2012;2013;2014;2015;2016;2017;;;;;
Российская Федерация;56,7;63,4;76,6;79,4;81,2;79,5;81,8;83,2;;;;;
Центральный  федеральный округ;58,8;64,9;77,2;80,7;83,1;83,0;85,1;87,4;;;;;
Белгородская область;58,7;61,8;73,4;77,9;80,4;83,5;86,4;87,5;;;;;
Брянская область;44,3;51,5;63,3;70,2;74,5;79,5;86,1;87,4;;;;;
Владимирская область;65,9;72,8;85,1;86,7;87,5;89,4;88,6;87,8;;;;;
Воронежская область;53,3;56,8;70,7;77,2;82,4;83,0;82,9;88,4;;;;;
Ивановская область;51,9;61,8;78,1;81,6;84,4;76,5;84,6;86,7;;;;;
Калужская область;49,6;57,6;74,0;76,4;82,3;82,6;83,8;87,5;;;;;
Костромская область;42,4;56,5;69,9;73,9;73,7;68,7;72,5;78,0;;;;;
Курская область;34,7;45,7;60,1;64,7;74,0;74,2;76,6;78,8;;;;;
Липецкая область;54,6;58,7;73,2;79,9;80,9;82,3;87,6;91,9;;;;;
Московская область;68,4;72,9;85,8;87,1;86,3;86,2;83,5;86,4;;;;;
Орловская область;47,8;52,1;69,2;73,8;81,0;81,7;82,9;85,1;;;;;
Рязанская область;62,4;68,1;75,8;78,4;81,6;83,5;85,8;85,6;;;;;
Смоленская область;49,3;58,3;78,3;80,8;81,1;82,4;84,7;86,5;;;;;
Тамбовская область;37,3;49,3;63,3;69,1;72,2;77,9;88,9;94,6;;;;;
Тверская область;56,9;60,4;68,6;73,6;79,0;71,4;73,8;78,4;;;;;
Тульская область;51,8;60,8;73,5;77,2;80,4;79,6;83,2;82,4;;;;;
