Социально-экономические показатели по субъектам Российской Федерации;;;;;;;
21. ЦЕНЫ И ТАРИФЫ;;;;;;;
ДИНАМИКА ЦЕН В ПРОИЗВОДСТВЕННОМ СЕКТОРЕ;;;;;;;
ИНДЕКСЫ ЦЕН ПРОИЗВОДИТЕЛЕЙ ПРОМЫШЛЕННЫХ ТОВАРОВ ПО ВИДАМ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ 1);;;;;;;
"21.10.9. Водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений";;;;;;;
"(декабрь к декабрю предыдущего года; в процентах)";;;;;;;
;2016;2017;;;;;
Российская Федерация;109,1;110,1;;;;;
Центральный     федеральный округ;104,7;105,4;;;;;
Белгородская область;110,5;107,4;;;;;
Брянская область;112,3;102,1;;;;;
Владимирская область;109,0;111,4;;;;;
Воронежская область;91,2;103,4;;;;;
Ивановская область;…;…;;;;;
Калужская область;104,5;103,3;;;;;
Костромская область;105,9;103,8;;;;;
Курская область;103,5;102,1;;;;;
Липецкая область;106,2;104,2;;;;;
Московская область;103,1;103,3;;;;;
Орловская область;104,2;103,7;;;;;
Рязанская область;112,1;125,1;;;;;
Смоленская область;104,1;103,9;;;;;
Тамбовская область;102,2;103,3;;;;;
Тверская область;102,0;96,3;;;;;
Тульская область;110,4;108,0;;;;;
Ярославская область;106,9;103,5;;;;;
г. Москва;105,9;106,7;;;;;
Северо-Западный    федеральный округ;109,7;115,0;;;;;
Республика Карелия;104,8;117,6;;;;;
Республика Коми;100,6;104,5;;;;;
Архангельская область;109,4;123,1;;;;;
в том числе:;;;;;;;
Ненецкий автономный округ;…;…;;;;;
Архангельская область    без автономного округа;109,4;123,1;;;;;
Вологодская область;105,6;106,2;;;;;
Калининградская область;126,6;102,0;;;;;
Ленинградская область;104,3;97,7;;;;;
Мурманская область;112,8;105,4;;;;;
Новгородская область;;;;;;;
Псковская область;110,5;106,0;;;;;
г. Санкт-Петербург;111,2;111,2;;;;;
Южный             федеральный округ;106,9;109,7;;;;;
Республика Адыгея;104,0;102,9;;;;;
Республика Калмыкия;…;…;;;;;
Республика Крым;125,3;139,5;;;;;
Краснодарский край;108,3;118,1;;;;;
Астраханская область;…;…;;;;;
Волгоградская область;107,0;107,3;;;;;
Ростовская область;104,7;102,5;;;;;
г. Севастополь;…;…;;;;;
Северо-Кавказский         федеральный округ;104,6;103,6;;;;;
Республика Дагестан;103,5;102,9;;;;;
Республика Ингушетия ;…;…;;;;;
Кабардино-Балкарская Республика;105,0;100,0;;;;;
Карачаево-Черкесская Республика;103,6;102,0;;;;;
Республика Северная Осетия – Алания;…;…;;;;;
Чеченская Республика ;100,0;110,0;;;;;
Ставропольский край;105,3;103,9;;;;;
Приволжский     федеральный округ;109,6;107,1;;;;;
Республика Башкортостан;110,5;110,7;;;;;
Республика Марий Эл;104,1;103,2;;;;;
Республика Мордовия;106,9;103,5;;;;;
Республика Татарстан;103,7;102,7;;;;;
Удмуртская Республика;106,6;120,7;;;;;
Чувашская Республика;122,3;103,5;;;;;
Пермский край;101,7;104,1;;;;;
Кировская область;110,1;103,2;;;;;
Нижегородская область;107,5;114,0;;;;;
Оренбургская область;104,0;103,9;;;;;
Пензенская область;109,0;103,3;;;;;
Самарская область;116,8;105,8;;;;;
Саратовская область;106,0;103,9;;;;;
Ульяновская область;106,0;106,3;;;;;
Уральский       федеральный округ;104,8;106,5;;;;;
Курганская область;104,6;102,4;;;;;
Свердловская область;100,8;108,1;;;;;
Тюменская область;105,8;107,5;;;;;
в том числе:;;;;;;;
Ханты-Мансийский автономный     округ – Югра;105,7;108,4;;;;;
Ямало-Ненецкий автономный    округ;105,6;105,3;;;;;
Тюменская область      без автономных округов;105,8;109,1;;;;;
Челябинская область;108,6;104,1;;;;;
Сибирский     федеральный округ;110,3;106,3;;;;;
Республика Алтай   ;100,0;105,2;;;;;
Республика Бурятия;104,0;107,5;;;;;
Республика Тыва;109,9;118,2;;;;;
Республика Хакасия;106,4;107,4;;;;;
Алтайский край;108,7;104,1;;;;;
Забайкальский край;115,2;106,0;;;;;
Красноярский край;121,9;106,4;;;;;
Иркутская область;107,7;107,6;;;;;
Кемеровская область;107,0;106,1;;;;;
Новосибирская область;103,3;103,8;;;;;
Омская область;108,2;106,7;;;;;
Томская область;107,0;110,0;;;;;
Дальневосточный      федеральный округ;108,2;102,4;;;;;
Республика Саха (Якутия);119,5;102,3;;;;;
Камчатский край;114,5;100,0;;;;;
Приморский край;106,1;101,4;;;;;
Хабаровский край;104,0;107,6;;;;;
Амурская область;104,3;103,8;;;;;
Магаданская область;113,1;91,4;;;;;
Сахалинская область;108,7;86,2;;;;;
Еврейская автономная область;105,3;106,0;;;;;
Чукотский автономный округ;…;…;;;;;
?????;;;;;;;
1)  В соответствии с ОКВЭД2. На товары, предназначенные для реализации на внутреннем рынке. ;;;;;;;
