Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;
14. СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, РЫБОЛОВСТВО И РЫБОВОДСТВО;;;;;;;;;
СЕЛЬСКОЕ ХОЗЯЙСТВО;;;;;;;;;
Растениеводство;;;;;;;;;
14.15. ВАЛОВОЙ СБОР СЕМЯН ПОДСОЛНЕЧНИКА (в весе после доработки)1);;;;;;;;;
"(в хозяйствах всех категорий; тысяч тонн)";;;;;;;;;
;20052);2010;2011;2012;2013;2014;2015;2016;2017
Республика Хакасия;;0,6;0,5;0,3;…3);0,4;-;…3);0,5
Алтайский край;159,2;227,6;240,3;229,4;381,2;195,5;356,8;513,0;560,7
Забайкальский край;-;0,0;0,0;0,0;0,0;0,0;0,0;-;0,0
Красноярский край;0,3;0,2;0,3;0,3;0,1;0,0;0,2;0,7;0,4
Иркутская область;-;-;-;-;-;-;-;-;-
Кемеровская область;0,1;0,1;0,1;0,4;0,2;0,5;0,0;0,5;0,2
Новосибирская область;11,0;7,8;6,8;4,7;9,6;3,8;4,3;7,3;10,1
Омская область;32,2;14,8;19,3;17,4;51,3;33,6;34,6;68,1;58,1
Томская область;-;-;-;-;-;-;-;-;-
Дальневосточный федеральный округ;0,1;0,1;0,1;0,1;1,6;0,0;0,0;0,0;0,0
Республика Саха (Якутия);-;-;-;-;-;-;-;-;-
Камчатский край;-;-;-;-;-;-;-;-;-
Приморский край;0,1;0,1;0,1;0,1;1,5;0,0;0,0;0,0;0,0
Хабаровский край;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Амурская область;0,0;0,0;0,0;0,0;0,1;0,0;0,0;0,0;0,0
Магаданская область;-;-;-;-;-;-;-;-;-
Сахалинская область;-;-;-;-;-;-;-;-;-
Еврейская автономная область;-;-;-;-;-;-;-;-;-
Чукотский автономный округ;-;-;-;-;-;-;-;-;-
?????;;;;;;;;;
1)Данные за 2010-2017 гг. приведены с учетом итогов Всероссийской сельскохозяйственной переписи 2016 г.;;;;;;;;;
2) 2005 г. – в первоначально оприходованном весе. ;;;;;;;;;
3).Данные не публикуются в целях обеспечения конфиденциальности первичных статистических данных, полученных от организаций, в соответствии с Федеральным законом от 29.11.2007 г. № 282-ФЗ «Об официальном статистическом учете и системе государственной статистики в Российской Федерации» (п.5 ст.4, ч.1 ст.9).;;;;;;;;;
