Социально-экономические показатели по субъектам Российской Федерации;;;;;;;
 3. УРОВЕНЬ ЖИЗНИ НАСЕЛЕНИЯ;;;;;;;
ДЕНЕЖНЫЕ ДОХОДЫ НАСЕЛЕНИЯ;;;;;;;
3.10. ВЕЛИЧИНА ПРОЖИТОЧНОГО МИНИМУМА, УСТАНОВЛЕННАЯ В СУБЪЕКТАХ РОССИЙСКОЙ ФЕДЕРАЦИИ  ;;;;;;;
"( за  IV квартал; в среднем на душу населения; рублей в месяц)";;;;;;;
;2013;2014;2015;2016;2017;;
Российская Федерация;7326;8234;9452;9691;9786;;
Центральный    федеральный округ;;;;;;;
Белгородская область;6106;6842;7918;8099;8281;;
Брянская область;6543;7565;8723;8971;9279;;
Владимирская область;6989;7954;8908;9092;9104;;
Воронежская область;6043;7026;7884;8121;8034;;
Ивановская область;7036;8170;9041;9373;9488;;
Калужская область;6682;7704;8958;9349;9601;;
Костромская область;6916;7666;8742;9195;9291;;
Курская область;5925;6754;7916;8258;8476;;
Липецкая область;6215;7062;8008;8313;8313;;
Московская область;8072;9150;10460;11021;11365;;
Орловская область;6443;7334;8419;8739;8932;;
Рязанская область;6677;7172;8450;8658;8898;;
Смоленская область;7663;8695;9918;10074;9664;;
Тамбовская область;5230;6850;7834;8268;8214;;
Тверская область;7121;8282;9427;9590;9665;;
Тульская область;6740;7579;8626;9035;9065;;
Ярославская область;6500;7300;8315;8903;8994;;
г. Москва;10965;12542;14413;15092;15397;;
Северо-Западный    федеральный округ;;;;;;;
Республика Карелия;8531;9682;11569;12007;12203;;
Республика Коми;9496;10817;12069;12128;12539;;
Архангельская область2);;;;;;;
в том числе:;;;;;;;
Ненецкий автономный округ;15517;16593;18711;19120;20622;;
Архангельская область    без автономного округа;10243;11323;12880;10944;11380;;
Вологодская область;7474;8578;9678;9980;10234;;
Калининградская область;7026;8021;9630;9948;10343;;
Ленинградская область;6524;6984;8722;9211;9628;;
Мурманская область;10113;11627;13582;13562;13787;;
Новгородская область;7166;7915;9221;9751;9886;;
Псковская область;7337;8518;10008;10417;10184;;
г. Санкт-Петербург;7072;8479;10043;10526;10792;;
Южный          федеральный округ;;;;;;;
Республика Адыгея;6282;7164;8211;8521;8579;;
Республика Калмыкия;6823;7750;7934;8372;8551;;
Республика Крым;;6573;9361;9502;9126;;
Краснодарский край;7155;8027;9261;9603;9925;;
Астраханская область;6271;7120;8236;8730;9040;;
Волгоградская область;6676;7901;8669;8794;8720;;
Ростовская область;6988;7967;9109;9414;9262;;
г. Севастополь;;6356;9237;9713;9713;;
Северо-Кавказский    федеральный округ;;;;;;;
Республика Дагестан;6791;7453;8658;9076;9239;;
Республика Ингушетия;6803;7396;8567;8881;9111;;
Кабардино-Балкарская Республика;6573;7357;9366;10183;10140;;
Карачаево-Черкесская Республика;6625;7339;8530;8815;8719;;
Республика Северная  Осетия-Алания;6496;7284;8578;8896;8742;;
Чеченская Республика;6301;6771;8508;8724;9995;;
Ставропольский край;6543;7154;8027;8148;8248;;
Приволжский    федеральный округ;;;;;;;
Республика Башкортостан;6446;7234;8328;8323;8318;;
Республика Марий Эл;6198;7201;8428;8682;8742;;
Республика Мордовия;6260;6997;7863;7776;7824;;
Республика Татарстан;6278;6988;7775;8108;8334;;
Удмуртская Республика;6375;7324;8473;8594;8453;;
Чувашская Республика;6049;6988;8071;8346;8236;;
Пермский край;7361;8185;9582;9594;10098;;
Кировская область;6905;7641;9276;9276;9627;;
Нижегородская область;6488;7454;8382;8639;8739;;
Оренбургская область;6131;6971;8053;8242;8234;;
Пензенская область;6057;6839;8120;8398;8326;;
Самарская область;7482;7954;8873;9664;9400;;
Саратовская  область;6126;6932;7986;8168;8222;;
Ульяновская область;6472;7298;8528;8826;9062;;
Уральский       федеральный округ;;;;;;;
Курганская область;6509;7605;8793;9142;9220;;
Свердловская область;7238;8025;9670;9973;10031;;
Тюменская область2);;;;;;;
в том числе:;;;;;;;
Ханты-Мансийский автономный    округ - Югра;10818;12135;14350;14556;14135;;
Ямало-Ненецкий автономный округ;12496;14241;15752;15973;15946;;
Тюменская область без автономных округов;7716;8470;9692;9855;10197;;
Челябинская область;6936;7944;9038;8984;8962;;
Сибирский            федеральный округ;;;;;;;
Республика Алтай;6924;8175;9260;9353;9405;;
Республика Бурятия;7301;8263;9259;9247;9563;;
Республика Тыва;8137;8624;9564;9775;9342;;
Республика Хакасия;7101;8006;8905;8958;9133;;
Алтайский край;6561;7580;8785;8708;8657;;
Забайкальский край ;7670;8636;10162;10208;10590;;
Красноярский край;8249;9186;10598;10821;11043;;
Иркутская область;7768;8629;9814;9862;9825;;
Кемеровская область;6682;7569;8566;8748;8879;;
Новосибирская  область;7764;8945;10117;10225;10316;;
Омская область;6302;7253;8338;8442;8464;;
Томская область;7765;8691;10387;10262;10379;;
Дальневосточный     федеральный округ;;;;;;;
Республика Саха (Якутия);11923;13332;15515;16080;16610;;
Камчатский край;14384;15786;18427;19451;19220;;
Приморский край;9649;10683;12535;12456;12158;;
Хабаровский край;10182;11495;13427;12910;12954;;
Амурская область;9251;9539;11555;11374;11203;;
Магаданская область;14084;15415;17469;17764;17635;;
Сахалинская область;11083;12213;13533;13728;13329;;
Еврейская автономная область;9532;10670;12228;12574;12161;;
Чукотский автономный округ;14766;13571;16845;17775;20149;;
??????;;;;;;;
1) Величина прожиточного минимума органами исполнительной власти не устанавливается.;;;;;;;
