Социально-экономические показатели по субъектам Российской Федерации;;;
14. СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, РЫБОЛОВСТВО И РЫБОВОДСТВО;;;
ЛЕСНОЕ ХОЗЯЙСТВО;;;
ЛЕСНЫЕ РЕСУРСЫ;;;
14.37.1. Площадь земель лесного фонда и земель иных категорий, на которых расположены леса1);;;
"(по данным учета на конец года; тыс. га)";;;
;2015;2016;2017
Российская Федерация;1184101;1184319;1184451
Центральный    федеральный округ;24631;24636;24665
Белгородская область;248;248;248
Брянская область;1237;1237;1237
Владимирская область;1630;1630;1630
Воронежская область;503;506;506
Ивановская область;1091;1091;1091
Калужская область;1409;1408;1408
Костромская область;4707;4707;4707
Курская область;270;270;270
Липецкая область;201;209;221
Московская область;2106;2115;2116
Орловская область;209;209;209
Рязанская область;1110;1110;1107
Смоленская область;2187;2187;2187
Тамбовская область;403;402;403
Тверская область;5102;5087;5104
Тульская область;386;387;387
Ярославская область;1832;1832;1834
Северо-Западный    федеральный округ;118288;118313;118323
Республика Карелия;14907;14908;14912
Республика Коми;38922;38927;38927
Архангельская область;29759;29774;29779
в том числе:;;;
Ненецкий автономный округ;447;447;447
Архангельская область    без автономного округа;29313;29327;29332
Вологодская область;11676;11658;11657
Калининградская область;327;327;327
Ленинградская область;6038;6038;6038
Мурманская область;10021;10021;10021
Новгородская область;4125;4127;4127
Псковская область;2490;2511;2510
г. Санкт-Петербург;23;23;23
Южный        федеральный округ;3759;3772;3793
Республика Адыгея;337;337;337
Республика Калмыкия;55;55;55
Республика Крым;300;312;334
Краснодарский край;1683;1683;1683
Астраханская область;278;278;278
Волгоградская область;697;698;697
Ростовская область;374;375;375
г. Севастополь;34;34;34
Северо-Кавказский федеральный округ;2194;2213;2212
Республика Дагестан;529;529;528
Республика Ингушетия ;84;84;84
Кабардино-Балкарская Республика;323;340;340
Карачаево-Черкесская Республика;521;523;523
Республика Северная Осетия – Алания;241;241;241
Чеченская Республика ;367;367;367
Ставропольский край;130;130;130
Приволжский федеральный округ;41277;41281;41290
Республика Башкортостан;6303;6307;6308
Республика Марий Эл;1422;1422;1423
Республика Мордовия;750;750;750
Республика Татарстан;1271;1271;1271
Удмуртская Республика;2065;2065;2066
Чувашская Республика;632;632;632
Пермский край;12420;12419;12419
Кировская область;8144;8144;8144
Нижегородская область;4009;4009;4009
Оренбургская область;722;722;722
Пензенская область;999;999;999
Самарская область;757;757;765
Саратовская область;736;736;735
Ульяновская область;1047;1047;1047
Уральский         федеральный округ;115239;115250;115242
Курганская область;1900;1900;1900
Свердловская область;16044;16055;16048
Тюменская область;94317;94317;94316
в том числе:;;;
Ханты-Мансийский автономный округ – Югра;50406;50406;50405
Ямало-Ненецкий автономный округ;32324;32324;32324
Тюменская область без автономных округов;11587;11587;11587
Челябинская область;2979;2979;2979
Сибирский федеральный округ;372898;373015;373061
Республика Алтай;6093;6093;6093
Республика Бурятия;29641;29774;29806
Республика Тыва;11371;11371;11371
Республика Хакасия;4023;4023;4023
Алтайский край;4510;4510;4510
Забайкальский край;34066;34066;34066
Красноярский край;163946;163954;163954
Иркутская область;71459;71458;71464
Кемеровская область;6335;6336;6336
Новосибирская область;6654;6670;6677
Омская область;5942;5963;5963
Томская область;28857;28799;28799
Дальневосточный федеральный округ;505815;505839;505864
Республика Саха (Якутия);256107;256107;256106
Камчатский край;46080;46080;46080
Приморский край;13298;13299;13299
Хабаровский край;75624;75624;75650
Амурская область;31733;31733;31733
Магаданская область;45600;45600;45600
Сахалинская область;7383;7407;7406
Еврейская автономная область;2256;2256;2256
Чукотский автономный округ;27734;27734;27734
?????;;;
1)  По данным Рослесхоза.;;;
