Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;
 1. НАСЕЛЕНИЕ;;;;;;;;;
1.12. СМЕРТНОСТЬ НАСЕЛЕНИЯ (БЕЗ ПОКАЗАТЕЛЯ СМЕРТНОСТИ ОТ ВНЕШНИХ ПРИЧИН)1);;;;;;;;;
(число умерших на 100 000 человек населения);;;;;;;;;
;2011;2012;2013;2014;2015;2016;2017;;
Свердловская область;1244,9;1229,5;1213,6;1239,5;1259,1;1254,4;1204,1;;
Тюменская область;726,6;717,4;702,6;717,8;725,8;716,7;694,7;;
в том числе:;;;;;;;;;
Ханты-Мансийский автономный округ – Югра;543,3;533,3;530,4;546,3;555,2;545,3;543,5;;
Ямало-Ненецкий автономный округ;418,3;416,8;402,9;403,1;417,9;412,5;389,7;;
Тюменская область без автономных округов;1057,5;1046,1;1014,5;1031,4;1032,0;1019,0;972,7;;
Челябинская область;1256,6;1253,6;1231,9;1214,2;1229,5;1219,8;1175,7;;
Сибирский    федеральный округ;1190,1;1185,4;1157,1;1158,3;1166,4;1159,8;1142,4;;
Республика Алтай   ;973,6;898,8;917,6;888,7;888,4;851,5;829,3;;
Республика Бурятия;1019,4;1005,5;964,1;945,8;956,8;958,8;909,5;;
Республика Тыва;775,4;789,3;765,6;789,1;746,4;720,9;653,5;;
Республика Хакасия;1154,4;1144,8;1134,7;1128,9;1177,2;1128,8;1115,7;;
Алтайский край;1294,6;1309,1;1274,4;1284,8;1282,7;1287,3;1292,0;;
Забайкальский край;1079,6;1074,2;1036,3;1040,1;1092,5;1057,6;1011,1;;
Красноярский край;1126,8;1121,5;1104,6;1101,1;1107,5;1096,6;1090,5;;
Иркутская область;1204,4;1199,3;1172,9;1192,6;1202,9;1189,9;1143,9;;
Кемеровская область;1327,1;1303,0;1257,1;1270,5;1283,4;1281,6;1277,2;;
Новосибирская область;1218,9;1214,2;1206,3;1187,1;1180,3;1187,6;1180,0;;
Омская область;1212,1;1228,9;1183,9;1184,8;1202,0;1202,9;1175,9;;
Томская область;1071,6;1058,8;1038,4;1032,9;1026,2;1015,0;1019,8;;
Дальневосточный    федеральный округ;1150,4;1123,0;1090,4;1091,2;1100,3;1104,9;1076,5;;
Республика Саха (Якутия);757,7;761,8;713,8;703,8;706,7;702,3;681,3;;
Камчатский край;1059,8;1019,8;998,7;1024,3;1020,9;1020,5;977,7;;
Приморский край;1241,8;1214,0;1193,7;1193,4;1210,2;1237,4;1211,9;;
Хабаровский край;1257,2;1180,5;1170,7;1161,9;1177,4;1166,4;1162,8;;
Амурская область;1238,3;1237,4;1177,6;1172,3;1168,5;1171,7;1156,6;;
Магаданская область;1118,9;1102,2;1013,6;1012,1;1011,5;956,5;994,9;;
Сахалинская область;1161,9;1161,7;1103,5;1123,1;1143,2;1151,2;1043,6;;
Еврейская автономная область;1285,9;1272,3;1251,1;1326,1;1338,2;1337,4;1193,7;;
Чукотский автономный округ;872,4;886,3;838,8;890,3;788,5;780,2;705,8;;
?????;;;;;;;;;
1) Статистическое наблюдение осуществляется с 2011 года.;;;;;;;;;
;;;;;;;;;
