Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;
7. ПРАВОНАРУШЕНИЯ;;;;;;;;;;
7.1. ЧИСЛО ЗАРЕГИСТРИРОВАННЫХ ПРЕСТУПЛЕНИЙ на 100 000 человек населения;;;;;;;;;;
;2005;2010;2011;2012;2013;2014;2015;2016;2017;
Российская Федерация;2477;1840;1682;1608;1537;1499;1631;1473;1402;
Центральный  федеральный округ;2048;1566;1465;1420;1358;1332;1426;1290;1179;
Белгородская область;1670;1099;1036;968;968;925;1019;884;821;
Брянская область;2321;1833;1533;1488;1527;1382;1409;1293;1188;
Владимирская область;2471;1775;1659;1525;1315;1334;1523;1373;1319;
Воронежская область;1854;1177;1158;1188;1306;1448;1685;1472;1395;
Ивановская область;2377;1771;1628;1517;1387;1430;1465;1403;1565;
Калужская область;2541;1776;1496;1468;1565;1668;1804;1600;1741;
Костромская область;2466;1480;1394;1265;1164;1221;1427;1351;1371;
Курская область;2208;1620;1504;1347;1180;1185;1271;1087;1060;
Липецкая область;1554;1385;1315;1158;1143;1064;1245;1070;1100;
Московская область;1722;1620;1647;1562;1511;1268;1226;1198;1130;
Орловская область;2282;1730;1610;1699;1580;1522;1542;1230;1178;
Рязанская область;1450;916;845;832;849;848;915;844;849;
Смоленская область;2779;2116;1856;1737;1519;1423;1431;1431;1367;
Тамбовская область;2002;1260;1247;1087;1093;1077;1253;1165;1110;
Тверская область;2850;2202;2150;1905;1515;1537;1750;1614;1554;
Тульская область;1261;1023;949;901;823;809;874;799;839;
Ярославская область;3420;1673;1454;1359;1210;1220;1711;1447;1409;
г. Москва;2014;1622;1469;1512;1453;1505;1592;1407;1126;
Северо-Западный федеральный округ;2371;1713;1607;1502;1458;1474;1645;1432;1357;
Республика Карелия;2257;2129;2224;1799;1744;1998;2487;2142;1808;
Республика Коми;3191;2176;1928;1986;2249;2388;2780;2231;2038;
Архангельская область;2425;2022;2033;1903;1770;1661;1964;1774;1721;
в том числе:;;;;;;;;;;
Ненецкий автономный округ;2131;2038;1826;1471;1191;1516;1926;1739;1772;
Архангельская область без автономного округа;2435;2021;2040;1919;1792;1666;1966;1776;1719;
Вологодская область;2997;2027;2108;1990;2045;2052;2458;2169;1736;
Калинингpадская область;2407;1792;1609;1582;1514;1612;1697;1348;1740;
Ленинградская область;2144;1658;1429;1190;1146;1102;1143;982;1021;
Мурманская область;2152;2113;2019;1834;1716;1676;2428;1982;1690;
Новгородская область;2298;1841;1773;2018;1897;2066;2117;1952;1822;
Псковская область;2546;1820;1689;1567;1410;1358;1687;1474;1295;
г. Санкт-Петербург;2135;1323;1204;1131;1085;1094;1084;996;981;
Южный              федеральный округ;1715;1480;1397;1339;1271;1268;1457;1335;1300;
Республика Адыгея;1363;1063;1035;919;888;903;1101;1025;885;
Республика Калмыкия;1861;1401;1320;1311;1220;1029;1135;1060;1095;
Республика Крым;;;;;;968;1464;1244;1135;
Краснодарский край;1239;1260;1262;1243;1195;1270;1369;1290;1211;
Астраханская область;2828;2574;2241;2045;1704;1551;1448;1364;1319;
Волгоградская область;2046;1731;1538;1512;1417;1421;1634;1525;1577;
Ростовская область;1844;1386;1319;1232;1219;1274;1469;1363;1399;
г. Севастополь;;;;;;1476;2030;1350;1123;
Северо-Кавказский федеральный округ;1028;798;764;774;748;724;784;758;712;
Республика Дагестан;511;403;429;464;474;464;504;522;478;
Республика Ингушетия;391;466;458;410;391;354;369;376;332;
Кабардино-Балкарская Республика;1065;1084;964;1024;1009;917;1004;889;778;
Карачаево-Черкесская Республика;1394;916;832;777;766;729;865;753;869;
Республика Северная Осетия – Алания;968;987;931;886;857;848;955;1000;1017;
Чеченская Республика;595;363;330;298;272;258;248;265;277;
Ставропольский край;1752;1299;1246;1276;1212;1197;1295;1225;1132;
Приволжский федеральный округ;2654;1850;1643;1567;1403;1352;1519;1367;1325;
Республика Башкортостан;2182;1776;1683;1610;1288;1305;1742;1606;1500;
Республика Марий Эл;3077;1782;1562;1373;1196;1078;1218;1053;1076;
Республика Мордовия;1965;1019;937;950;1031;1099;1137;1052;987;
Республика Татарстан;2450;1552;1458;1353;1202;1164;1349;1242;1185;
Удмуртская Республика;3494;2149;1841;1803;1779;1771;1947;1728;1596;
Чувашская Республика;2643;1454;1441;1328;1140;1112;1268;1119;1037;
Пермский край;4531;2780;2218;2441;2150;1969;2209;1902;1674;
Кировская область;2741;1599;1521;1604;1656;1692;1986;1680;1642;
Нижегородская область;2838;2431;1987;1676;1435;1177;1261;1237;1300;
Оренбургская область;2425;1692;1530;1417;1348;1377;1540;1367;1372;
