Карачаево-Черкесская Республика;…;18000;18206;20720;26898;40157;40714;41223;38649
Республика Северная Осетия – Алания;…;28245;28630;31084;33521;36088;36216;36213;35669
Чеченская Республика;…;32251;37206;39920;41286;42185;45623;45967;46623
Ставропольский край;15787;30931;29606;29091;31018;32909;35695;33315;34568
Приволжский        федеральный округ;17852;36642;35676;41295;43094;45764;45800;43413;44527
Республика Башкортостан;22505;36811;38238;42352;49558;52818;51587;51474;52248
Республика Марий Эл;14546;36348;37314;39864;40629;42238;39713;40898;36711
Республика Мордовия;15143;31681;35020;45716;43990;48044;44902;42342;41262
Республика Татарстан;15319;34315;35750;45442;45223;49478;54874;52816;55906
Удмуртская Республика;21722;33094;35603;38797;41272;45113;45536;44218;44836
Чувашская Республика;16246;29438;34740;39588;40713;42594;42940;38021;39744
Пермский край;19408;40312;44834;46708;49027;51729;53072;46724;49920
Кировская область;19210;31386;31741;40171;41450;42079;41715;40242;37999
Нижегородская область ;24181;47062;45972;50535;53230;60234;63559;60522;59711
Оренбургская область;15116;34883;34062;37694;38823;40195;39444;37529;37787
Пензенская область;14643;30357;31428;37625;38595;41690;43689;37992;39251
Самарская область;15744;43220;36405;38793;42784;40411;43435;41748;44274
Саратовская область;15921;31679;34206;36909;41369;42263;41303;40093;40745
Ульяновская область;13025;33330;33030;35213;36148;37998;38839;38170;37839
Уральский       федеральный округ;23410;43556;41509;46685;50091;54541;51821;48868;50284
Курганская область;…;29167;33597;37512;39377;38773;37034;38450;35158
Свердловская область ;25014;51341;42011;57220;56316;59989;58216;57225;58832
Тюменская область;22800;44306;45111;47867;49667;56562;53085;50570;50173
в том числе:;;;;;;;;;
Ханты-Мансийский     автономный округ – Югра;23082;50073;46835;55534;53830;61122;55309;53652;53638
Ямало-Ненецкий автономный   округ;…;53294;64730;60202;62289;75996;68346;64919;67251
Тюменская область    без автономных округов;;;;;46906;52738;52666;49415;49668
Челябинская область;22886;31375;32332;33957;39493;40100;37542;35227;34882
Сибирский      федеральный округ;21210;35790;39735;42964;44689;47450;47018;45206;45240
Республика Алтай;23282;34758;33157;35341;36219;37658;39708;37250;37762
Республика Бурятия;18907;28933;32797;41496;40341;41687;39902;38059;39453
Республика Тыва;…;33175;35250;38855;42694;46474;43963;43270;41625
Республика Хакасия;17391;28718;32018;35028;38614;39984;40088;39012;40498
Алтайский край;17582;33386;32237;35508;40335;42772;44135;45478;40877
Забайкальский край;15000;32425;37807;42239;43944;49106;53331;47858;48347
Красноярский край;21077;40491;43906;50047;53769;56371;52729;49409;50990
Иркутская область;24778;39420;45218;48347;54979;49671;48922;49565;50713
Кемеровская область;24766;35641;36219;39091;39588;38721;39253;39000;39881
Новосибирская область ;27440;38263;34129;38969;42437;50225;46573;48554;49385
Омская область;16420;31271;32702;36803;39532;41628;43162;41982;40682
Томская область;19920;34084;38471;41327;43151;45624;45226;46976;45872
Дальневосточный     федеральный округ;26356;48028;44906;54654;58950;62140;64777;66430;67191
Республика Саха (Якутия);24160;48481;47477;50344;55244;68488;71608;70554;65313
Камчатский край;26300;44949;45506;45862;44259;65046;70621;76261;76213
Приморский край;30405;50665;40330;43228;52544;54597;63158;70864;75307
Хабаровский край;29919;48786;50454;62593;69436;69239;60751;60860;60343
Амурская область;22814;46162;48065;57562;63071;63539;57055;53531;51722
Магаданская область;…;34851;…;50000;48005;67907;55000;52941;49605
Сахалинская область;…;64500;57990;65928;68531;77983;89338;77642;73983
Еврейская автономная область;11750;23615;28869;33349;36464;37546;41183;38507;36720
Чукотский автономный округ;…;…;…;…;…;…;…;…;…
______;;;;;;;;;
1) В отдельных субъектах Российской Федерации организации, осуществляющие операции с недвижимостью, отсутствуют или оказывают юридические услуги.;;;;;;;;;
2)  Данные за 2014-2016 гг. приведены без учета сведений по Республике Крым и г. Севастополю.;;;;;;;;;
