Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;
10. ВАЛОВОЙ РЕГИОНАЛЬНЫЙ ПРОДУКТ;;;;;;;;;;;;;;;;;
9.5. ФАКТИЧЕСКОЕ КОНЕЧНОЕ ПОТРЕБЛЕНИЕ ДОМАШНИХ ХОЗЯЙСТВ на душу населения НА ТЕРРИТОРИИ СУБЪЕКТОВ РОССИЙСКОЙ ФЕДЕРАЦИИ;;;;;;;;;;;;;;;;;
"(в текущих рыночных ценах; рублей)";;;;;;;;;;;;;;;;;
;2005;2010;2011;2012;2013;2014;2015;2016;;;;;;;;;
Фактическое конечное потребление домашних хозяйств на территории субъектов Российской Федерации – всего ;79943,6;183266,0;214198,8;239431,0;262905,5;285155,0;297457,8;307537,8;;;;;;;;;
Центральный      федеральный округ;106512,6;231720,5;272939,7;303315,1;328994,4;361137,1;376545,9;392651,4;;;;;;;;;
Белгородская область;48000,4;138080,2;162899,2;187480,0;212284,4;235034,3;252515,9;269770,2;;;;;;;;;
Брянская область;49910,6;133410,0;157431,6;174635,2;196102,0;219049,1;241381,1;246386,5;;;;;;;;;
Владимирская область;41854,3;118139,8;141264,1;167704,6;186492,6;206155,9;221325,6;231942,5;;;;;;;;;
Воронежская область;55782,6;141122,9;184014,9;217257,5;246803,2;275803,0;301616,9;317706,8;;;;;;;;;
Ивановская область;38875,4;110802,5;135332,2;163989,1;179633,7;202684,3;211885,6;212656,5;;;;;;;;;
Калужская область;60643,6;153150,5;182841,9;207729,8;224760,3;244943,8;256300,4;266714,2;;;;;;;;;
Костромская область;48204,8;124055,9;143585,7;156000,4;172991,3;188504,9;209989,7;223337,5;;;;;;;;;
Курская область;53110,5;136200,2;163161,9;183905,7;202256,4;222420,3;243363,7;252586,5;;;;;;;;;
Липецкая область;57862,6;147466,2;180922,7;203048,8;227249,9;252959,4;277728,1;290922,0;;;;;;;;;
Московская область;82661,6;215140,0;251783,4;285508,8;294493,5;330267,9;350517,7;379077,3;;;;;;;;;
Орловская область;53955,6;124830,7;147081,0;163784,4;183807,5;200482,9;225356,3;232966,1;;;;;;;;;
Рязанская область;51503,8;131734,6;151455,9;171965,8;190801,0;210212,3;225229,6;229353,0;;;;;;;;;
Смоленская область;58907,5;143955,9;163541,1;180761,4;199486,2;218787,0;235472,9;235700,5;;;;;;;;;
Тамбовская область;52997,5;132774,3;156694,3;176221,4;199392,5;225271,7;245019,9;259381,8;;;;;;;;;
Тверская область;64397,8;140739,1;162266,9;183322,5;201336,2;221727,4;235847,0;242484,2;;;;;;;;;
Тульская область;51290,2;143886,5;164984,8;183665,8;202574,2;224838,8;245687,2;257566,9;;;;;;;;;
Ярославская область;56027,3;135347,8;163202,8;183609,0;204913,3;229466,1;246047,3;252412,4;;;;;;;;;
г. Москва;223116,2;408637,8;475418,8;509940,7;550109,4;593266,8;597746,3;614143,2;;;;;;;;;
Северо-Западный     федеральный округ;84479,5;194245,3;223011,1;247911,9;269219,4;291454,6;314954,1;333830,4;;;;;;;;;
Республика Карелия;69749,0;157050,4;187187,8;210230,6;231998,5;251920,3;269546,5;279740,2;;;;;;;;;
Республика Коми;103308,3;194705,3;227980,9;253652,5;276194,1;295956,2;294007,7;290680,7;;;;;;;;;
