Социально-экономические показатели по субъектам Российской Федерации;;;;;
14. СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, РЫБОЛОВСТВО И РЫБОВОДСТВО;;;;;
СЕЛЬСКОЕ ХОЗЯЙСТВО;;;;;
Основные показатели сельского хозяйства;;;;;
14.1. ПРОДУКЦИЯ СЕЛЬСКОГО ХОЗЯЙСТВА1);;;;;
"(в хозяйствах всех категорий; в фактически действовавших ценах; миллионов рублей)";;;;;
;2005;2015;2016;2017;
Российская Федерация;1380961;4801915;5119182;5119844;
Центральный федеральный округ;292952;1266538;1308459;1304767;
Белгородская область;32691;218385;226056;227267;
Брянская область;13494;71096;78437;84470;
Владимирская область;12531;31290;30835;28987;
Воронежская область;31669;193087;199325;193876;
Ивановская область;6335;14973;14987;14910;
Калужская область;10942;33043;33458;38538;
Костромская область;8082;18369;17090;15993;
Курская область;21925;113846;124357;130891;
Липецкая область;20092;98051;106325;101596;
Московская область;42350;96830;98372;87551;
Орловская область;14730;61914;68568;60430;
Рязанская область;14543;52628;51048;52261;
Смоленская область;9455;21026;21243;22827;
Тамбовская область;18450;118712;108896;111332;
Тверская область;10155;30432;32882;34891;
Тульская область;15329;51988;56294;58399;
Ярославская область;10179;31955;31852;32031;
г. Москва;;8915;8432;8517;
Северо-Западный федеральный округ;73976;227797;226571;226439;
Республика Карелия;2683;5073;4484;4153;
Республика Коми;3973;10395;10613;9923;
Архангельская область;5251;12100;12499;11016;
в том числе: ;;;;;
Ненецкий автономный округ;282;1024;850;665;
Архангельская область без автономного округа;;11076;11649;10351;
Вологодская область;14166;26990;28888;26755;
Калининградская область;7505;31046;29659;32487;
Ленинградская область;25752;90254;82947;83950;
Мурманская область;1441;1983;1615;1781;
Новгородская область;6035;25077;27182;24883;
Псковская область;7171;24881;28683;31491;
Южный        федеральный округ;208111;811830;899153;892457;
Республика Адыгея;4228;19538;19821;21613;
Республика Калмыкия;4445;22714;26735;27084;
Республика Крым;;50111;52880;47290;
Краснодарский край;97106;340788;370983;364531;
Астраханская область;7893;36236;37316;41221;
Волгоградская область;32959;121139;136372;133813;
Ростовская область;61481;219287;252777;254432;
г. Севастополь;;2016;2269;2474;
Северо-Кавказский федеральный округ;104073;385604;429233;437939;
Республика Дагестан;25197;95017;109270;119984;
Республика Ингушетия ;1958;6885;8518;9031;
Кабардино-Балкарская Республика;13581;37857;42348;45570;
Карачаево-Черкесская Республика;6633;25931;26678;27469;
Республика Северная Осетия – Алания;7639;22940;21839;21927;
Чеченская Республика ;4552;17530;21098;25967;
Ставропольский край;44513;179444;199482;187991;
Приволжский федеральный округ;355588;1113217;1204301;1192653;
Республика Башкортостан;60351;149965;158709;157270;
Республика Марий Эл;10142;43315;39217;38913;
Республика Мордовия;16056;53416;58711;59724;
Республика Татарстан;61603;211284;229693;235292;
Удмуртская Республика;18660;62131;64157;65190;
Чувашская Республика;13483;39347;39338;38737;
Пермский край;18127;40958;40426;41398;
Кировская область;16253;36242;38536;39272;
Нижегородская область ;26548;67203;67366;68977;
Оренбургская область;29419;99165;110754;113038;
Пензенская область;15716;74478;83619;73919;
Самарская область;23093;82244;93004;87489;
Саратовская область;34921;119768;142010;134973;
Ульяновская область;11219;33701;38762;38462;
Уральский       федеральный округ;97487;295464;308043;323586;
Курганская область;10982;35009;38375;38727;
Свердловская область ;27396;75605;74607;79134;
Тюменская область;24214;72951;77043;79444;
в том числе:;;;;;
Ханты-Мансийский автономный округ – Югра;2551;7959;8996;9767;
Ямало-Ненецкий автономный округ;497;2084;2274;2687;
Тюменская область без автономных   округов;;62908;65773;66990;
Челябинская область;34895;111900;118019;126281;
Сибирский федеральный округ;201468;556398;591961;577531;
Республика Алтай;3057;9521;11087;10932;
Республика Бурятия;8037;16096;15632;15061;
Республика Тыва;2261;5418;5591;5710;
Республика Хакасия;4008;12224;13999;14870;
Алтайский край;39839;123848;143321;125956;
Забайкальский край;8427;19524;21464;22513;
Красноярский край;31037;76204;80983;71935;
Иркутская область;19670;53601;58722;61900;
Кемеровская область;16148;48395;48525;48028;
Новосибирская область ;27027;75533;78795;81453;
Омская область;32861;89501;87858;90419;
Томская область;9095;26533;25985;28753;
Дальневосточный федеральный округ;47306;145068;151460;164473;
Республика Саха (Якутия);12200;20723;21930;25289;
Камчатский край;2184;6620;7378;7916;
Приморский край;9476;38456;40123;44316;
Хабаровский край ;7478;17344;16335;16790;
Амурская область;8705;43539;47012;50420;
Магаданская область ;714;1981;2259;2521;
Сахалинская область;3499;10193;10342;10536;
Еврейская автономная область;2758;5751;5486;5216;
Чукотский автономный округ;293;461;595;1469;
?????;;;;;
1) Первая оценка данных с учетом итогов Всероссийской сельскохозяйственной переписи 2016 года. Окончательные данные, пересчитанные с учетом итогов Всероссийской сельскохозяйственной переписи 2016 года, будут опубликованы в официальных изданиях Росстата 2019 года.;;;;;
