Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;
11. ИНВЕСТИЦИИ ;;;;;;;;;
ИНОСТРАННЫЕ ИНВЕСТИЦИИ;;;;;;;;;
 ПОСТУПЛЕНИЕ ПРЯМЫХ ИНОСТРАННЫХ ИНВЕСТИЦИЙ В РОССИЙСКУЮ ФЕДЕРАЦИЮ1);;;;;;;;;
11.4.1. Сальдо;;;;;;;;;
"(по данным платежного баланса Российской Федерации; миллионов долларов США)";;;;;;;;;
;2011;2012;2013;2014;2015;2016;2017;;
Карачаево-Черкесская  Республика;4;-2;0,2;-1;0,0;0,0;1;;
Республика Северная Осетия – Алания;2;-43;0,4;2;-18;0,0;0,0;;
Чеченская Республика;1;1;0,0;0,0;128;0,0;10;;
Ставропольский край;80;-36;-19;99;258;-7;29;;
Приволжский   федеральный округ;-609;1011;1709;-281;-880;304;483;;
Республика Башкортостан;270;-546;192;248;14;-177;145;;
Республика Марий Эл;10;34;1;0,0;2;6;0,0;;
Республика Мордовия;1;-6;4;0,0;7;-4;-1;;
Республика Татарстан;-62;417;157;236;107;548;105;;
Удмуртская Республика;73;299;503;194;85;30;-23;;
Чувашская Республика;2;9;105;45;31;16;-24;;
Пермский край;-1115;-405;-860;-1215;-437;-119;443;;
Кировская область;35;-36;9;4;26;17;16;;
Нижегородская область;436;328;630;314;281;162;-109;;
Оренбургская область;303;92;83;-231;-365;61;27;;
Пензенская область;6;52;32;4;6;66;38;;
Самарская область;-580;674;817;25;-837;-418;-182;;
Саратовская область;-16;13;-17;-93;-26;44;28;;
Ульяновская область;28;86;53;188;226;72;21;;
Уральский   федеральный округ;3058;6172;10915;7493;8653;4644;2721;;
Курганская область;27;4;3;-1;3;-5;-1;;
Свердловская область;-2263;4624;-359;-448;-969;952;275;;
Тюменская область;5384;1293;10542;6955;8899;2722;1360;;
в том числе:;;;;;;;;;
Ханты-Мансийский автономный округ – Югра;18;148;-593;-203;-198;-177;55;;
Ямало-Ненецкий автономный округ;-34;-1572;67;345;5797;1493;-57;;
Тюменская область  без автономных округов;5400;2717;11068;6813;3300;1406;1362;;
Челябинская область;-90;251;729;987;720;975;1087;;
Сибирский    федеральный округ;1510;-3833;2310;-909;-865;4415;1736;;
Республика Алтай;1;-21;0,0;-1;0,0;0,0;0,0;;
Республика Бурятия;0,0;3;208;-119;25;27;81;;
Республика Тыва;78;183;22;14;11;-21;-56;;
Республика Хакасия;0,0;-110;160;-42;-69;32;-6;;
Алтайский край;120;-112;13;-7;-57;1;5;;
Забайкальский край;70;224;268;41;-78;96;75;;
Красноярский край;949;639;981;-742;-688;4357;2339;;
Иркутская область;-481;-218;56;-19;-190;-119;926;;
Кемеровская область;-133;-4753;179;-147;82;64;-1603;;
Новосибирская область;276;44;359;-50;42;-25;6;;
Омская область;-30;50;-17;17;-10;-38;0,0;;
Томская область;660;238;81;146;67;41;-31;;
Дальневосточный   федеральный округ;951;563;1392;5055;7077;10385;8157;;
Республика Саха (Якутия);224;389;-2390;-388;439;1291;239;;
Камчатский край;12;-52;-10;42;4;-6;23;;
Приморский край;-184;302;-60;234;112;436;90;;
Хабаровский край;219;-208;737;29;-229;310;-19;;
Амурская область;691;495;596;707;166;182;61;;
Магаданская область;291;-1338;695;0,0;2;2;-10;;
Сахалинская область;-601;1056;1782;4113;6563;8129;7681;;
Еврейская автономная область;35;-11;0,0;63;48;19;84;;
Чукотский автономный округ;264;-70;42;255;-28;22;8;;
;;;;;;;;;
Не распределено по субъектам Российской Федерации;1035;1219;1506;665;-421;-55;-119;;
?????;;;;;;;;;
1) По данным Банка России. Данные представлены в соответствии с принципом активов/пассивов. Знак (+) означает рост, знак (-) означает снижение.;;;;;;;;;
